,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1,Tc_2,Tmin_2
0,113.20890177107933,0.0339888556389335,-170.02792006664518,52.06543696230709,-101.38255755436371,0.9683780951283317,0.12904712620017092,0.35934224799834347,0.3039199244311305,3362.6268896304236,-6919.0804771282,0.39612740897788684,0.1404888827381076,0.06478574239354859,659.9589510972335,True,True,True,1.0,148.49676529709225,126.7336685115346,142.04601921958917,21214.0960409088,141.33284930099092,-152.3551904728946,-8.415580326463364e-06,-22.887758722112963,36673744.597525835,4964937.232637882,0.002632113408082931,5173.582450402366,0.36794190550116296,0.6176966777122284,0.065600697075087,3.305008651149411e-21,5.664422047470567e-10,141.2401060244284,True,17500.625363080988,-152.87691941337067,143.92559230103387,-22.546833460881352,1.7771438595216824e-06,38207096.246338725,5697755.974876761,0.0028058975882730686,3775.0273271225856,0.38617122197174425,0.6189548817241806,0.0825958979924713,1.8940948900761944e-19,1.7223865997336306e-08,0.5649832846866777,0.0641548589949847,0.0,128.4310319522655,0.0641546985255843,-0.0497842972130232,-24.327789360423413,-149.87915090247822,Deflagration,0.0024362175101146,0.5649832846866777,0.5339191869908017,0.5831264490372021,1.0252437684669164,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124.35853822841206,-0.0575763895235004,-186.3051927320112,51.19086510587963,-144.72708132533614,0.9685411378557734,0.12906911207064442,0.49124093001998387,0.27499738861867723,3058.856055107425,-9905.69227527804,0.3950122464029164,0.16864313060810884,0.0905831273299107,725.1022936028563,True,True,True,2.0,159.13406672920578,159.0663074682243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6228838873190383,0.0581039391840226,0.0,118.78090786197764,0.0581037686436474,-0.1355374667937114,-21.6063949407078,-168.24341775236962,Hybrid,0.0028670112307447,0.5773502691896258,0.5320121941820067,0.6235993555540144,1.0819323307794666,True,149.97640503972465,120.17884820687506,137.54657246371625,20560.096694826654,155.89490513037757,-173.43361030662166,-6.422860872634091e-06,-17.468172592872985,46540869.69576359,10485323.746348023,0.0038040712427041315,2578.0339989815857,0.47465020730869234,0.6254735810091301,0.0317505224135574,3.6672567845057106e-20,4.249068302398682e-08,135.71840833490185,True,16189.71881577468,-174.11115760819854,160.679861009302,-16.829310676674297,-2.6669484314534157e-06,49664702.31691778,12451295.892274022,0.00428643968592289,1766.9730945863057,0.500706649012233,0.6282855121568262,0.0344166332705472,3.839467382323752e-18,3.6216839723335136e-06,,
2,111.62226397610658,0.0299810255273274,-170.98730809921005,52.546783988568926,-112.69622381688808,0.9670928441078016,0.1290504655844708,0.3833917333344034,0.30504486467665387,3296.7349847837095,-8129.299848523651,0.395554059680302,0.14668874411304317,0.06837338169411761,649.9417588970326,True,True,True,1.0,144.40521704646653,124.41526202097825,137.01291472839117,20482.759829480172,156.04127077731164,-154.6676491264421,1.4453642076939201e-06,-17.84126064888124,42044567.27482891,6763077.195792794,0.0034909918326093184,4577.997079545398,0.40106727640651224,0.6235420213395855,0.0561532228753177,1.0155089351959703e-20,2.6780798578140327e-09,136.31520808405935,True,17575.433403313957,-155.06992666236587,157.91519374746332,-17.609250252450646,1.3477320494811437e-05,43250223.82508874,7490411.987300396,0.003665614023469854,3621.247618538686,0.41615840757699624,0.6246305592605373,0.0766376574020103,4.70810057103295e-19,5.309990912073732e-08,0.5688988941614429,0.0636122144092009,0.0,142.65556118659867,0.0636121180544258,0.1235166326382177,-19.25913151689105,-151.90703882660588,Deflagration,0.003140641803609,0.5688988941614429,0.5291024691555418,0.5864102142695959,1.0324427385436437,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,112.27166406575768,0.0299860367365257,-182.0916997100752,46.91523332315196,-102.6165559241227,0.9624101780629097,0.12905153578046819,0.3541404611872,0.25561232578346815,3517.2304115547213,-7004.891606571991,0.39123610108639256,0.1311371695940447,0.08292742102004258,645.2385833293022,True,True,True,1.0,151.11442915752053,128.0281384106932,143.21310073724106,21383.576573705686,138.8418618396901,-163.8371369390236,-6.376156423586025e-06,-23.080204343816487,36865760.955096245,5656631.434572697,0.002559874984009282,4278.272352369199,0.39171241823510106,0.6171604660781391,0.054874387385975,4.211633593995846e-21,1.1829096131763575e-09,142.41285998855676,True,18143.862960327817,-164.29607070695263,141.45917436644194,-22.731220925787298,8.3189338813806e-06,38395928.228624105,6367366.647720933,0.0027271681233149176,3291.517439554964,0.40722773009188645,0.618390264954659,0.0715199518833807,6.99609170097555e-19,9.55357628209336e-08,0.5873906754882413,0.070149055839746,0.0,115.88172467347168,0.0701488409055956,-0.1391117459909887,-25.70545707264908,-159.85561383868628,Hybrid,0.0022291953639055,0.5773502691896258,0.537537235428189,0.5954964324738015,1.042324690019515,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,413.950905534949,-0.0029844658440655,-64.23922086942868,308.9983342327543,-414.02261998735565,0.9979272625996475,0.12908553631208528,6.320957169826239,4.780737253292663,-2161.084322112325,-1402.4355108210002,0.5972063409818869,2.3770288346720037,-0.7748696745428143,996.1785217790792,True,True,True,1.0,140.07862472805382,120.22107898357226,138.12668106190037,20644.82549748001,136.38392403451095,-60.58925073829072,4.792702446047077e-06,-37.58521953187912,36085988.77393687,1602918.0289617777,0.0028997676737268392,16877.23059204167,0.21075910808548828,0.6196169679876388,0.208766028742684,4.996470340179122e-22,3.141885702310882e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,459.9852142615864,-0.0019815070047301,-65.68741384298826,358.7631387283962,-371.5522612458575,0.9911657914056682,0.12908044211553865,8.165295394130197,5.437665065890456,-4010.766643072793,10098.00894514483,0.6212134872284879,2.947601359514292,-0.7762205893101342,490.8976265424564,True,True,True,1.0,140.86970574551222,82.29334991384152,138.66713901264316,20723.229738295166,138.0566758295272,-62.53477558167642,-3.759709279394082e-05,-40.81334667295809,37800003.06922853,1764419.9415357113,0.0029899839391771075,14675.469750242557,0.21605039329061795,0.6202424037366588,0.1818150437992774,7.174113959372691e-22,6.724398318470517e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,119.28766385059464,-0.0554732143606839,-160.8590974704243,50.60955915192368,-153.34978435969575,0.9724331601698313,0.12903813937272765,0.5674513254603613,0.3166025216114122,3776.714446865167,-9924.46490377776,0.39861888608172075,0.1946299183003257,0.08487701391875833,670.8273312645915,True,True,True,1.0,146.78339656192261,130.1308745861225,140.51654473778382,20991.92571037438,146.45038178495975,-144.40977351824952,3.699609509896362e-06,-19.476121252905223,38127553.72353065,5179079.697344184,0.0028587562645914465,5542.386662684622,0.36855883479832335,0.6193291580420625,0.0694897837994932,3.809612548347556e-21,5.565767365288459e-10,139.90141700581762,True,17777.413387622713,-144.77988314757252,148.31273667313178,-19.240324218278488,-1.86572477884797e-05,39262599.19785559,5763497.918533444,0.0029964865706375416,4281.416856425029,0.38313651712229385,0.6202870853182932,0.0926794593708923,1.3216397320483822e-19,8.660912443768122e-09,0.5582765114709654,0.0700020137995696,0.0,135.60675527405394,0.0700018892403214,0.1032240872570212,-20.640659409586185,-142.40650328998578,Deflagration,0.0026620242572269,0.5582765114709654,0.529810235266126,0.5812003642955411,1.0227987745231129,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,422.700598549488,-0.0029108169083979,-72.21086607517005,313.4314561425916,-382.23275019133314,0.9973160601975535,0.12908549028214467,7.165452604234291,4.313810431613638,-3561.7258414410644,8953.276719685891,0.5774461593523766,2.5103315563275124,-0.5201742797462701,983.6159987465452,True,True,True,1.0,145.89256637345764,140.1460255100177,145.16186979316393,21666.822700000004,107.14269288439226,-66.3335071285077,-1.3041842074000208e-05,-52.91688874637411,24835671.788879037,407635.9855661392,0.0016340491023092074,49195.581291373295,0.12811450474003883,0.6094004497100491,0.6381201391495837,1.0936541263845907e-23,2.4620930486622903e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,114.89964700288456,0.0291191407758098,-176.74707799640882,52.15549501627857,-119.32218203834763,0.9647869090569968,0.1290569954935257,0.40574600490104046,0.29344988235941655,3188.004304485754,-8464.102882222778,0.3939605030624205,0.15034481495182955,0.07599865824769261,648.2967473013581,True,True,True,1.0,145.7775164609999,122.96001523224102,137.1167522454062,20497.800273146913,156.25103245711233,-161.2510913022806,5.612367943253212e-06,-17.911685557930806,43382910.593812466,7811102.453751683,0.003591137631614172,3851.0535947806316,0.42432324554043777,0.6241698535752165,0.0472429674123315,1.513084339884754e-20,6.31657665266496e-09,136.2993420411775,True,17505.597546446097,-161.66308017931726,158.42123147320189,-17.633028022084204,-4.713068590971636e-07,44787239.66451383,8670598.931848407,0.0037976915170738726,3021.541739216421,0.43999465481679545,0.6254351111546879,0.0630085811100697,1.4798766732398772e-18,2.851212280878921e-07,0.5849020258147687,0.0620343750538917,0.0,137.12942588199786,0.062034272400076,0.0701546926907516,-20.033109592007285,-157.6631317806416,Hybrid,0.00307415712573,0.5773502691896258,0.5303449286791267,0.5958023240070724,1.0458232370139395,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111.93403818410631,0.0343521972172184,-181.28058743635137,48.58384834856823,-116.81435059504967,0.9683076388577432,0.1290437538377798,0.3892966101968465,0.26560537380743293,3378.8547080404187,-8455.538597594348,0.3944951702738408,0.14159171485045047,0.08374011340811184,702.8147552954539,True,True,True,1.0,145.15364123662965,124.41876594379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
