,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
0,153.9127057795057,-0.02090686889301463,118.38660686674335,-101.80045697336875,674.0283183009374,0.12910308627877054,2.7619783877412205,0.8656649621856094,1840.016056689058,-40910.95722771381,0.43512239847586254,0.8347720906329068,0.06127346186155516,True,1,116.73305179959377,99.12183707512905,105.5024478673393,15886.34081214372,210.95909882737988,114.06510350035644,1.2511040072930693e-05,4.394554597982301,47886693.54053977,14154264.34243095,0.011495126430660838,2869.7373316226453,0.5436710721585737,0.6580780224666467,0.027021898474014514,1.0006717534506851e-18,1.7102321677614844e-06,104.1568751709342,True,12331.54030578664,114.32770366384287,212.56091269457883,4.245220882715681,1.8827974496749298e-06,49142287.2594409,15870115.661406547,0.012430994081846556,2183.409177403325,0.5682799882751459,0.6610128125200236,0.03521870531447712,8.93462974667585e-18,7.970195022549384e-06,0.5241689257459472,0.12688537361254798,0.0,205.9788439324332,0.12688534811582602,0.4974389928040941,4.783074431650727,113.32943573709629,Detonation,0.010232226493102922,0.5241689257459472,0.4749453298475084,0.5806520179416182,1.0356004179722362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,187.00623674472027,0.1888629592079408,-128.6009990971809,122.84087384237318,-869.3317232448068,0.13469247165101286,3.5414159926157462,1.0677554717498818,1196.2354659498742,-49817.26133462385,0.44633752906049495,1.0633132434455836,0.054209004739115614,True,2,160.36885808235888,160.3236597394811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6689774847524387,0.037273676187204084,0.0,186.56453515822,0.03727364459829486,0.3971004386332243,-5.982992313245008,-129.50811115764157,Detonation,0.008375449149679992,0.5773502691896258,0.4979877699873471,0.6690364592474778,1.1628154868134686,129.18292002322028,87.9005382402787,106.85273267088705,16083.335063049588,211.30012855975025,-129.2941041428195,-2.660244520125315e-05,-3.9102890885047015,63748046.49442807,28413634.23749125,0.014528775601642268,1171.7330057757354,0.6676209438737096,0.6671408730902827,0.011195010680657442,1.0796609802556317e-17,0.00012327808088130748,104.39336410604963,True,13232.663876643037,-129.26091829033166,214.07281713109526,-3.6520691756952255,-2.6801750661138024e-06,66033415.204276,31655356.19781664,0.01654983059843381,896.70423307078,0.6923755493340078,0.6725545353437135,0.01248959265327227,2.1568533269100222e-16,0.0019962753573831192
4,180.03613115098182,0.2396689103503453,-159.7771622054161,104.36063448933129,-622.2262027025124,0.13686705496787932,2.1757876125565345,0.7514436799587262,1213.3796188537162,-40893.822779374575,0.4342451627276301,0.6691875164655879,0.0719862273435286,True,1,135.85203525264558,87.11140364973491,104.1171052987202,15682.113767685803,215.20962432105492,-160.87481030830082,3.6916525714526398e-06,-3.4411349151719772,75554421.00372842,40691112.15649572,0.01914200848440764,844.794378430369,0.7338711907104599,0.6789305916799026,0.007878584986321949,4.6103673686238965e-17,0.0009473242585511123,100.53155573616071,True,12558.299317841127,-160.77031335914532,218.72732312479275,-3.098707666984708,-7.6225970274145845e-06,78633713.72110677,45463062.66930103,0.02298622261141204,643.5194676620351,0.7603699603486731,0.6874550449117662,0.008491110296361879,9.44493060362424e-16,0.017273412433640244,0.6817756123146957,0.031176256511609213,0.0,190.06907905333802,0.03117622730050345,0.2322059958632551,-5.631442571591281,-161.54809814830298,Detonation,0.010339756736366985,0.5773502691896258,0.4886314478215151,0.6818333057595268,1.1868659017671164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,158.8227292583357,-0.01687929038960829,123.35090665595187,-126.76483943196736,503.78446110586054,0.12909660199187592,1.8474049258394485,1.0329986264540236,47.32785832829813,-33871.883773643414,0.4420913923435991,0.6340176692021994,-0.015306791564496491,True,1,116.55289107285341,63.523618484585974,95.05440855398524,14353.767163814397,221.73983988386726,121.89937069646086,-3.195861767523977e-07,3.1250335856739566,56801800.17596539,27292025.720054954,0.020892652682797403,951.6307223226751,0.6931653357277422,0.6829357493131503,0.008108760573449671,4.8919833635538656e-17,0.0009652775341549326,93.26464254208322,True,12545.315407433432,122.02268459665459,223.3651020321143,2.9564475175212515,-8.379248745028409e-07,58125007.1867235,29501270.85219544,0.023114316127384595,761.2569179296808,0.7124245104497786,0.6877228489815262,0.00925727662828306,5.764525840446981e-16,0.009176853903474304,0.6857192740933747,0.0391857284487366,0.0,200.21724293229082,0.03918570558985277,0.33850674877620823,5.090731996859377,119.96258738662974,Detonation,0.010962740554351084,0.5773502691896258,0.4858344285996322,0.6857734422261312,1.1943707912131494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,158.8227292583357,-0.01687929038960829,123.35090665595187,-126.76483943196736,503.78446110586054,0.12909660199187592,1.8474049258394485,1.0329986264540236,47.32785832829813,-33871.883773643414,0.4420913923435991,0.6340176692021994,-0.015306791564496491,True,1,116.55289107285341,63.523618484585974,95.05440855398524,14353.767163814397,221.73983988386726,121.89937069646086,-3.195861767523977e-07,3.1250335856739566,56801800.17596539,27292025.720054954,0.020892652682797403,951.6307223226751,0.6931653357277422,0.6829357493131503,0.008108760573449671,4.8919833635538656e-17,0.0009652775341549326,93.26464254208322,True,12545.315407433432,122.02268459665459,223.3651020321143,2.9564475175212515,-8.379248745028409e-07,58125007.1867235,29501270.85219544,0.023114316127384595,761.2569179296808,0.7124245104497786,0.6877228489815262,0.00925727662828306,5.764262381513472e-16,0.009176452425809702,0.6857200830634559,0.038634825372664966,0.0,200.20276054386096,0.03863480251065632,0.33863174679984714,5.0907664991935215,119.96255899018284,Detonation,0.01096270551419107,0.5773502691896258,0.4858345838934313,0.6857741064660738,1.1943717456055991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,152.33384380767856,-0.020060394487206045,117.75879711096631,-138.0754326944863,458.1529347273637,0.1290991817711396,1.5006001361600048,1.1777557582764118,-268.27362260823065,-32984.062111767686,0.4481242293924971,0.5714426604194032,-0.10199313135213173,True,1,115.48857956870349,55.19680172620556,94.1104504481694,14215.100071344788,222.18063457691463,117.1607658123383,-2.716588381802475e-05,3.0666172200391344,55498711.13248614,26737748.20287648,0.021266971232451318,933.0300020347631,0.6940982761853629,0.6837643052742399,0.007833339933669215,5.3589199782852097e-17,0.001105638867105893,92.06187200726342,True,12194.700823064126,117.22368243678328,224.0255311122931,2.8813600673305566,-2.764297269764865e-05,56979335.39418292,29224309.93134329,0.023898998971783738,718.2313783050258,0.7161655775640224,0.6893428900785546,0.008589482189280895,7.27619214368042e-16,0.013024879684185862,0.6865347703333875,0.03764775713074032,0.0,200.66575013123298,0.03764773496974634,0.3437214770031787,4.9535543725804425,116.20591079698966,Detonation,0.011093496236511931,0.5773502691896258,0.4852564687839229,0.6865889304054841,1.1959323514427664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,154.03218126443969,-0.01701678263068581,131.13236510485422,-117.46994230381522,453.2303211055763,0.1290933904947426,1.6285227267413749,0.9000691426799354,159.47041789996547,-31300.557215630863,0.4365510581044455,0.557142205465333,0.0047284601959759615,True,1,116.8057812461152,66.13385040761749,94.63950560316809,14292.723903224714,222.27245963045291,129.46858099865042,-6.36648082026855e-06,3.1476097136020567,57707666.44833824,28292155.84747145,0.02161042920844651,931.3119516597197,0.70019058116195,0.6845164349180205,0.007878584986321949,5.648385880917236e-17,0.0011585558651159358,91.63893373800876,True,11504.605442239035,129.692253455723,224.90220944929032,2.8652560466261225,3.399349087760185e-06,59869988.70594591,31983683.27900365,0.025590710840705244,670.3822639916909,0.7309028409860244,0.6927220736588688,0.008015894192303568,1.0892199202026708e-15,0.021873020872027204,0.6874659770042778,0.03892232475376875,0.0,200.92835230248767,0.03892230203027988,0.3376019303231904,5.157076910704816,127.35484244569298,Detonation,0.01124302790848982,0.5773502691896258,0.4845992283712469,0.6875199196200289,1.197717501735164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,178.70176902681868,-0.0224546481545598,126.04575362365142,-130.06195103604838,573.8396427439783,0.12914182424513593,2.2968722426655077,1.0436439575473928,-275.43388941326884,-35481.37126250078,0.4425575589324528,0.748158720257609,0.010590094430466074,True,1,120.36223390058541,53.8110732709733,95.87303528697224,14473.58937936945,221.32584580891273,124.66539972182602,-3.4400668127576902e-06,3.087273967866293,61904096.29545075,31572679.127874345,0.02198201292282729,762.05277286742,0.7141608258433895,0.6853216295018659,0.006552517720264219,8.559317612145473e-17,0.0022706173410479953,93.64795771146765,True,12663.360268352964,124.8034291116024,223.2651468471421,2.8773186099314696,2.643844223728304e-06,63554854.33456066,34369414.82069582,0.024851599990505686,606.1192555354893,0.7353798151233693,0.6912641003857211,0.00739493680909343,1.0849173023293885e-15,0.02450092664248602,0.6887484109512632,0.035744675880895305,0.0,199.0346017197859,0.03574465348900542,0.21414871875703345,5.222263965022063,122.84954182891848,Detonation,0.01145114236312515,0.5773502691896258,0.4836909493119983,0.6888032466396474,1.20018596650325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,161.5804994635376,-0.017127914584601975,96.23983560207749,-138.4915420450977,513.1464164429981,0.1290994078518682,1.7208540345772476,1.4465854382099308,1196.0988746448054,-33217.262463370585,0.459325579096758,0.6713110816793004,-0.17490799021822684,True,1,113.72976702871556,46.85966092144151,92.39274087492248,13962.802021275978,223.43804987872392,96.6067127497563,3.933042203309125e-07,200.43846792403545,54028258.44784671,26315304.37973541,0.02232992877243816,885.8643119512552,0.6979008295090539,0.6860676985708117,0.007310245565093316,6.851271861504532e-17,0.0015641234453062274,89.99626298263401,True,11766.886370590271,96.56296353947613,225.52776746368525,200.63384147711673,-4.330262740544522e-06,55689750.74569219,29163597.074136134,0.02563968827493853,658.3163482898602,0.7236572336184882,0.6928177131882789,0.007699157812414542,1.0532730194394553e-15,0.02240748333947413,0.6891740187204702,0.037773994667344685,0.0,202.29861180848454,0.037773973343652685,0.3415446840097704,198.71173418942183,97.18185415416893,Detonation,0.01151882411279133,0.5773502691896258,0.4833971524275778,0.6892277930878415,1.2010008945968909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,142.46489956203197,0.18072775041317524,-116.32633581255013,126.853441984008,-990.9187410883881,0.13031302173803028,3.7824222969956134,1.1191972369271217,714.840510891635,-63217.05737596494,0.4462912109863888,1.1321384470700904,0.04752199810350323,True,1,95.22890295967956,81.04920433704581,82.05311019394894,12441.896845380425,231.914709386951,-114.79986621771413,1.2575220193540226e-05,-3.9713073445734706,36537689.58090918,14699454.928923635,0.02459421804378947,4290.564421128058,0.6342786228727741,0.6907497815572974,0.0313868964204927,4.5524145690413695e-18,5.393499888293783e-06,81.04930207559906,True,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
