,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
409,454.1212820355767,-0.002102053237003989,-62.37125840717018,366.08402859711373,-368.8010154308944,0.9912295293445235,0.12908104236216264,6.598886444128417,5.8433465057147185,-3643.129488558765,1877.571466494992,0.6381487691257461,2.623612695317891,-1.1644969982264055,467.82844678928086,True,False,True,1,135.5105523889759,79.3007516284485,131.99428037331745,19752.23967173285,157.28222949320022,-60.29320731098774,2.7688298820778732e-05,-34.09205498873047,44487869.42986238,3444654.28363955,0.0042854929027148015,8505.1189425983,0.2782607920066742,0.6282801690642227,0.10046181046515898,6.136359741546705e-21,3.211981121595146e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,442.23609885578173,-0.0019492613839670481,-63.08726859205715,363.44946084019034,-350.0574052703518,0.9937410070782708,0.12907973534636796,5.408861382161067,5.738478366655866,-3685.356009654928,-1241.227237697778,0.6350249121498226,2.3086284066495777,-1.3929658320064975,561.2137918411127,True,False,True,1,134.6162141067008,82.01637346835005,131.3014243699807,19651.444845599053,157.02486151705463,-61.11655464899142,-3.450725836635319e-05,-35.19356269137319,43816761.96515751,3306502.0108038187,0.00431225796970826,9065.497850251231,0.274703539613123,0.6284309645006397,0.10641761140646057,5.5422394184247205e-21,2.4554720896325636e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,121.91260072477706,-0.05048872429920747,-175.15229594827977,53.29761087717594,-156.12161148144725,0.9736283218420118,0.1290576073195659,0.537634701037216,0.30521029154507373,3169.2262114219584,-10823.523935233252,0.3987354083261275,0.18527705718348295,0.08574133612031314,747.4935771128523,True,False,True,1,144.35808020465984,121.18142301235663,134.11288683582674,20060.203290602018,164.0983410533157,-162.7531064375726,1.4685699644991484e-05,-15.221771234585413,47313456.82388258,9949979.830414772,0.004271788669120951,3221.5848496194412,0.4585838545162895,0.6282027570830266,0.03861832176183047,3.619875537377758e-20,2.5441892655940623e-08,132.7517174912523,False,15841.75699733973,-163.29077218100736,167.34184472638367,-14.80650813536306,-5.7568155589988395e-06,49512006.104682446,11491483.450101256,0.004659645696653345,2391.3330116250318,0.4817622720382804,0.6303428967191207,0.047242967412331534,4.8146204299679816e-18,2.0171705850361555e-06,0.6022811037475282,0.06166358451599899,0.0,139.64513516301943,0.06166349090687736,0.12884365202279038,-17.92322788590075,-158.64754590284838,Hybrid,0.003413234685795322,0.5773502691896258,0.5277249679007161,0.6087566440516391,1.0644918006211197,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,114.71427307278887,-0.05087540624275392,-181.43298444846485,47.97680852772781,-144.23180383412824,0.9725715859153107,0.12902101854646594,0.4757284029472572,0.26726164700721666,3514.81103800232,-10422.674955027698,0.3966217655763995,0.1634757085713504,0.09148448114482524,758.6144077036091,True,False,True,1,143.94539688156567,124.90626686344625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,256.3989077298663,-0.006339888488209192,-72.51379948976727,191.88709778145446,-539.5978820551793,0.9961801068389918,0.12909070442650095,2.3455765937397564,2.628426495376154,820.7615017190446,-27333.779440545302,0.5066583060814367,1.0244652309976314,-0.6072555163741967,827.2429153264363,True,False,True,2,139.53044642487885,98.30562679671884,135.48680888475252,20260.93837945828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.01858250108975,42.22380186843092,129.52734633311246,19393.1796272036,162.48712051016963,-71.74668972322688,6.781607015174753e-07,-141.2964931743943,41299419.89744556,6918684.9439150095,0.004295920936704567,3588.7616520840884,0.4092981687405735,0.6283389828291183,0.04162072632450944,3.044202480709792e-20,1.7736686973616824e-08,,,,,,,,,,,,,,,,
414,515.0162302457239,0.000712853662277965,90.4592802359042,-614.6858222884978,698.4292638413167,0.9917294688427268,0.1290751422751553,7.483819179596478,6.787176944046374,-20010.887666694813,-2182.3289001399244,0.6777199272276893,3.0021509522401817,-1.4097705247669534,698.9795512396181,True,False,True,1,135.7232319952001,65.18449875470307,132.0924116364279,19766.51099341873,158.66637384032657,88.90995875370008,-3.0513133934962548e-05,66.97254132230002,45524165.09653449,3435403.911818981,0.004372078557080996,8087.568288502521,0.27470585002759934,0.6287661331863342,0.09538712185246877,7.179644060932473e-21,4.326168013912536e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,108.78660204874359,0.030837945543783014,-182.84269928032055,49.384767598700655,-119.57337591673028,0.9535195903825601,0.1290441946066759,0.38160862965214887,0.26748386865025314,3263.484528994284,-9184.502344742315,0.3874686427200066,0.1399828021880794,0.08217181382919957,578.5799578987478,True,False,True,1,141.21121263069398,123.1666442352666,132.41725683915732,19813.614806134614,168.01729345553935,-166.0423209180023,-4.386608943484587e-07,-14.17961724835763,46435434.51598656,8978592.766716123,0.004415248862788911,4202.763963040662,0.43972320037957785,0.6290064366405326,0.04975633970097081,2.4967064903163002e-20,9.060585223329287e-09,131.44029351515837,True,15975.568362842398,-166.55662317034017,170.2422242303252,-13.91451747251257,-4.515332622002475e-08,47967249.63576591,10097230.885850906,0.004700456006111558,3181.1197556466864,0.4588056261178966,0.6305622380913323,0.06373855318410987,2.185488532315219e-18,4.079727528993354e-07,0.5872001945787605,0.06892898683502471,0.0,149.988677811155,0.06892890540174222,0.2894771735187862,-16.045454723456185,-161.92303136573636,Hybrid,0.0036784750090117155,0.5773502691896258,0.5257589738376944,0.5985978858436595,1.0516195968305224,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,106.33239413088788,0.02975809273391305,-170.46743869383292,53.970006203460215,-117.62263833868286,0.9643094542142278,0.12904239608284457,0.374511713171818,0.31352397785035147,3177.073633868079,-9261.067085417735,0.39455935990233254,0.1458819246013464,0.063425433228327,620.8351712656845,True,False,True,1,138.7660947194605,121.77776023233484,131.27394872011902,19647.340641662286,169.67631199347437,-154.3138378939808,-5.781948219343408e-06,-13.60769810398121,45211083.20874536,7848616.793730617,0.004453274080383401,4812.730236349582,0.4166526097875344,0.6292170239058786,0.056477561605301166,2.0030083162905787e-20,5.176267977224742e-09,130.27449772310243,True,15351.483907960861,-154.90070048924295,171.93495575359233,-13.35003886813531,-1.3476761884226475e-05,46764885.59707904,9000149.539871335,0.004751879978856649,3449.6501821153847,0.43869726269870485,0.6308371211464667,0.06948978379949321,1.0328433758904033e-18,1.5100124902685785e-07,0.5708572291910269,0.07221588879147192,0.0,156.67254956333534,0.07221581679997674,0.3191174309763388,-14.880278497497542,-150.98162341091958,Deflagration,0.0038998686217527,0.5708572291910269,0.5237909943094711,0.5889319996125689,1.0383327430058586,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,113.90118249231331,0.0334479198373614,-187.29332127828857,52.348512110721714,-117.03038324316258,0.9530472364460818,0.12904942790985782,0.37664651115288983,0.2775619436220067,2886.000423599832,-8765.447742315713,0.3876660355756345,0.14042195172522356,0.07791352842189377,589.4537897582552,True,False,True,1,144.1859974652956,118.75682500373951,133.33681511525265,19947.371641737827,166.05528335112916,-172.3571090877241,1.1588571900612315e-06,-15.42353967658129,48170120.63130486,10634330.400272965,0.004453012737628713,3008.889451601072,0.4698575477690282,0.6292155799747552,0.03583250239489536,4.6680434101278213e-20,3.963992783369836e-08,131.80213087645194,True,15644.704395167573,-173.03386582128823,169.63950710919147,-14.96435733242791,9.897085703447088e-06,50619468.7385298,12392762.490367413,0.004905143886432794,2115.1204710852267,0.4947949651965284,0.6316466928540464,0.041381707267500255,6.8426672706602e-18,4.0487878571667465e-06,0.6035205695760405,0.05706954901613762,0.0,141.78663442851268,0.05706946194246891,0.11854142234199558,-18.094386145498053,-167.8375338790159,Hybrid,0.003534117798554048,0.5773502691896258,0.5268204821381248,0.6099067148162559,1.0664421990374389,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,110.52525521844562,0.03099873345515847,-181.74243364148475,52.28450595842504,-113.59818315884621,0.9648736367782064,0.12904690355035273,0.3655099763496015,0.28530873957038205,3031.710806503652,-8644.708469525542,0.3936580815734197,0.13892895068246405,0.07337053208150537,667.4870938395277,True,False,True,1,142.2859530352019,119.88229475074446,132.6173764851299,19842.70696592694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
