,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,Tc_1,Tmin_1,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
4,734.8042113909935,0.190498689783632,211.89427989374872,-440.58993539999176,517.7115175795186,0.2841303856067833,6.323305065973003,0.21077117610890655,-71404.35577532872,117581.48928887633,0.4853488070533397,1.6159547958447351,0.2823740062998055,True,1.0,135.43667996687495,133.05961263017926,134.88065215415293,20172.071469148403,122.14848791700292,191.0723835413758,3.727998653211288e-05,181.45182136398503,23027598.007106896,335757.43693971634,0.0020318488752266773,60218.35060113656,0.12075037851222725,0.6129652874185353,0.7243191458012499,1.4249294668628675e-23,2.18145595329107e-15,134.78480796868064,True,15511.155203147668,191.23834673219096,123.33184209679096,181.45128776341068,1.7037207488275513e-05,23480565.38294041,397863.5592446327,0.0020771571587040565,39478.1802026579,0.1301705700518116,0.6133466960451027,0.4757060440296587,3.4825717845923115e-23,1.887981017239011e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,705.5848648685263,0.18887453254932388,207.9876261238831,-448.96804286169953,541.1676303428532,0.2692907916078409,6.102633273847946,0.4220311357828281,-67928.59555774764,98805.30054197717,0.4867315083736151,1.595996841092458,0.2619943397493697,True,1.0,134.43210927635266,131.49551372940215,133.72750216466065,20004.506297201217,129.14648209531256,188.0443713776482,-0.00019786738773564617,177.0153193718703,25454172.43187845,473093.59653377533,0.0023255094813304394,47174.58932973422,0.13633081908727654,0.6153622055816504,0.5654265381001566,3.4621487177211336e-23,1.1287053344810706e-14,133.6100290891207,True,15495.53596531163,188.22414248070592,130.35840570126197,177.01482474171937,1.9683587865170796e-05,25941991.08538973,557607.2387270927,0.002378488957691748,31291.645677193348,0.14660964719055994,0.6157769592549465,0.3734961617017027,8.26845236547383e-23,9.202664079509057e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,552.3140644841578,-0.17750166353373692,264.57073654139407,-949.7245726457892,219.77122601782185,0.2035021023517118,1.752770956797293,4.361855292702413,-86274.29993377675,87947.30913230717,0.6179965036171999,1.165168621316392,-2.51016985813656,True,1.0,129.65928392008598,126.92980845671524,128.93652221419677,19307.465371948092,134.46188570599034,283.23829160873237,-2.8100559598268506e-05,294.3272044395534,24044278.785271645,495358.6659741402,0.0025480358835989385,44471.211982040506,0.14353374128914684,0.6170718105223323,0.5126900954314018,5.128991789239202e-23,2.2267241523640903e-14,128.83090570064513,True,15379.248420610042,283.06995544559516,135.59778841357593,294.3288205564678,3.591202200597337e-05,24471002.695994373,573065.899978161,0.002601921292911459,31042.01964645206,0.15302993751850222,0.6174735472539863,0.3566778483185152,1.1042383114913856e-22,1.4043405461356733e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,768.5750821060251,0.2223026648178052,385.7889444837484,-899.7147941687881,433.393355242286,0.35965887622959924,2.2148019777623102,1.0301259011491457,-248641.0787871025,122976.99706296845,0.5572528325747574,0.7253881446321017,0.2398784869585836,True,1.0,129.64418557469548,126.2384091966135,128.72930597582288,19277.237027293013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,164.57175438766527,-0.02027306218098722,86.02535141143957,-109.51192591391128,487.5753898596714,0.12911286290821353,2.0567464856024933,1.2839631553559196,3156.19745652164,-26391.497397369283,0.4525563781726803,0.7281804806266098,-0.07127174888663879,True,1.0,139.43541333854571,123.67926230327896,135.28102855736586,20230.79255399896,151.90909570318144,84.3044971085373,2.412010068588455e-06,12.76859975098855,34269565.83838117,3491736.592676521,0.0029933521520385136,8136.047191761158,0.3192026116001049,0.6202655543520177,0.09817388963055734,2.1880224481029313e-21,1.213172061327169e-10,134.67040928083497,True,16020.94962948478,84.41359905159534,153.75272732758842,12.589975776213643,-3.721310435953137e-06,35358046.6537472,4055489.145102263,0.003137997296293776,5598.604920629598,0.33867059393763776,0.6212466843532082,0.06751724414432098,5.030728639594896e-21,8.030186321166458e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,978.4595703255554,0.2666342121250965,230.3755015505985,-43.61912368837568,837.1454640612932,0.6683838440481684,10.166424381735377,-4.030909491142712,-76501.03624335144,218799.52393318445,0.5007388418052148,1.869787846910059,0.2688276501572423,True,1.0,132.33027954555064,126.889356737254,130.92774089838673,19597.179864869504,151.61206330565417,207.81796426581604,-0.00011386013784828003,189.8537042464497,32865568.29988289,1163265.7804431915,0.0032722367272263924,23058.460422292086,0.1881346991206352,0.6221354162732452,0.2705304208038222,3.9512271044134017e-22,1.1572425613236341e-12,130.71519436359029,True,15530.775883982222,208.08899024249126,152.91307393475682,189.848929329916,-0.00011883689302508685,33457460.24362159,1351580.4346222878,0.003353271818003944,15878.650179467386,0.20099000587127772,0.6226623024498819,0.18605220327536348,8.76626160705966e-22,7.754177249904793e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,537.9740958671782,-0.16682912188775964,-231.96111007965698,565.8022211504317,-863.3938357254613,0.19134547291171494,3.7934007275809214,1.65422176620855,-75142.32034559299,-19957.09607119966,0.4991001252932906,1.2240538095966556,0.011002698161999308,True,1.0,131.60713216703155,125.62425317583241,130.19053625867366,19489.870126483816,148.95700690276,-215.4886071801287,3.212953688890447e-06,-198.18171810882603,33856332.6855824,1294802.2663576605,0.003449253500183432,22828.01411558812,0.19556078354102407,0.623277445522347,0.2658963380198815,4.728787828738014e-22,1.4509655386352622e-12,129.95020557010307,True,15025.914398811177,-215.7366843331447,150.39676141715333,-198.18607538781436,-2.0117164054252273e-05,34543314.34112644,1528989.8338024616,0.0035458081255996775,15011.784402439403,0.21038767613076384,0.6238868792293413,0.1746308872472062,1.158628509825696e-21,1.2291915068317516e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,882.7634150856896,-0.23443781417280946,-293.7449212707177,661.3835210192913,26.159359100443073,0.4689791288360671,3.8369012056890783,-0.13415207893755293,-171638.87147081518,266451.11963483325,0.563401376374379,0.936866621599344,0.4678065171816034,True,1.0,126.79972678913693,121.2860413105842,125.23824111970028,18768.880788142087,158.92557278932824,-275.42587627954254,-3.927407621200013e-05,-259.07745797816824,32203563.675177094,1416807.6271038055,0.003841870655215671,20020.225001995997,0.2097507276768971,0.6257007875415808,0.2237045602889708,8.47625820108448e-22,4.304316993175548e-12,125.030230603431,True,15231.930938218347,-275.64763127670966,160.12873548924819,-259.0758749786188,-2.6457002954259698e-05,32738360.89829111,1617859.9041900637,0.003932186247803883,14383.10279520604,0.2223012936368915,0.626238727217758,0.16110297181179456,1.7271038429406772e-21,2.3267936338277678e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,634.7032949123109,-0.2346909998545821,208.7113262700006,-659.2876443838268,311.2019796944444,0.3017909288235559,4.030326813956064,4.863096384069805,-13388.655569792581,162262.3303884673,0.6880259623267633,1.81809776750065,-1.1651934828908677,True,1.0,122.72657102701866,118.31267355895851,121.33842912524034,18200.470025465936,160.23600939825354,226.71071132280233,3.8593988007177395e-05,242.38579052494973,29616485.13668108,1227394.9590587616,0.0040193544468464714,22115.67890202429,0.20357545301793076,0.6267515029462568,0.2397120383784452,8.010650619883792e-22,3.3320782525622047e-12,121.1710648052984,True,14971.25549191255,226.5092621624807,161.33851911173878,242.38753772470704,-0.0001853655412467812,30067363.78131008,1385206.161289692,0.0041035617654748115,16400.97161171778,0.21463944230646834,0.627241068800828,0.17767438154337833,1.5267644060329683e-21,1.5372295200050068e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,660.0681806148165,-0.2470570572802841,204.75382839864122,-626.8439537874439,318.99988102915296,0.3362921444604011,4.568986237116151,5.03729384086701,-2372.457803001307,186116.60996885493,0.7125347975117361,1.9817955327568728,-1.0521082534828232,True,1.0,121.49844973073245,116.73902966054743,119.96546582669771,18000.27934726567,164.40796180557513,222.63451156127363,-1.0655358847055758e-05,239.1791622599197,30465805.031148434,1403704.70854187,0.004330919788998485,19840.667103685777,0.21465032438103815,0.6285357995798109,0.2124044356003061,1.2416342962609163e-21,7.359426145026553e-12,119.7807988658766,True,14776.695979278997,222.42179267375855,165.52757927822717,239.18099224138595,7.80464078496641e-05,30930327.97947741,1583775.956269264,0.004424649926505054,14731.37522091775,0.22628439757790406,0.6290585938950372,0.15743400701793114,2.3646649107560904e-21,3.3710213746498074e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
