,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vwf_2,xi_J_2,v_calculable_2
573,154.9391288634008,0.200093128538962,-116.62756720253996,126.07727615618576,-865.285945558184,0.1317979849082651,3.3755820313549503,1.13772991211784,1022.4701710355403,-53282.9850913342,0.4478058873711194,1.0335171598583777,0.035930861779273376,True,223.61470807883305,-115.80288780578964,4.4041954605680713e-07,-3.60593742497736,93.56948735337444,46.92690592772546,0.019458804018299698,1.0,0.019458804018299698,46.92690592772546,hs-SNR,,,,,,,,,,,,,,,0.6560474180143243,0.6796719763475599,True,,,,,,,
574,185.73589152287488,0.2214349940283204,-163.26276137143822,112.73595471346249,-565.1940879071362,0.13657467921862373,1.9684309107935063,0.7910029710710176,414.7994418210492,-36761.74911462301,0.4357472786493478,0.6239415562102129,0.05710964734827057,True,212.47149563280846,-164.8374876224769,-8.80061503667886e-06,-3.932852215457567,106.40635278025302,89.82938681038462,0.019460928419099955,1.0,0.019460928419099955,89.82938681038462,hs-SNR,,,,,,,,,,,,,,,0.7548104988485793,0.6796769223135536,False,,,,,,,
576,140.09016366804292,-0.0174272818348556,123.0063459384805,-122.4294279750662,420.36966202424753,0.1290840603287107,1.3603959241272616,0.9975984166752462,311.87337810294594,-31055.222330718243,0.4406101127712341,0.5063653838110231,-0.0538043516590371,True,221.0633361432033,121.84948700976824,2.1894695120097266e-05,3.3316986617544626,95.43180210963504,62.21009207197172,0.01952793679827799,1.0,0.01952793679827799,62.21009207197172,hs-SNR,,,,,,,,,,,,,,,0.6750961047919044,0.6798327553040004,True,,,,,,,
577,171.3763430937201,-0.021118436959118768,126.67600735262968,-128.71504647901023,482.9099457550008,0.12912457160124569,1.8614843922044424,1.0253856940640074,-251.20944158958446,-31020.6859765947,0.4417881716320333,0.6362687137284451,-0.012082067841215405,True,218.48799349285213,125.21373291992685,-1.0616571709266437e-06,3.6644330268852254,98.65940212423716,85.38559609860064,0.019531594100294203,1.0,0.019531594100294203,85.38559609860064,hs-SNR,,,,,,,,,,,,,,,0.6978447195096213,0.6798412509492374,False,,,,,,,
244,414.97209239172446,0.2519188825494843,148.7453864888594,-287.9006854699532,177.6680863637954,0.20931091267818205,2.943289728705781,0.9035694482852078,-20140.812111229003,7417.777093589004,0.4768056652630515,0.88641734022398,0.13996353074091025,True,220.12653362360084,142.28385923281766,-7.798599090340058e-06,71.43373784071466,97.4115724972579,123.52083116813805,0.019533397486901246,1.0,0.019533397486901246,123.52083116813805,hs-SNR,,,,,,,,,,,,,,,0.6197530722371954,0.6798454397161999,True,,,,True,,,
245,418.4790601537042,0.2469576289259489,144.11506647135099,-285.5162051470867,163.53196882852208,0.20768639542694545,3.108416670142136,0.9157505307047901,-19048.71117000991,8701.907390912787,0.4765009517382491,0.9297292559863324,0.14024056017734238,True,220.03150795687978,137.75032523849038,-3.8472287921451404e-07,66.79834124110094,97.49596380534037,123.71865035717195,0.019543822048135952,1.0,0.019543822048135952,123.71865035717195,hs-SNR,,,,,,,,,,,,,,,0.6200645894849582,0.6798696483149541,True,,,,True,,,
578,161.60173750106694,-0.01972777356228909,121.06740761286892,-132.9291034152702,463.9529700908457,0.12910769620408355,1.6716576410409087,1.1049022064004723,-170.14019227204338,-31457.65187776149,0.4450929219474716,0.6020647779936392,-0.05346690156888776,True,219.4642952106645,119.918617763321,1.4087081693434067e-05,3.459238406042057,97.31915392426563,79.43673506456035,0.01955133266481656,1.0,0.01955133266481656,79.43673506456035,hs-SNR,,,,,,,,,,,,,,,0.6894095469417603,0.6798870849286415,False,,,,,,,
580,169.74366060891194,-0.01961128670969416,117.08214014482594,-139.7931811730394,519.4506335625995,0.12911585835302142,1.949200497367748,1.2029299627915535,-295.98055735304837,-33826.91642359773,0.44918149287156894,0.6877884514738625,-0.056478247709414224,True,219.3916566224009,116.01799034723629,-2.342937488481865e-05,3.3676334401418533,97.38756359613743,83.59927601365864,0.01960281902631596,1.0,0.01960281902631596,83.59927601365864,hs-SNR,,,,,,,,,,,,,,,0.6908799453331094,0.6800065021321756,False,,,,,,,
581,123.59243339327642,-0.02137776558212957,117.75637395714381,-124.46663199314898,443.1984558187023,0.12907269231034393,1.2775497169138026,1.0567097154219904,493.39594331180984,-34482.53891038423,0.4430673995431651,0.4955057151321157,-0.08943845600032574,True,222.8320045717199,117.54124170905264,-2.387570033638225e-06,3.2844027639678464,92.97370013781244,52.35091521767194,0.01963892489455386,1.0,0.01963892489455386,52.35091521767194,hs-SNR,,,,,,,,,,,,,,,0.6595480009109244,0.6800901282250605,True,,,,,,,
248,667.8764228207164,-0.13209532430695595,-189.58789013575625,1020.4812905456688,-653.1307683029042,0.1906662048990029,5.5543363625862,4.1786783410669255,-106815.46482960584,39328.58298093833,0.6039461819060336,2.085030480824371,-0.5952671424096353,True,223.01347603684312,-186.49507334545785,-2.266531655353203e-05,-153.91151302075696,93.85474128813378,121.31153676708156,0.019695396198775684,1.0,0.019695396198775684,121.31153676708156,hs-SNR,,,,,,,,,,,,,,,0.6294490385788974,0.6802207296269706,True,,,,True,,,
249,823.1100057390075,0.2251566743218884,199.68326487756363,-598.3893689300295,142.67108474056775,0.4012063446301397,7.300447257357375,0.0668481946304115,-93836.7123402408,173809.2314760946,0.5378899956700806,1.8362531801110795,0.4010533169810172,True,224.61067352994166,194.9254791036948,4.808400746448803e-05,158.90765984785497,92.09196820154085,117.64090295029968,0.01979192402588765,1.0,0.01979192402588765,117.64090295029968,hs-SNR,,,,,,,,,,,,,,,0.6227828842596178,0.6804434250489708,True,,,,True,,,
