,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
0,344.76520343814315,-0.00307280339638466,209.79493119935609,-716.5277510235959,333.2073284154144,0.12908213513559028,0.9685215455343333,3.421512445749447,-67202.57306686939,-27090.687997919857,0.5416055680527656,0.8123824606751578,-2.892726587240263,True,1,144.19042506599362,142.03928335898345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,688.0127149951409,-0.04280038403190087,-148.94716184847528,920.8990806426744,-956.743638897994,0.13598632661367013,9.638081485097619,5.649153673941584,-66258.6062666449,55148.05478309278,0.6378760482998113,3.351045983598002,-0.6917960821870703,True,1,145.73330379605162,144.0392102762732,145.43267048267813,21706.297455017113,94.9066049996712,-140.3719761732874,4.1202641995470866e-05,-136.3011102785167,17283487.09509933,116282.05170607567,0.0011296072878031038,119424.07317987182,0.0820239459384348,0.6041332238941288,1.0,4.611701375472987e-25,9.870890143756767e-18,145.35933047181447,True,15026.264959092698,-140.4523298635113,96.11793016861205,-136.29973374670854,-5.713330125226286e-05,17720916.660829306,146739.83429813385,0.0011602790570318941,65728.02694483763,0.09099780582893532,0.6044853057018558,1.0,1.6759415336958554e-25,3.8984830563592024e-18,0.16046490032398456,0.1870383551358947,0.0,93.99735098325456,0.15964800330642664,0.4408442967129688,-136.30131032652022,-140.35984681247683,Deflagration,0.0011336755721005176,0.16046490032398456,0.15988876138892982,0.5773502714393195,1.000150752429267
2,439.7659250546232,-0.1899569440644066,244.48800944146984,-694.5500171529599,690.540565907085,0.18134686699929714,2.256720650883565,3.38837077921323,-57548.019639756894,-17340.49851855138,0.5663570312122767,1.1289086259230963,-1.0905270502410733,True,1,134.2569066215659,132.7925536310996,133.9253482133698,20033.188945673297,109.13867572374852,268.3444885834866,-4.704273879609909e-05,276.8326578734152,17062974.291258693,156882.85809087753,0.0015495347425188509,99460.97828155848,0.0958871428489756,0.6085852535179317,1.0,2.2229894978335734e-24,8.140586239835798e-17,133.8657274458819,True,15279.12725104482,268.178381998377,110.29064067292325,276.83458736210355,6.075297238867739e-06,17431700.18288529,187347.69743585587,0.0015859066118638176,64429.867194266415,0.10367028825719397,0.6089389061774746,1.0,3.958838588210626e-25,1.1209919119250002e-17,0.1424920017114772,0.2378597766743379,0.0,108.5755882668677,0.20147623187266048,0.5285570308671905,276.83239099628025,268.3681037046211,Deflagration,0.0015569960716042743,0.1424920017114772,0.1417977219106099,0.5773502777652514,1.0001638177961931
3,560.7582783867086,-0.17820813004044667,267.84346724420226,-901.731830529741,207.21996573610684,0.2065257306003782,1.8018478044636017,4.157148943701705,-79887.35034587263,97720.47659554021,0.6109788865331703,1.143320108399518,-2.1912749184484612,True,1,133.32885051501597,131.90892112837184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,399.95978321945404,-0.2091297099646032,122.81189395890415,-282.06387263291737,93.35436050107401,0.18038530901044958,3.169360567223842,3.2660574957159225,923.7388708066101,65715.77080326717,0.5607798654054651,1.3366830577586142,-0.6610408508620679,True,1,133.36186243611783,131.73365529704336,132.9762261742709,19895.03128809152,114.42575564359706,147.79394753228743,1.5218001423620098e-05,157.67933686122512,18152714.09408319,195310.88236379623,0.0016966483809592837,85193.56256362126,0.10372714805019265,0.6099899137328392,1.0,4.174245608311733e-24,2.360707152232143e-16,132.91082770704838,True,15397.806195634741,147.61100424960085,115.56445632727718,157.68213364144052,2.25608862284796e-05,18524347.146395206,231055.70261383057,0.0017348577653462857,56460.65469695396,0.11168295344246656,0.610344038582511,1.0,8.166270143189037e-25,3.1764392992646256e-17,0.14932832418753025,0.23075852375468736,0.0,113.83119230413736,0.1952498989793253,0.5331906242684062,157.67889812967312,147.8230916208633,Deflagration,0.0017047735039962336,0.14932832418753025,0.1485282217189412,0.5773502785791867,1.0001961603757763
5,450.78053761107657,-0.2397292624912412,266.1574630210262,-674.0029102500938,998.4272141398486,0.21629696324351022,2.6935399436755967,3.1925162652088184,-53201.5862850617,-54921.12515048064,0.5756714745841994,1.205471030120369,-0.7296849338835351,True,1,132.40064005639465,130.88762059590294,132.03982518302143,19758.899266189386,113.75119027635918,292.9318943378121,-1.943704152854072e-06,302.2486144911078,17711938.978721023,179418.2268090248,0.001703788349456419,90324.66108812422,0.10064685912589265,0.6100564069987016,1.0,3.7426199316071365e-24,1.8269718584515932e-16,131.979182836331,True,15313.315013081277,292.7528221305653,114.89837547899009,302.25029157477763,1.0514640578907909e-05,18077079.470849514,212014.35428333282,0.0017421662138520139,60151.95887976747,0.1082975169264806,0.6104112987999688,1.0,7.175457588117197e-25,2.4376510736462232e-17,0.15046801525898273,0.2676866430887577,0.0,113.19749797229963,0.226357061369526,0.5401767228550192,302.2483002587129,292.96619588989466,Deflagration,0.0017120916588703346,0.15046801525898273,0.14965774092708828,0.5773502754041738,1.000199818538764
6,393.9738695236298,-0.20094829040665507,122.55025357995146,-293.35262881629563,93.48275736977983,0.1749404865824905,2.9484845316237003,3.2984503106196708,-577.5248006899528,60245.12596396,0.559407154812475,1.2868628513425369,-0.7475481965814348,True,1,132.25184557243142,130.10532201608294,131.71157322588994,19711.09907009728,124.40743526679928,145.75962214804332,5.7087195773530665e-06,157.79265717729197,21115921.169234276,320627.2050318718,0.0020519150190332295,60533.06968686229,0.12322396203478772,0.6131347618320229,0.7119118354748795,1.4534717148762443e-23,2.353532460619506e-15,131.62703368853167,True,15503.90559245252,145.56341511697377,125.53165219588078,157.79640719968654,9.053915330488545e-06,21514215.544017553,374600.93686795235,0.0020960910386675267,41273.030322850456,0.13195373023526513,0.6135047617262404,0.8413224565441156,4.060074517265832e-24,4.003094337248514e-16,0.17982355506614153,0.20950493167191225,0.0,123.62146305972034,0.17697679029225993,0.5224734040401996,157.79167528357883,145.81228183334576,Deflagration,0.0020609570534753435,0.17982355506614153,0.17863242109910993,0.5773501608249602,1.000338012028197
7,383.8460013391594,-0.1963822210472433,127.6973723273485,-305.85657082629973,97.56459701716444,0.1704322985048427,2.520198239212027,3.196774822687691,-2662.1277015502674,52931.66503124935,0.5529165821098186,1.1628453635842884,-0.8433142699164113,True,1,132.03612237796372,129.57783186395346,131.411462176628,19667.663690615725,128.29174656989179,150.22369694249812,-0.00011361770763872836,163.5101170800582,22477724.837612152,394887.3700993061,0.002204628719555334,52310.89439541944,0.13254411405918187,0.6143964415221199,0.6129057515891065,2.4058670806517534e-23,6.070822880415859e-15,131.31495531806615,True,15504.433284679037,150.01621253962207,129.42786947151967,163.5146408113267,-8.89437527874926e-05,22896821.848292947,460439.9633849859,0.002252461832763388,35817.79053924462,0.141807402741672,0.6147819208155076,0.7285027837087908,8.2649415405934e-24,1.2546567765227413e-15,0.1990494230600065,0.2053407247555548,0.0,127.36133989985943,0.17331280461236204,0.5137525220447177,163.5085727849518,150.2965867683144,Deflagration,0.0022136699511638913,0.1990494230600065,0.19760920415310854,0.5773503779332829,1.0004493585601222
8,573.0298214615383,-0.18661595484731314,275.9995085661681,-946.897293952084,209.698666836078,0.21787016017182617,1.782046932048254,4.269812410401406,-85509.07409315542,103300.3282450122,0.6213454124313819,1.1571471347456312,-2.339764222535358,True,1,130.2651378946039,127.99845607826059,129.6816356303462,19415.8067723161,128.17704877734656,295.9491954774081,0.00031907309436566254,305.83241996036725,21990302.15959835,364957.0608677864,0.0022763513044679567,55313.7685595702,0.12882652339763492,0.6149727956907227,0.641805895102865,2.3757117846694555e-23,5.280121021783539e-15,129.593047232868,True,15347.256115296834,295.78749384782446,129.31473014178118,305.8336351812977,0.00019967174344570127,22395583.670645714,424556.598218441,0.002324761254970762,38103.983607904105,0.13768499232005044,0.6153563118155158,0.7628536360947726,7.085115161441676e-24,9.300945837131005e-16,0.18738215789815585,0.2143846184398986,0.0,127.4098418333897,0.18099376061144987,0.5234909245873293,305.8320240949308,296.00335577531075,Deflagration,0.002286095442220512,0.18738215789815585,0.18599662854791946,0.5773501834206126,1.0004122886292035
9,465.9148218224904,-0.2521272106756713,259.7050911075387,-666.0099769956644,988.784382131866,0.23247720059709334,2.8438077091261653,3.325530096552973,-46726.633934356534,-41921.653206002855,0.589303836233664,1.2652069433737034,-0.7397360741954769,True,1,129.42874821440907,127.18431029430396,128.82529003217928,19291.186434349933,131.02966168900753,284.74402286588315,-9.394218188033623e-05,297.1927813140126,22268589.430386066,384904.56671476364,0.0023681660705271446,53216.9405065759,0.13147106403390824,0.6156965388937835,0.6129057515891065,2.888994414153418e-23,7.353267297717788e-15,128.73892267755429,True,15417.887360630371,284.5468373573094,132.13131311932761,297.1948508863453,-1.7828259597046475e-05,22658256.008384228,444173.73089051247,0.002416192020160745,37469.23797787016,0.14001133459684928,0.616069098716321,0.7454803803303051,7.994962951186773e-24,1.1259168924784632e-15,0.18480968148585536,0.2180521277846835,0.0,130.31023380934238,0.18388043143759306,0.5363051166321647,297.19210672511434,284.80965687140974,Deflagration,0.002378204238694801,0.18480968148585536,0.18339126033910869,0.5773500927497397,1.0004097288635359
