,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,num_FOPT,Tc_0,Tmin_0,Tc_1,Tmin_1,Tnuc_0,action_Tn_0,h_low_Tnuc_0,s_low_Tnuc_0,h_high_Tnuc_0,s_high_Tnuc_0,Delta_rho_Tnuc_0,Delta_p_Tnuc_0,alpha_Tnuc_0,beta_Tnuc_0,vwall_0,xi_Jouguet_0,f_peak_Tnuc_0,Omega_peak_Tnuc_0,SNR_Tnuc_0,Tp_0,volume_shrinks_0,action_Tp_0,s_low_Tp_0,h_low_Tp_0,s_high_Tp_0,h_high_Tp_0,Delta_rho_Tp_0,Delta_p_Tp_0,alpha_Tp_0,beta_Tp_0,vwall_Tp_0,xi_Jouguet_Tp_0,f_peak_Tp_0,Omega_peak_Tp_0,SNR_Tp_0,Tnuc_1,action_Tn_1,h_low_Tnuc_1,s_low_Tnuc_1,h_high_Tnuc_1,s_high_Tnuc_1,Delta_rho_Tnuc_1,Delta_p_Tnuc_1,alpha_Tnuc_1,beta_Tnuc_1,vwall_1,xi_Jouguet_1,f_peak_Tnuc_1,Omega_peak_Tnuc_1,SNR_Tnuc_1,Tp_1,volume_shrinks_1,action_Tp_1,s_low_Tp_1,h_low_Tp_1,s_high_Tp_1,h_high_Tp_1,Delta_rho_Tp_1,Delta_p_Tp_1,alpha_Tp_1,beta_Tp_1,vwall_Tp_1,xi_Jouguet_Tp_1,f_peak_Tp_1,Omega_peak_Tp_1,SNR_Tp_1
273,762.9786762153873,-0.2284748137265324,-217.9163296514428,683.5710875283713,-594.031644260428,0.3687873192942593,6.185374278225895,0.8075175989170089,-107433.95883064881,93683.30660686361,0.5525417081807485,1.680929836042642,0.3424314092381695,True,1.0,101.94432267201495,0.0,,,79.74398590452141,12100.017296423475,233.78762081089397,-215.12480804073738,1.1963210115527374e-05,-174.28276116452705,46978470.97130573,25213726.568122268,0.03556323104322571,590.0373857304656,0.7326036543103264,0.7101261520095883,0.0042054445006315605,6.002085428732505e-16,0.024217717352052182,79.70098655202736,True,12068.052861296135,-215.13068260872376,233.81377444329257,-174.28177722021834,-1.3187376333073393e-05,46996247.02108705,25256896.050064445,0.035655757718380754,586.7098240364836,0.7330918637075117,0.7102711450465887,0.004181293519435121,6.112500249139807e-16,0.024758500327741195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,147.9538407015342,-0.01966674025749398,100.82156831214195,-132.32673757152006,494.7437211996514,0.12909401122102998,1.5735880116477825,1.3174293532208725,1179.3991886440117,-33735.46643586801,0.4539413772401282,0.612968561782091,-0.14664844612498656,True,1.0,108.15258236816331,38.49500673736677,,,81.90345929685735,12418.01671371989,231.5332541156376,101.05891250213816,4.612592307264349e-05,212.3019200622512,53095275.72029054,31076034.131102085,0.03600875731473757,616.6603360492057,0.76504125408371,0.7108219517011153,0.004532399302931362,5.742569672560054e-16,0.022065956726576928,79.61473402910019,True,10841.074611820699,101.03043499593952,233.0023464711877,212.43851636981762,4.448949716193393e-05,54285939.55851123,33495868.807759166,0.04137036225561286,484.94072988343305,0.7855104084190229,0.7187631020234931,0.003457557288474603,1.3560773830215321e-15,0.060054919743385005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,399.17436793043083,0.20876554050803767,336.3280740210671,-976.3360130634904,73.18149514719914,0.17998697547255596,0.3969418056788805,2.551084005446788,-173174.46060188985,9624.307559051595,0.5307901365419709,0.5244161189941847,-3.9188692735661994,True,1.0,104.24697605847207,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,121.21873336844784,-0.01621566094948505,119.15901504016188,-133.3503890008244,538.7791777587646,0.1290720280047097,1.5838561001213471,1.118569141352844,-125.0629153783857,-41727.39855996555,0.44564454347080024,0.5823922152558108,-0.06842017534175882,True,1.0,100.75220602283395,59.70128094063829,,,77.81068354951377,11814.438592541188,233.95181153967718,118.83691997927755,-3.84454966084089e-06,2.5052255333970748,45142197.10079735,25664296.400481492,0.03780554614837147,861.8303055197714,0.7540034531758127,0.7135694546733995,0.006010207204097383,3.573545086617176e-16,0.010507162537450196,75.76098637245491,True,9883.98119187323,118.8731776065836,235.1318071978489,2.402822197919061,2.6720455480374614e-06,46078668.734459296,27674512.881600425,0.043074066798791395,691.8571715133212,0.7749791724070406,0.7211349028070272,0.004691758698326464,7.953626610958575e-16,0.029699366548572748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,886.6488585488391,0.22144182530658665,194.08952114690567,-595.1124496194042,148.3963776562286,0.43567590988678984,9.089974118230035,-0.3888396821839904,-96420.77879195628,208911.99793808622,0.5361377834311388,2.2076869158601773,0.4315175840083442,True,1.0,102.93653490567428,0.0,,,79.34123444049726,12040.51848031199,234.12182576570524,191.46239770682564,6.494416738669885e-06,152.95100250922184,47006203.59753084,25556145.652827144,0.03633344335796629,510.87879113717423,0.7373438948471972,0.7113253156803341,0.0036205903512006063,8.326246982960626e-16,0.03625737658623865,78.82088382810996,True,11704.157539427599,191.52831472599507,234.42630784240282,152.93504951976522,1.1439877842675799e-05,47194467.79356563,26048598.41867149,0.03748028892474595,478.55530894529545,0.7429278410468789,0.7130788800240124,0.003378814756158077,1.030271271555201e-15,0.045960067487267026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,156.20158615430262,-0.02019407227401632,136.02023583155602,-115.9546942497646,525.4403722006151,0.12910353087366336,1.8925367646967919,0.8577570614848486,-11.748541338211908,-36295.84915913805,0.4347931249107772,0.6160937014216727,0.03191292535258669,True,1.0,110.80867469534819,60.98013122538156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,923.6751541220362,0.2190803090319238,195.93813854826976,-596.9649571970459,139.3071089395437,0.45539189972837196,9.74916616962705,-0.6363644112370127,-101580.45051828149,235368.5359844298,0.5356822479747206,2.331230807200594,0.4450074305121569,True,1.0,102.87945342313195,0.0,,,78.91488436986917,11977.556221104705,234.37611874105238,193.39451051990227,8.145730816629673e-06,155.72679846848308,46823179.30881071,25637970.727140903,0.03700340942739319,492.6331534196977,0.7399653336597372,0.7123542720508975,0.0034775279986558978,9.402896213343665e-16,0.0415654073484516,78.01346099280491,True,11417.772650840305,193.50488443461995,234.8918910807934,155.699327880262,5.992313295344968e-06,47135028.89550924,26474717.168075085,0.03905367652397419,441.03322132615136,0.7494519186601142,0.715425263617,0.003081373705031189,1.3532803410506246e-15,0.06151562100001502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,146.18478282331378,-0.024711195904854728,132.21920134000592,-122.1255011395867,483.64433846945167,0.12910291494818496,1.6394088107498472,0.9280016370701408,-210.21144022304088,-35155.456326105,0.43771967426409186,0.564519142199152,-0.0022229375112397254,True,1.0,108.91424064324323,55.868072338326314,,,81.32601545167317,12332.575485971673,232.3292124551325,131.2889721500939,2.0080922941141255e-06,2.0340752206414088,55223231.88442221,33278280.23396103,0.03855808219624152,642.5078981421158,0.7762820202780971,0.7146933780125279,0.004691758698326464,6.5429242291744e-16,0.024487371847550343,78.62541690452805,True,10380.671192528025,131.41390592494704,233.9629047696803,1.869239764575636,-8.026458772578055e-07,56591555.58512101,36135108.527287066,0.04540488913740212,505.58359656758756,0.79907743287511,0.7242743765214774,0.003558571021306578,1.6619144696720684e-15,0.0728502285788587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,882.5080068592497,0.2335850078857795,200.9877877621589,-577.2436406153395,141.5690875998868,0.4663565083640881,8.408515633386912,-0.6008989513612945,-99887.96804148634,205962.57854128745,0.5426422797874003,2.0019790831198456,0.45562097650893524,True,1.0,102.09622496463668,0.0,,,78.31970102652356,11889.62084852334,234.74290823178166,198.35535318773708,-1.973564896464416e-06,158.4729998055045,46747394.00812137,25893633.728226423,0.03811288609825581,508.21421756804546,0.7442482077088165,0.7140303282987903,0.003558571021306578,9.724187139986817e-16,0.04263478857028402,77.77378330425152,True,11535.169942354572,198.4256967208664,235.05051597903986,158.45855138274982,-9.936745671651823e-06,46945153.70447731,26409593.98832345,0.039392372887199746,474.8287418659614,0.7500418211070475,0.7159217353397097,0.003301865509065281,1.216075228203104e-15,0.05454752066603308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,895.5321383657666,0.2313004111758629,203.36076511251468,-598.2703353296321,139.6688790853737,0.46994738374365985,8.461925088236779,-0.5625701794757221,-104811.82952024355,215333.58514258434,0.546034749639085,2.0217195754799078,0.4605971116857299,True,1.0,101.84146133157527,0.0,,,77.96324803846878,11836.955367972552,234.92387131752986,200.79513776853145,-6.674291699122512e-05,161.52215696950964,46545680.16643119,25909215.319141388,0.03866774385750175,503.72540254840624,0.7460835071584886,0.7148558854304947,0.003517816135303143,1.0326367192359195e-15,0.045490200831871275,77.33945890565172,True,11435.701727653157,200.87377003573783,235.27113399368383,161.50635941147294,-9.672909140716464e-06,46769021.81616449,26495020.435799837,0.04016041785403245,466.27581381309716,0.7526671921731951,0.7170366294848235,0.0032266687068549303,1.3327926456253535e-15,0.0601038315425192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
