,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,eta_BAU
6,653.6378886121219,-0.0012806661631434152,-106.00964085149984,856.9137929494137,-27.68488542394948,0.9928103247284954,0.1290796645069711,8.239538619812718,8.063160879198657,-37709.95366964303,89049.3382664527,0.7314244360207148,3.403744801486288,-1.8435600172679958,879.2735884972564,True,False,True,114.12100704215143,-103.36985890777088,-1.855396553142699e-06,-98.14737557164992,142.53447634163638,4.7280026205706065,0.0017685768268590636,0.12178655980479808,0.6106531134522263,True,1.0,0.0017685768268590636,4.7280026205706065,noneSNR,0.2372266582938484,0.13592960444158836,0.0,111.92725367103479,0.13592887141338092,0.20386241459013035,-98.15008062989466,-103.33681878983818,Deflagration,0.0017649750374604497,0.2372266582938484,0.2358011872892813,0.5773502087924239,1.0005097857307774,True,143.2353116790418,17.055597128543646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009987620651693806
44,228.7615331666444,0.003509673880824571,62.0399840524284,-98.07771918000392,186.66465734409766,0.9829660094126768,0.1290778234426554,2.0784845769192137,1.5724500253693108,4765.388177590234,-3836.1334299427613,0.4561146886056298,0.7816961484580218,-0.16832624557729609,331.8137214973988,True,False,True,60.06043774689714,43.49745980268747,-1.5440568183321005e-05,35.60339463526344,150.9932628157201,0.8297496412044438,0.0004207856739744357,0.04813157647537319,0.5938545128579886,True,1.0,0.0004207856739744357,0.8297496412044438,noneSNR,0.12693464081410652,0.23838080901414,0.0,59.315252744927164,0.20402659419516125,0.4006711437526968,35.603272400708505,43.46725998953842,Deflagration,0.0004207268068508785,0.12693464081410652,0.1267690051858923,0.5773502692887406,1.0000349775876791,True,151.08692255680046,37.983668279270894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008133025467783125
69,371.74067766782616,-0.0035515476535263046,-237.3990701849744,723.0887410676071,-698.1104272804672,0.9708849572190732,0.12908684627259354,1.8773469968680432,3.0384323221306566,-78215.59957931716,-60152.32144770725,0.5113006518423879,0.9757421362387868,-1.1003170667453588,962.1824521882504,True,False,True,41.64984097753192,-227.6179817155113,-9.790369559557104e-05,-226.3433333463021,150.596104219164,0.2320658918101515,0.0002236335684734589,0.025655752529868125,0.5894307030076458,True,1.0,0.0002236335684734589,0.2320658918101515,noneSNR,0.0870156617384027,0.3837270504273752,0.0,41.035357090249406,0.3390557669968569,0.5131761532856719,-226.34315256537468,-227.61245996147917,Deflagration,0.00022362565757576543,0.0870156617384027,0.08695638068352651,0.5773502721813211,1.0000088437892554,True,150.6230988905397,61.10472647156504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.717405180004352e-05
70,172.70954865451924,0.010596130633647656,-157.41833028684863,148.94456369462455,-67.17222145631911,0.9572601589165312,0.12908722957351648,0.2365837278630621,0.9500472603502514,-3850.7167346882397,-4593.9715881363345,0.4177171521756545,0.2174871420241408,-0.8246869427371101,521.0081970341568,True,False,True,46.95576566282583,-141.46724453136244,-2.309890488993302e-06,-131.2772782569185,154.1497205351232,0.8242928582211277,0.00024714978264946016,0.04148400337907737,0.5900429605503279,True,1.0,0.00024714978264946016,0.8242928582211277,hs-SNR,0.14436019814090412,0.2294876799460817,0.0,46.22014450555781,0.2020950799236652,0.17308186098025166,-131.27570079023414,-141.4394471876002,Deflagration,0.0002471225463084638,0.14436019814090412,0.14424841803836366,0.5773503290572461,1.000027552337688,True,154.21965570827928,38.211377953464726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001787416153986157
87,105.6604485309381,0.012241980279379032,-80.45369922823528,-48.33472188779388,-248.75422212829943,0.9633596093457462,0.12906855385710034,3.814878715739368,-0.6035475100202898,9758.804817462109,4595.770593496822,0.3559033801528121,0.8531284272647937,0.10519691703750804,288.97114412467783,True,False,True,212.81940406436453,49.65934153225946,8.79473459309814e-06,-47.278939761525784,175.08386977940643,12.545789243737746,0.0037934665926678047,0.2556071633736481,0.6254096152248398,True,1.0,0.0037934665926678047,12.545789243737746,hs-SNR,0.4091619774750219,0.06398270651611296,0.0,206.9021834663348,0.04719611200572715,0.11184900262099016,-46.87537776655207,48.077422541387556,Deflagration,0.003728249607768762,0.4091619774750219,0.4015921056357,0.5773502732026214,1.0043447662054463,True,178.3661403206051,9.532351041847566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100167763769858
98,448.2829039835011,-2.0386496308158475e-05,-114.1716267967218,564.0295307793162,-142.62712448478453,0.9824418986406636,0.12907409667578032,2.5898456641033114,4.940055616933488,-24375.20641157188,17471.00947198653,0.5961722020066971,1.4708040188480762,-2.2266791666027115,601.209805482312,True,False,True,89.93730643741608,-108.94220366470672,2.6537752358843052e-05,-103.48005880699854,143.44576846957216,1.8773676531999968,0.0011649295515093294,0.0805933905541093,0.6045382595012365,True,1.0,0.0011649295515093294,1.8773676531999968,noneSNR,0.17579565224261245,0.17610620804884006,0.0,88.18960588557474,0.17610414171662409,0.25515629626448355,-103.4780912494038,-108.90637806153595,Deflagration,0.0011640619581009645,0.17579565224261245,0.17514001314581773,0.5773503525441662,1.0001862768173866,True,143.71339096002538,23.780711006028472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067279809562571504
20,472.91846382108827,0.003331608494265545,75.05460772286483,-482.25497814059975,604.1627017518879,0.9945004635003838,0.12909314067625102,6.591208180383013,6.387885741036028,-10378.449513729072,-9352.229435814605,0.6624677511023231,2.7124496686017583,-1.418615683101191,712.6925748498783,True,False,True,175.55335917581857,73.7913714658836,2.623610480801101e-07,42.88278259476611,125.53864442805698,64.69244045826721,0.006091975469664464,0.3587021686547423,0.6374856968438565,True,1.0,0.006091975469664464,64.69244045826721,hs-SNR,0.5221343181307845,0.04472183339123357,0.0,165.91030476387473,0.04472176198923152,-0.3675785950986484,43.15793228472428,73.47726398801146,Deflagration,0.005598148275724814,0.5221343181307845,0.4929926715924554,0.5780662534150238,1.0213590399852284,True,131.52919228240464,5.8458523292230895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13139764577705312
74,506.9367825186216,0.0019582920006157856,-90.9408134923583,509.6035107802079,-220.7345967997633,0.9929756522411182,0.1290817304045966,6.48262982589329,5.624791561857524,-15260.376683351797,34178.801064164436,0.6299088236776905,2.5581227167829104,-1.091035759104529,763.2089169738257,True,False,True,86.62488492606997,-86.32981918321809,-2.1787116775681484e-05,-81.5411933524397,146.70584965331003,1.9498143868557063,0.0010245475576672297,0.07670351738554826,0.6028875321131006,True,1.0,0.0010245475576672297,1.9498143868557063,noneSNR,0.17824819678259346,0.18005325977136893,0.0,85.07642819736535,0.15300776776978078,0.3205501965024555,-81.54043126776979,-86.30062326206564,Deflagration,0.0010238624328304648,0.17824819678259346,0.1776623118884343,0.5773502705900667,1.0001672473178078,True,146.9685295884739,24.571618026360866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030781359324026122
9,528.2807808268774,-0.005193853635522758,-109.7324805755492,581.6047982080273,-58.18163763862174,0.9901936303419931,0.1291327152175928,5.183170744703373,5.24956231052653,-24388.06976562709,54492.38756607656,0.6129204588519426,2.170719737930265,-1.2000683573238515,777.7741932220798,True,False,True,56.25091696191781,-103.3636159324792,-3.2645481203613154e-06,-101.83304367811078,149.59555663752232,0.46798723134782,0.0004064951102281256,0.03665428188982117,0.5935759800987462,True,1.0,0.0004064951102281256,0.46798723134782,noneSNR,0.10256928412386264,0.3191487066677636,0.0,55.38026754268292,0.2802184501104075,0.4908022454100254,-101.83291257210706,-103.35544228019323,Deflagration,0.0004064574559352164,0.10256928412386264,0.10244149842411177,0.5773502915124975,1.0000231592410949,True,149.65398259459724,50.30459444178884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018805208777933292
58,418.77467612907935,0.0023907583069827237,113.89504187094816,-566.2396389797591,394.4773102567258,0.9879957688454782,0.12908162676161164,2.6836560262800417,4.957973649814622,-24510.06006336581,-10529.131277525245,0.5996584405159672,1.4972429482057807,-2.160845106726086,728.4252649500743,True,False,True,137.17750202293377,110.76133834875931,-4.269002012193451e-05,90.5692165039827,135.5915248293363,16.319023890447184,0.0031123260637282595,0.20708037190112727,0.6210743814045164,True,1.0,0.0031123260637282595,16.319023890447184,hs-SNR,0.38948033464475856,0.06896615824963014,0.0,133.24185485506084,0.06896592275672808,-0.1938528810626106,90.54613749526052,110.60059617305613,Deflagration,0.003074651192060547,0.38948033464475856,0.38392542124968587,0.5773506541783278,1.0030493688304285,True,137.36751073148045,9.307961629376099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06664774659349916
