,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,eta_BAU
78,387.32685135603134,-0.002978587216434665,-64.79537741796696,328.08588182761827,-356.36708368577837,0.9972339472725444,0.12908393004470742,2.340607761268858,5.0383253902463085,-2857.542625401029,-14024.43064457725,0.6075925579262217,1.4248728386915994,-2.5822548895189152,869.3534482978831,True,False,True,142.2731841114934,-63.237994706244315,4.076382364871572e-05,-40.636722010569365,132.1120614006852,24.97388485310131,0.003404989261660405,0.2211019551548522,0.6229949366365892,True,1.0,0.003404989261660405,24.97388485310131,hs-SNR,,,,,,,,,,,0.3968418863821844,0.07074132492464963,0.0,137.64623235792294,0.070740999158152,-0.39384271361577006,-40.69279425619415,-63.13679976184077,Deflagration,0.0033572114746773306,0.3968418863821844,0.3905114462034242,0.5773506461010374,1.0035341478950146,True,134.09355132259586,9.39688116296549,0.05418011403241263
79,448.66312718290084,-0.0019571281365863,-67.19311642422629,325.3952444143802,-326.2654603219359,0.9910510982716983,0.12907996186931064,8.466637717004499,4.820723628883675,-3157.632480015685,15637.701084991817,0.5954505172299369,2.920113367398404,-0.5571244407178917,498.8784669364167,True,False,True,112.86782182993042,-62.25688293687453,0.0001079260855529876,-47.89071099048746,144.57215704516992,9.980940475575894,0.0018305699981540878,0.1453168934724907,0.6112132670414271,True,1.0,0.0018305699981540878,9.980940475575894,hs-SNR,,,,,,,,,,,0.3224050473727072,0.09143468576028377,0.0,110.50705026086716,0.09143427139439612,-0.03580176387761725,-47.895597634765714,-62.15667709838448,Deflagration,0.0018228097372287534,0.3224050473727072,0.32011300362949235,0.5773503140600348,1.001062677693879,True,145.55323372270954,12.460083240889759,0.04194707390396378
80,540.9909523656712,0.0006945903429662622,97.90829824001064,-683.9230463687388,749.3944336359531,0.9899209869045932,0.12907519851420815,8.050079387154364,6.9773605237030285,-25695.31010091312,3554.481101500307,0.6847483264020148,3.1754132674057622,-1.3828216889691158,684.373386816094,True,False,True,144.7759946668494,95.90485105065552,-4.29308600690484e-05,80.8455610338073,136.30182653413866,50.10865673549391,0.003338891811469861,0.2207771107404302,0.6225693161573265,True,1.0,0.003338891811469861,50.10865673549391,hs-SNR,,,,,,,,,,,0.4067550214884096,0.06668476243207241,0.0,140.79946857143048,0.0666845698643239,-0.13424017285410614,80.89570157003911,95.78511325488184,Deflagration,0.003289168750204577,0.4067550214884096,0.4001671738977372,0.5773499180052629,1.003758164288513,True,138.64446590124635,9.071559367579418,0.05763860340507535
81,118.68730948058828,0.030838268560253075,-177.47208590145837,53.87946426617557,-114.25795178506449,0.9658258804992901,0.12906185574240575,0.3994855676020093,0.302493110302728,3024.624318212123,-7728.628821237141,0.394841197239784,0.1502869102842903,0.07179941048695035,661.3139765506278,True,False,True,145.21422878674613,-161.9053551046729,7.363054438130339e-06,-21.796231916178538,141.00395579847554,34.54431961545485,0.0029567704465701845,0.41570408137026704,0.6200133553461853,True,1.0,0.0029567704465701845,34.54431961545485,hs-SNR,,,,,,,,,,,0.5944744973939915,0.059366583675966984,0.0,118.09199457423318,0.05936640079539617,-0.1383797987552965,-24.9840452254075,-157.31865070323406,Hybrid,0.002428330712094717,0.5773502691896258,0.5357407049303266,0.6009632362187078,1.0504485078929664,True,149.9589474932601,5.363644126381835,0.13723584403850722
82,289.13187098610814,-0.00593916627980386,-68.6472108752475,187.5457617248174,-517.3536478735907,0.9955821612992964,0.1290938669892009,3.852537862037903,2.708145363103016,1331.4446740483618,-18083.699130345063,0.5096837655103142,1.4144920260266451,-0.3468295093885216,727.880808465153,True,False,True,116.48305094343256,-60.72344553672058,1.0963992502968078e-06,-32.50312403903942,142.417796356623,11.357876271560285,0.0018134237351153954,0.17129574460160768,0.6110593631774623,True,1.0,0.0018134237351153954,11.357876271560285,hs-SNR,,,,,,,,,,,0.3728377523708236,0.09281532930718986,0.0,113.80651374480908,0.09281498878835932,-0.003792813239437514,-32.54602420318852,-60.497112288012794,Deflagration,0.0018021158683518234,0.3728377523708236,0.3698700740114833,0.5773502498420283,1.001564776811665,True,143.60884979617495,11.345225207519471,0.052844206265033014
83,468.4514537502896,-0.0018781764723543113,-60.8226379410073,319.93202849619894,-334.2280495519788,0.993618836707021,0.12908002623287448,10.86073118711653,5.234520030368954,-1952.7223015064153,19074.78935672331,0.6139660944586406,3.587602801840625,-0.5016371758657536,535.8140221007196,True,False,True,118.34031067633528,-56.717922428130684,6.304449954517525e-05,-40.211249324352174,144.4464575740506,147.55046368744544,0.002015771158589641,0.1643428331346613,0.6128288508143146,True,1.0,0.002015771158589641,147.55046368744544,hs-SNR,,,,,,,,,,,0.3655352886393656,0.07807978500046149,0.0,115.57718197617424,0.07807947403144197,-0.12763141853289553,-40.252846749569905,-56.60023299465596,Deflagration,0.0020025299786352005,0.3655352886393656,0.3623697498225834,0.5773502966253855,1.0016489828539399,True,145.78434950306362,11.059339660578557,0.04624616656326962
84,375.9887577697914,-0.0029768380976404746,-70.94136846086003,293.0843301863469,-386.89811005325896,0.9968089584148913,0.1290832858721788,4.332035520956153,4.109932571149376,-2625.5092502409148,-6294.747587639038,0.5686973402067687,1.7679976420972676,-0.8457209174683722,885.8842979390507,True,False,True,129.13741303575108,-66.47938872189565,-1.4349057999237557e-06,-43.16555425604218,139.03103764867066,15.780748360497935,0.0025534163125121505,0.1946060786637487,0.6171121286758959,True,1.0,0.0025534163125121505,15.780748360497935,hs-SNR,,,,,,,,,,,0.3937319344753849,0.07432682187763981,0.0,125.6390577212748,0.07432657700750851,-0.12507513937310352,-43.16907817715178,-66.28059027444318,Deflagration,0.0025270199242763713,0.3937319344753849,0.3890449751902832,0.5773505063146721,1.0026011786376228,True,140.62785977900285,9.70787611169473,0.05108317446569788
85,454.94471845858993,0.002817440315437349,-138.44616659010126,803.2296768254672,-906.9310312878135,0.9744908440618544,0.12908662395835652,4.087668440777887,5.81756199608016,-47625.958814896214,-46732.09088453017,0.6288513116846914,1.991510776207832,-1.9407991843311505,601.1503326021177,True,False,True,178.13396165131584,-137.61665342906807,-2.339582460127543e-09,-81.68716741986898,124.23209447318744,138.1675188719203,0.00689285677083317,0.4158565104679266,0.6410691942447383,True,1.0,0.00689285677083317,138.1675188719203,hs-SNR,,,,,,,,,,,0.5618491713846361,0.038612580034304594,0.0,160.79733417442077,0.037401476310043015,-0.981781046506962,-77.96717425904308,-137.12881564963686,Deflagration,0.005836762714978611,0.5618491713846361,0.5099947990710574,0.5877393812913736,1.0411303611375826,True,132.56259595113988,5.387795001746587,0.14087190213402995
86,277.38492234818443,-0.006052458864782558,-75.12571813520162,176.27256044635482,-481.1489036482656,0.9956983299587144,0.12909261755711862,3.718627255745085,2.326310595597313,1146.9754213886608,-15767.070869565388,0.4938311899111674,1.3173752465358235,-0.2347325667785458,807.3287542601753,True,False,True,113.59720502103588,-65.50769973219101,9.866047930207297e-06,-36.965956711497924,143.74101713549499,10.22009103274786,0.0017154300865938675,0.1635952490509428,0.6101645072592772,True,1.0,0.0017154300865938675,10.22009103274786,hs-SNR,,,,,,,,,,,0.3664712166363722,0.0950159729281786,0.0,111.07225051846491,0.09501566096020392,0.0060756316898220725,-36.99551750663618,-65.2675519348069,Deflagration,0.0017057218202709628,0.3664712166363722,0.3637596461199159,0.5773502060425609,1.001419025435826,True,144.83106189452073,11.67556113464476,0.0439002320397411
87,375.05505239636665,-0.00645195202550309,-72.54404061912437,323.83504522783574,-162.0595215256387,0.99635920114156,0.1291170245105641,1.6272028947332249,4.4188174999588,-4038.628471593329,-4561.780541586661,0.5813603044238375,1.143270307009773,-2.8708082093281115,847.812843370417,True,False,True,143.4471182781932,-69.74707254997871,2.258550937809996e-07,-40.98343925858299,133.27332021032566,34.66493564515961,0.0034633108240371088,0.2416844146534589,0.6233667484881222,True,1.0,0.0034633108240371088,34.66493564515961,hs-SNR,,,,,,,,,,,0.4403932586008241,0.061149844267081185,0.0,138.13906285212497,0.06114966103857355,-0.33496956940859285,-41.03452715277433,-69.52236031509405,Deflagration,0.0033915721931030963,0.4403932586008241,0.4319041940291215,0.5773506659171126,1.005246557125571,True,135.63969277640746,8.21404317280804,0.07231348838101771
