,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,Lam_CP,EDM_bool
247,680.6157666521739,-0.14190221761360816,-193.13211240202446,1031.4844481872867,-639.4588576712417,0.20292162594762256,5.575331963125813,4.022925856832467,-111885.19660868672,44518.112010215584,0.6035842055872409,2.0643206335868647,-0.5227720438019408,True,231.3263736220049,-191.026815725024,-1.4387467837986895e-05,-155.6229492592957,83.49225364484495,119.28665708932988,0.0318308175726295,1.0,0.0318308175726295,119.28665708932988,hs-SNR,,,,,,,,,,,,,,,0.7222022542011087,0.7040496389717086,False,,,,True,0.6962813560592398,0.045840076621388386,0.0,212.88579206405842,0.04584006577378175,0.11910694896578435,-156.25391487979527,-188.40668948570183,Hybrid,0.014360204824887746,0.5773502691896258,0.4716844915370058,0.6976283370701382,1.2201740650866546,99.0,False
248,660.4059381227636,-0.13974997783141402,-193.57996223865933,1016.480700018222,-722.8670695168221,0.1963752346856933,5.454134054304934,4.0339672974245255,-109284.28538970932,27567.610729116524,0.6007710699809454,2.035861396480321,-0.5495219139114511,True,231.18338642109367,-191.48369308356632,2.391415650702332e-05,-154.98376027553962,83.74188958994664,119.75468774203895,0.03184942644903765,1.0,0.03184942644903765,119.75468774203895,hs-SNR,,,,,,,,,,,,,,,0.7228934201464496,0.7040811019270209,False,,,,True,0.6971859441535001,0.04509784788529561,0.0,212.45906537102178,0.0450978368065817,0.09858288528289376,-155.64703611414703,-188.84877788746627,Hybrid,0.014315357397138009,0.5773502691896258,0.4718609137688964,0.6983768109504263,1.221306989740503,99.0,False
249,888.3953052773558,0.2324912893898868,200.6874420534896,-559.4813092686528,148.40480188296934,0.467827768466765,8.609106527364661,-0.7225232182004563,-98473.72828854714,210563.78249337134,0.5383102320537737,2.0318560954744243,0.4526682452578407,True,232.47581312121414,197.55407925519816,4.482337957921383e-05,158.7787519099347,82.09418620970325,116.33278506027351,0.031867941128558085,1.0,0.031867941128558085,116.33278506027351,hs-SNR,,,,,,,,,,,,,,,0.7165039398624011,0.7041123933419345,False,,,,True,0.6786061271230229,0.04532554519993348,0.0,217.53549853468812,0.03874236903359588,0.3453413582418661,159.24861715149726,194.2436030282176,Hybrid,0.015403709411855471,0.5773502691896258,0.4676459869290597,0.6833784903582862,1.1993120005390154,99.0,False
250,796.6692830743773,-0.2239483233435662,-215.338054608594,677.6057694324867,-586.1847849636844,0.3809182088537122,6.847148731489903,0.6183715543099119,-108488.07206160002,114650.84737702385,0.5507260677685126,1.8148491085907947,0.3669567997265421,True,232.53191588497128,-212.32822148665142,4.44464538750716e-05,-173.34308874895916,81.76209936171456,115.67928984394405,0.032397130956691084,1.0,0.032397130956691084,115.67928984394405,hs-SNR,,,,,,,,,,,,,,,0.7186812589009051,0.7050016385315808,False,,,,True,0.6884993816628249,0.059560562849912485,0.0,216.31603279176147,0.059560556751934286,0.26123953700179353,-173.76912178685487,-208.83290815814968,Hybrid,0.01503837337228656,0.5773502691896258,0.4690457328676139,0.6914691824547599,1.2115084536051912,99.0,False
251,654.5616755623571,-0.1441804742987352,-190.54879037169948,971.7252863034784,-657.8831099347096,0.19937140416400367,5.380681579898878,3.8484333346155535,-103210.21385505267,32087.675070456164,0.5945385729363935,1.9865759507439789,-0.4887588499244815,True,231.4716142917778,-188.43066689248352,-2.7429039442133866e-05,-151.13925769066748,83.30910586722564,119.55238340278324,0.03253842562122185,1.0,0.03253842562122185,119.55238340278324,hs-SNR,,,,,,,,,,,,,,,0.7263075591262037,0.7052374094432576,False,,,,True,0.6996913968600016,0.04527535277673613,0.0,212.68286303159002,0.04527534193863749,0.10015121250596654,-151.79715047249704,-185.7085231855947,Hybrid,0.014438051094421957,0.5773502691896258,0.4713788346709141,0.7006410572832455,1.2252423238079249,99.0,False
252,919.8281704404736,0.2271779834603937,200.30590487289268,-565.7905181615821,145.63331688931166,0.4765690934369269,9.315505324507068,-0.8706194191314169,-101909.90745137047,232596.92957466445,0.5365102195000646,2.1837730946048644,0.4562272508163594,True,232.81196632377186,197.32058937708808,-1.2286051525349514e-05,159.4831332687611,81.56073288767637,116.42572282359295,0.03268109355279407,1.0,0.03268109355279407,116.42572282359295,hs-SNR,,,,,,,,,,,,,,,0.7208169497438353,0.7054747712940759,False,,,,True,0.6841557715836795,0.04499497856974508,0.0,217.59163892712712,0.038453215166406735,0.3473015795672796,159.9878758186969,194.02838512782643,Hybrid,0.015411706833509538,0.5773502691896258,0.4676155104438209,0.6880624482749472,1.206733842757998,99.0,False
253,758.2153679614061,-0.2172808583835011,-219.58425457944526,737.2969584191461,-650.7497956948495,0.3434579888776877,6.1184855523204185,1.1801018660561409,-112629.65904159295,86125.3124033871,0.5554013874365932,1.726305032422795,0.28655500192281,True,232.60266254069327,-216.67678779539798,4.545002729366762e-05,-177.60037467069012,81.5681078086294,115.62149524891285,0.03285830312790841,1.0,0.03285830312790841,115.62149524891285,hs-SNR,,,,,,,,,,,,,,,0.7212933907836007,0.7057686280961757,False,,,,True,0.6867949184415939,0.04897995381337017,0.0,216.56301967572202,0.04897994717451682,0.24813861985453745,-177.99992107194458,-213.32002327838225,Hybrid,0.015326140951049397,0.5773502691896258,0.4679419468766316,0.6902361759444077,1.210049415765858,99.0,False
254,400.4974130051484,0.2494813352913653,147.56184319097167,-297.3013444684345,171.4180527103147,0.20186239032867914,2.659239235739642,1.0614699463575588,-20078.071244453586,3717.335926627442,0.4796605915079814,0.8417214666611703,0.0959375047563838,True,229.51946174642958,143.52997876030622,5.771619128246169e-07,59.23464306530722,86.71559179751014,122.61549590690387,0.033078275150267816,1.0,0.033078275150267816,122.61549590690387,hs-SNR,,,,,,,,,,,,,,,0.7261410805938641,0.7061319078786231,False,,,,True,0.6923637855540553,0.04039555696381382,0.0,209.0042706498245,0.04084530201105853,-0.1807651668195601,58.22843701894635,138.41819275785645,Hybrid,0.015081221386094756,0.5773502691896258,0.4688807945089948,0.6948071558261527,1.2169607763539003,545.7632334199127,False
255,795.1850986619348,-0.20728469352955484,-208.42025594151409,741.7957213149907,-586.8186104735647,0.3445275454772309,7.143782426575509,1.1387681137350047,-108988.43405531344,114659.32564976935,0.5542139260563175,1.9757402922663785,0.299145675641883,True,232.74614442673183,-205.67771292272994,-2.7130196238255466e-05,-168.216329952503,81.33950382400234,116.04043306124966,0.033256145493281486,1.0,0.033256145493281486,116.04043306124966,hs-SNR,,,,,,,,,,,,,,,0.7239951367034443,0.7064244632038116,False,,,,True,0.6929078305617908,0.049106034485891584,0.0,216.1949046640382,0.04910602783198903,0.2459880419377037,-168.6976234530092,-202.378584670355,Hybrid,0.01511905908015354,0.5773502691896258,0.468735314653873,0.6953021587933872,1.2178302686390141,99.0,False
256,891.1081902716884,0.2320556644753909,204.18829567351207,-588.8518564436147,132.98251735082226,0.4686885398171614,8.306628679479411,-0.5817947822410339,-103955.70782451966,214139.06433756527,0.5446043025606144,1.979691372829681,0.4585013392781785,True,233.1043004737912,201.202232896163,5.604889806367162e-06,162.59081394491875,81.05036191024676,115.86377623127764,0.033423859839155565,1.0,0.033423859839155565,115.86377623127764,hs-SNR,,,,,,,,,,,,,,,0.7240185718465171,0.7066993444952157,False,,,,True,0.6837477492481354,0.04513384534900789,0.0,218.13025071143696,0.038530845461314266,0.3497289103923174,163.03631289009076,197.88705641959282,Hybrid,0.015739932270770602,0.5773502691896258,0.4663706682979666,0.6879671073399346,1.2071561125545969,99.0,False
