,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,Lam_CP,EDM_bool
127,166.27270602533304,-0.020337254707347152,114.2788251214547,-122.09859758291552,562.089744844888,0.12911502847054185,2.2778386334192304,1.0770981021069796,906.2129107663676,-34224.38769534663,0.44393808373513854,0.7489760087059709,0.0017859560176583247,True,208.30521491675808,111.75409261297544,-9.103313523136822e-06,4.722638976925494,107.40851682618786,53.063528622762306,0.01212803251488067,0.5985495420100729,0.6600776436266229,True,1.0,0.01212803251488067,53.063528622762306,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6116253014947209,0.04790127562468915,0.0,191.49487175518288,0.04790124617259089,0.3188411514775392,6.255165840837842,109.99540934646609,Hybrid,0.00836173669785956,0.5773502691896258,0.498056365947747,0.6232071691763549,1.0974215045322908,434.96919770254203,False
128,159.7173069340237,-0.02095140958277793,113.48046211275766,-120.46458476793389,555.4255965211986,0.12910980084813845,2.188367071817575,1.0689381596194791,1038.3356126044198,-34624.491679588435,0.443595472320291,0.7252481278909736,-0.0014246058112587778,True,209.00108793340698,110.94564453541253,3.3614716364971083e-07,4.619662589653666,106.7341641371941,48.9902886154394,0.012114406201231416,0.5914440540346837,0.6600352561203041,True,1.0,0.012114406201231416,48.9902886154394,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6011625994675632,0.04886233885593347,0.0,194.2144068069154,0.04886230992383821,0.3625444383967665,5.925846211373178,109.38052176884554,Hybrid,0.008650000639588675,0.5773502691896258,0.4966248258710218,0.6159841931121164,1.0879118331038564,436.2419790011432,False
129,139.82065562113576,-0.01957710850359927,110.19828400774055,-117.90500322415501,569.8970715509473,0.12908643154802238,2.0555267616748645,1.0727501355663869,1345.1301488255785,-37754.73921372366,0.4437426200013541,0.6926733796797806,-0.010876822009915127,True,211.5330514114442,107.75426994322834,1.5261107624749216e-06,4.4559651197710295,104.20075813259069,37.382585094222826,0.01209476553005385,0.5639112890144339,0.6599741095750304,True,1.0,0.01209476553005385,37.382585094222826,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5219774317003179,0.06681296443079922,0.0,205.9291468442672,0.06681293833564944,0.48176672711197205,4.877929728446867,107.21089761825948,Deflagration,0.0105214686914243,0.5219774317003179,0.4727218928480009,0.580436456518736,1.0354525156314327,354.71392919249433,True
130,150.30574636077552,-0.020623419956113408,108.28455443852604,-130.0138119402384,490.5602334330369,0.12909845634766198,1.6766832029584728,1.206038582416741,817.4726116615021,-33297.30849289623,0.4493023176866054,0.6201772311424084,-0.08777749548857275,True,209.01152698073432,107.44280130301128,4.786189673559851e-06,4.55633492536716,106.07240864307869,52.08560604248304,0.012069257172620777,0.5884874026591742,0.6598946068326376,True,1.0,0.012069257172620777,52.08560604248304,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5975902458250195,0.047599572786413566,0.0,194.71726367028384,0.04759954442384635,0.3823557262767359,5.749080005554744,106.82646547044004,Hybrid,0.008720593267085462,0.5773502691896258,0.4962775481246173,0.6135587519014061,1.0846350324446528,440.7306353344594,False
131,140.4014592197609,-0.01808750756078038,112.18904710276682,-120.85906021197727,459.7362900952001,0.12908506514396118,1.5349622181880769,1.0799418033475905,1061.6363309959588,-32177.094930672763,0.4440415896235404,0.563730855104951,-0.06086656441379376,True,209.6810538181091,110.85358948927427,9.683828604414594e-07,4.5828150881006335,105.63340521737032,45.72890431925383,0.011997175435108028,0.5791920471541172,0.6596694037587805,True,1.0,0.011997175435108028,45.72890431925383,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5973482407691879,0.04823014554953439,0.0,195.76984096260944,0.048230117001095,0.4395476893958485,5.738445169356687,109.93973003069992,Hybrid,0.008680949747719371,0.5773502691896258,0.4964724164621059,0.6133393482640348,1.0842462826861736,436.0033461861133,True
132,148.44471789196757,-0.01942557243315496,102.3952617499444,-133.35688949860116,597.4376498927626,0.12909397867877406,2.085730169953663,1.3072949815754658,1023.2020509464184,-39157.1902251685,0.453519095483775,0.7393150394176601,-0.07575276917384549,True,209.97685780709807,101.72875623691007,2.6226294254937537e-06,4.431859667032716,105.0575686611582,45.66340607118322,0.011958494931266649,0.5750911407435234,0.6595482223569946,True,1.0,0.011958494931266649,45.66340607118322,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5937509564999432,0.04917830756460702,0.0,196.66178839145743,0.04917827893133668,0.4688777500816693,5.470503234510662,101.23686899658837,Hybrid,0.008757573654130286,0.5773502691896258,0.4960961295642333,0.6109444997423791,1.0809937457974652,388.62376433755287,False
133,166.54641189281537,-0.019176459333806014,112.21710835058424,-123.52705066895412,579.4944132488207,0.12911076604603414,2.3585400703881856,1.1091759927304776,947.8771936629056,-35074.578818650385,0.4452725312988639,0.7744976830521261,-0.001295263333737362,True,207.95437121671696,109.6942000916973,1.0975471031607484e-07,4.719656151560531,107.61649478701686,51.730582848061026,0.01189570756255776,0.5927285385449318,0.6593510183603583,True,1.0,0.01189570756255776,51.730582848061026,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6062669585863659,0.0480948496451636,0.0,191.98316162751408,0.04809482011529128,0.32788244454553633,6.152442410000503,108.03338928360536,Hybrid,0.008369551612134124,0.5773502691896258,0.4980172659607881,0.6192887183572454,1.091960326961742,427.25938229386566,False
134,154.83924615865118,-0.015397216497937509,116.12053893163305,-123.31999487082899,427.82749807623367,0.12909038030916511,1.5376215309645178,1.0664842121216331,694.9825059809738,-28810.393784994623,0.4434835142383941,0.5621527514280683,-0.05583623391287307,True,207.3756427993344,114.29492946783805,-7.26883760447487e-07,5.0460303076196045,107.80760871799272,56.681262113449925,0.011868840350990714,0.5953116522237046,0.6592664436534992,True,1.0,0.011868840350990714,56.681262113449925,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6109751594750419,0.046712580888262,0.0,190.33870059440326,0.046712551668489234,0.3021994288405272,6.608913658843088,112.92134655116487,Hybrid,0.008219707922393836,0.5773502691896258,0.4987698654613983,0.6225478522323028,1.0961952350715771,455.5137116645709,True
135,140.82523282964146,-0.020565508803379345,107.1204635592052,-126.04803137952288,513.8527337411772,0.1290886918432659,1.7086053958225138,1.17995614687148,1092.1919022626917,-35339.388951493,0.4482106672866881,0.6238107067675418,-0.07462957334890635,True,209.73102886510043,106.38753195305999,-2.943922951199809e-07,4.521736094823215,105.33828587069344,44.41453847252204,0.011840409360404695,0.5725397575449098,0.6591768220222951,True,1.0,0.011840409360404695,44.41453847252204,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.590923514387853,0.04930332980551404,0.0,196.8292193667359,0.04930330121535153,0.4714112021472022,5.546529302664284,105.88451099049723,Hybrid,0.0087594816887576,0.5773502691896258,0.4960867784805917,0.6090215620387257,1.0782564753684316,405.1364361132933,True
136,153.9127057795057,-0.02090686889301463,118.38660686674335,-101.80045697336875,674.0283183009374,0.12910308627877054,2.7619783877412205,0.8656649621856094,1840.016056689058,-40910.957227713814,0.43512239847586254,0.8347720906329068,0.06127346186155516,True,211.445402532539,114.14570296182579,-1.62097030456379e-05,4.349344517873055,105.09905699070366,31.609591712844853,0.011768985099196973,0.5512803562349675,0.6589511077089972,True,1.0,0.011768985099196973,31.609591712844853,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.532158141930762,0.09555832553278476,0.0,205.4741580288533,0.09555829987897273,0.5011195931105095,4.8251270768190375,113.24480203381123,Deflagration,0.010102387671738659,0.532158141930762,0.4792621932853074,0.5822541861832343,1.0389119594597815,175.80847163962954,False
