,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,eta_BAU,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
42,378.21476182360936,-0.0010826798363075818,-75.48597045989995,195.1219325064596,-820.5826440034875,0.977358679605667,0.12907532789524126,11.113142909594039,2.57745495181652,438.1992148049276,1156.739998249599,0.495240599335519,3.2078615527012637,-0.020371009713454458,348.67966049283723,True,False,True,25.639933019630927,-66.42650903106636,-0.00014358886495360418,-66.13583462022157,157.48076248268063,0.05678539907879099,7.181485979084651e-05,0.015337349461441097,0.5842279755445448,True,1.0,7.181485979084651e-05,0.05678539907879099,h-SNR,,,,,,,,,,,0.0898438076181846,0.5069355652445824,0.0,25.231090205504284,0.5298042273241448,0.4573322261125322,-66.13574610594566,-66.42567644919153,Deflagration,7.182676259848679e-05,0.0898438076181846,0.08982412779195204,0.5773502844739251,1.0000036828444712,True,157.49053419206888,92.46766468717777,1.869869012305157e-05,,,,,,,,,,
45,241.3934407876297,-0.0015128023039447658,64.62385400037368,-62.00639302963418,772.6233087846344,0.955076932436146,0.12907490068646893,9.472738389645064,0.9635497130284852,5828.7193669592225,-10246.616254407149,0.4172298236827411,2.5287762162493466,0.10457226978693493,208.26418088426757,True,False,True,23.928302887000065,43.327940078340646,0.0010881620408374742,43.01102046124183,159.4988410106759,0.038174390987734334,5.5864941725315126e-05,0.01331618316458618,0.5834206605653224,True,1.0,5.5864941725315126e-05,0.038174390987734334,h-SNR,,,,,,,,,,,0.0777958103237577,0.5481247984614165,0.0,23.93769606716573,0.4694992194592519,0.4953418944423544,43.01106004992712,43.32821753204685,Deflagration,5.59527223969946e-05,0.0777958103237577,0.07778259068582383,0.5773502313460883,1.0000008905865112,True,159.50604885865184,93.85021801114846,1.7783106687071757e-05,,,,,,,,,,
4,370.70446531557786,-0.005664817095620444,-76.90125417091981,308.3684307846664,-154.30777615115588,0.9962028023443966,0.12910633022300222,2.3465956749414154,3.973492873216788,-4138.9843425447825,906.6196311854,0.5627218559239847,1.2488977309381517,-1.5529735634402702,879.9282264599298,True,False,True,128.84849099258574,-72.34107517859512,-1.0136273957259581e-06,-49.19211567874451,138.07658871087278,14.706274571763187,0.0026126616530537912,0.19286890576250654,0.6175530819285998,True,1.0,0.0026126616530537912,14.706274571763187,hs-SNR,,,,,,,,,,,0.38581338103490576,0.07277244331017492,0.0,125.29886158420179,0.07277218716196808,-0.1612085509286508,-49.17457012051712,-72.14653970988404,Deflagration,0.002586728583834707,0.38581338103490576,0.3812337578265465,0.5773501156674664,1.0024969897624971,True,139.59763201921643,9.78381930772375,0.05313200312695515,,,,,,,,,,
9,111.68458149748604,0.03426082202992745,-157.06571701457688,49.91092386581558,-118.85273741091986,0.9711138544357748,0.12904337506602734,0.4360441918398749,0.3149609769824269,3867.583744761064,-7995.800228300491,0.39791207305530174,0.16150454412370652,0.07216816672811108,639.2208000075308,True,False,True,143.81140809646791,-137.2780353604843,-2.9334168614980188e-06,-20.711950758919926,141.02689773202724,19.268457523162198,0.00265484242256127,0.3343632347483625,0.6178637416644296,True,1.0,0.00265484242256127,19.268457523162198,hs-SNR,,,,,,,,,,,0.527216898401682,0.08793894425560203,0.0,137.1927213852307,0.08793881747960973,0.14970824681752568,-21.34929745393661,-135.78966336148457,Deflagration,0.002534649643738899,0.527216898401682,0.5116969317736783,0.5774266320363894,1.011649802393011,True,145.96208304534272,6.941671245911407,0.15457874569936084,,,,,,,,,,
11,107.39045446283579,0.029686720647102368,-188.03802129131716,54.81989288214375,-106.74152758244692,0.9538744245919499,0.1290441913484158,0.3220198668120244,0.2888991430502108,2621.208125553197,-8765.313700496305,0.3885301463526995,0.12865482387804122,0.06424794470576174,597.4721337745201,True,False,True,178.3514651180468,-174.16675562768287,-2.6162801214605687e-06,-12.571207796920268,127.47388141930824,35.428378094999324,0.005715231407644789,0.4953422517736734,0.6357075217480779,True,1.0,0.005715231407644789,35.428378094999324,hs-SNR,,,,,,,,,,,0.6002436789666514,0.0561817724179815,0.0,157.05858504997116,0.05618170941073032,0.23650943255232576,-14.823800699735935,-169.49609169128402,Hybrid,0.004391457612233288,0.5773502691896258,0.5207777240663113,0.6090744420934977,1.0680841488740784,True,138.94935529101542,4.900992879921233,0.528173018336012,,,,,,,,,,
12,463.49496060883683,0.000754573804530055,89.75133595895747,-620.0021902953124,749.5736289187511,0.9897349940498008,0.12907503153910965,4.515065615924564,6.901197855306747,-20026.596621310106,-31111.1572173975,0.6814827479311025,2.278966046532265,-2.5080146527233094,621.5593816178603,True,False,True,206.57318158766003,89.45719935576109,-7.267096996155292e-06,41.099643907100905,108.41712716711544,60.13486697654734,0.013010728399324144,0.5491397998811207,0.6627649619446088,True,1.0,0.013010728399324144,60.13486697654734,hs-SNR,,,,,,,,,,,0.6504253045878956,0.03949423477173533,0.0,172.47927886613368,0.039494166878562116,-0.9999999999999976,42.955571831971255,88.8115853027463,Hybrid,0.007764050775060572,0.5773502691896258,0.5010973419436986,0.6528944534260125,1.1377669765182077,True,122.55203110232651,4.373829329644673,0.13742213770009076,,,,,,,,,,
13,498.70204835206596,-0.000272987345476278,70.13366121408511,-511.7991123700959,936.5965207990872,0.9681041877778866,0.1290742393053266,9.476456913314099,7.301166329816032,-10114.348302917522,-18963.136501654662,0.6875602949053453,3.585975283297864,-1.2772274582401133,270.99278875479513,True,False,True,184.7428296234697,69.16833302374587,-4.213011114884102e-07,39.64874447649179,122.07127084829008,136.7916712793138,0.0071586088299042065,0.3988647958495368,0.6422054843743307,True,1.0,0.0071586088299042065,136.7916712793138,hs-SNR,,,,,,,,,,,0.545500830847966,0.040506344276726725,0.0,172.75378913011687,0.04050627730977803,-0.3642331030018415,40.038806421283816,68.86882623278312,Deflagration,0.006284010223091789,0.545500830847966,0.5022997881050636,0.5823498347083044,1.0331133046485272,True,130.13843624031514,5.500795995701732,0.3691138966398206,,,,,,,,,,
17,127.18434577785746,-0.0522177865967342,-171.303464568202,53.32262678291831,-137.65252291107348,0.966006149817788,0.12908596896026592,0.5166296617031744,0.3106228480682341,3247.717643386149,-8439.71004923055,0.3952790554331663,0.18092789010383264,0.08239558274437686,640.1082487437312,True,False,True,120.76847720336923,-152.89394653181438,-3.820719332770407e-06,-28.005149157830306,147.9192564162656,32.54624552190848,0.0018088712177889625,0.3596316709706149,0.6110183698175397,True,1.0,0.0018088712177889625,32.54624552190848,hs-SNR,,,,,,,,,,,0.5956460782988757,0.07826215757255492,0.0,84.34219938383289,0.07826123427303716,-0.9999999999995736,-32.270050071456424,-147.05177982808019,Hybrid,0.0015212971878473874,0.5773502691896258,0.5446389188337896,0.5994529018518848,1.0442511408652226,True,155.3739006306561,5.965318155593343,0.04610600810696179,,,,,,,,,,
18,500.51503453784966,0.0007406159532001721,84.79542248925422,-632.5670520479472,800.3389467895662,0.9927167865733746,0.1290751587227095,6.4177632000629306,7.451587682687903,-19025.53184885693,-21972.193138370872,0.7058935359715693,2.8463720804637167,-2.0339120558975505,698.7365578949292,True,False,True,202.4040250048378,84.4613601545325,1.670721309722227e-06,47.45022377459614,111.80404470428465,132.83082117135072,0.011253238489318444,0.5046989481724322,0.6572965244186305,True,1.0,0.011253238489318444,132.83082117135072,hs-SNR,,,,,,,,,,,0.6165476325578643,0.038946486343633166,0.0,177.14886165225656,0.03894639006917474,-0.9999999999999954,48.68279294166049,83.95870341106568,Hybrid,0.007690288432500355,0.5773502691896258,0.5014798604033027,0.6260310901561899,1.0998499124691803,True,124.33695979012043,4.614164571355674,0.10061072787214148,,,,,,,,,,
19,114.01482388227734,-0.05699649274750599,-195.2356129948516,49.83701750775264,-131.00748086071928,0.9648113289454624,0.1290032103103439,0.4046611850314055,0.2583992968957089,3014.1925280354644,-10057.916896874533,0.3924849495532806,0.14423184574046952,0.0877525300461775,716.3736041019887,True,False,True,174.874067556562,-184.56321789155987,-4.824828810683277e-06,-12.852100080236864,129.60486235988262,39.417000277939046,0.00558480950293859,0.5219473176346835,0.6350766170391203,True,1.0,0.00558480950293859,39.417000277939046,hs-SNR,,,,,,,,,,,0.6251672157429261,0.05518966333620394,0.0,143.76413444990504,0.05518958079828837,0.16741287533465365,-16.177473439405592,-180.17421393066468,Hybrid,0.003941311259902432,0.5773502691896258,0.5238746730767485,0.6273115560048382,1.0910424555424727,True,143.61279534289142,4.233949521902188,0.4035763435379443,,,,,,,,,,
