,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,eta_BAU
0,309.60488270119527,0.0010041416615938256,-89.89684091322835,160.20959323411682,-283.21909346184924,0.9709496332010848,0.1290747631538792,4.1640843903674565,1.7857882797803937,637.3303801436632,8301.591701418438,0.4591325060331965,1.3386524775552628,-0.06238628093411078,364.777093922845,True,True,True,26.17819053370871,-77.8904676421121,8.353128642242123e-05,-77.50511046598825,156.23418156843684,0.06664189662598119,7.69509562598761e-05,0.0160740407703798,0.584468153497541,True,1.0,7.69509562598761e-05,0.06664189662598119,h-SNR,0.07347950822733572,0.4727748298484919,0.0,25.82465529178369,0.4274960514777336,0.5331416409094245,-77.50502176842836,-77.88967450502798,Deflagration,7.695017527944131e-05,0.07347950822733572,0.07346235927863898,0.5773502849337449,1.0000025372829224,True,156.24476310495137,82.17141440130355,,,,,,,,,,,,,,,,,,,,,2.2376605032419826e-05
29,378.4214240825097,0.00038749098579258015,111.46806853845379,-409.3706235679289,394.6354839157045,0.9768563133710956,0.12907425402534758,3.053795685825956,3.670736125372577,-15003.301765220738,-6100.030124602215,0.5405480117251833,1.375238275685252,-0.97400410225235,509.0698090747602,True,True,True,86.80095997932509,103.77921755256612,2.3204192867065546e-05,95.52619833335231,145.8011474793012,2.2493747828135042,0.001058407418240566,0.08354760815488411,0.6032960392945926,True,1.0,0.001058407418240566,2.2493747828135042,noneSNR,0.20111101522260752,0.15971075425768194,0.0,85.24227462033174,0.1597091318885926,0.1957474617345692,95.52186648641823,103.72551843467369,Deflagration,0.0010574864359819284,0.20111101522260752,0.20041439189390908,0.5773501941389809,1.0002176580221454,True,146.0897837764205,21.714227162155048,,,,,,,,,,,,,,,,,,,,,0.00791729664186106
27,369.76206213335035,2.594365462121941e-05,104.20760952426895,-339.04008929569,8.497994026944298,0.9807727649429177,0.12907409671270853,1.7959297735897086,3.2533836276240304,-9842.189299826548,18613.140791554004,0.5250749855328762,0.9912130480014324,-1.344327756765081,523.711469336425,True,True,True,48.24465498265279,95.21091604078056,-0.00032541687839798914,93.35747187183478,149.33335563875582,0.34132430453470874,0.0003070210282543408,0.03099137636739759,0.5914786325395928,True,1.0,0.0003070210282543408,0.34132430453470874,noneSNR,0.0993026897308449,0.3451250904782244,0.0,47.466288451821534,0.3043996465305809,0.4857576704029405,93.35715580602249,95.20123939205202,Deflagration,0.00030700143027607513,0.0993026897308449,0.09920937372483296,0.5773502696492494,1.0000159588093072,True,149.3726640110474,54.672774945489905,,,,,,,,,,,,,,,,,,,,,0.00025686675610241366
6,275.91397206250684,-0.0010197264756148252,-112.31647580323715,259.1818333663514,-0.7163800149706958,0.9850649458644428,0.12907461481686305,0.2485886654018819,2.3053726327401303,-6745.477417077917,2987.887050568228,0.4876842192440765,0.4463759384738255,-5.215842225211882,642.5657483654034,True,True,True,1.03757297387752e-05,-77.32886866712043,0.00016672377813088793,-74.82713271029283,426.7149466522236,0.6663679843325667,1.413723197679539e-07,0.007035577649750241,0.5776571862759694,True,2.0,0.00041794014490732166,0.6934987180807468,noneSNR,0.1200171100372473,0.2536045264934647,0.0,55.70339409267004,0.2698124368236394,0.0,-98.72196903515768,-103.78789791711701,Deflagration,0.00041788754798665896,0.1200171100372473,0.1198621219873628,0.5773502719145136,1.0000314644684796,True,148.15589613708357,39.95392700247489,56.67864873222079,-103.80742050564406,-1.616853930665675e-05,-98.72252451506054,148.0803756595936,0.6934987180807468,0.00041794014490732166,0.04362360213061792,0.5937994447733402,True,,,,,,,,,,,2.7869742409028216e-05
9,533.3739896202335,-0.0005734767534681444,-106.67816871717329,648.3245579310174,77.67854960029831,0.9906852966232356,0.12907482536342202,4.042641869245098,6.071517281908126,-26790.641655751606,54114.899672259286,0.6473831205763269,2.0225800142959622,-2.150580613877397,776.113879411668,True,True,True,90.53676758972937,-102.3238292389427,-0.0001499185740813324,-98.2203519647245,144.17342729794572,1.7796529971149937,0.0011425993808105953,0.07829906278449912,0.6042829665333882,True,1.0,0.0011425993808105953,1.7796529971149937,noneSNR,0.1671570209799337,0.1891116891247988,0.0,88.83772084329371,0.1618326730182643,0.3575223656231754,-98.21957450184028,-102.29750815052948,Deflagration,0.0011418494273912835,0.1671570209799337,0.1665495653005684,0.5773502709223355,1.0001641566658892,True,144.43575772425825,25.254328268349862,,,,,,,,,,,,,,,,,,,,,0.004296748344367061
13,274.8264083730168,0.00017838569422269597,-128.39276455685774,246.3527913993237,-188.1857359437704,0.9784537252977358,0.12907411175896286,1.2599395564646634,1.9190815007895667,-7988.417623241789,-3381.717024006386,0.4683431901283778,0.6348318059144269,-0.6016898736592589,608.4596686297946,True,True,True,40.46705371521144,-114.82342776134108,5.082690936971734e-06,-112.75362012283878,151.814752045575,0.2463164019619057,0.000202613898380642,0.025852843781471613,0.5888549421603055,True,1.0,0.000202613898380642,0.2463164019619057,noneSNR,0.08821268797548146,0.36704569944108056,0.0,39.91379927558208,0.32204444413790145,0.4937889391517049,-112.75336473853876,-114.8159040643044,Deflagration,0.0002026075084060972,0.08821268797548146,0.08815821619862696,0.5773502591931593,1.0000078845781952,True,151.84193862154387,59.85753294819699,,,,,,,,,,,,,,,,,,,,,0.00016951371954487333
23,239.24946826401265,-0.0016175376300488812,62.537158124681355,-135.2076855786682,556.0396420908652,0.9948512257118188,0.12907499371825326,3.3864348342273365,2.166407212507639,3604.6008588987397,-21396.71245439838,0.4867381862840988,1.2076765773081073,-0.21740444853830848,613.8879352725079,True,True,True,77.81502986535834,53.44702797758298,0.00019171191860139242,35.17962596741254,148.47425620640675,3.362195176124488,0.0006826520277200064,0.0901555362668516,0.5982858722450586,True,1.0,0.0006826520277200064,3.362195176124488,hs-SNR,0.2596225487471819,0.16262003459672544,0.0,76.31876946892844,0.16261808855898907,0.13001404838495445,35.198306554931854,53.354906181092154,Deflagration,0.0006819919248510929,0.2596225487471819,0.2590017718221068,0.5773502782171491,1.0002418882784463,True,148.80114992674126,20.82340518393735,,,,,,,,,,,,,,,,,,,,,0.006462198810540428
9,156.60825641341168,0.0006917631474203056,79.3611418028358,-38.30336478181829,442.82584727162634,0.9844742896450148,0.12907413108781848,3.5757600038536177,0.4823319961149853,6302.866887450492,-12631.872946492276,0.41143312070379134,0.9743286669825686,0.11280876692568625,445.10636837821966,True,True,True,26.85237657344541,41.58534059321961,-0.0008691352189370737,40.54321388171377,157.20839856397208,0.09766959679043907,7.10185001185143e-05,0.017457954136407963,0.5841899661392305,True,1.0,7.10185001185143e-05,0.09766959679043907,noneSNR,0.08799512384507834,0.4592643641574789,0.0,26.49939288054856,0.41383263005721627,0.5384354922476066,40.54321388171377,41.583285729457934,Deflagration,7.101762860404149e-05,0.08799512384507834,0.08797607902821357,0.5773502683827096,1.0000030679370715,True,157.22072297019923,80.46624288984495,,,,,,,,,,,,,,,,,,,,,5.564664725230276e-05
12,269.58133818928644,-0.0007719538483395303,201.75875087531773,-369.5437642704062,295.65057935146643,0.9000275124590962,0.12907437636035948,0.9434968477284212,1.8324983081012185,-29437.535322688964,-21216.689612783404,0.4279051470589678,0.5412905966156417,-0.7607139831022941,416.6467243383104,True,True,True,32.98633421650593,187.4918426425457,-5.938687121578727e-06,186.3211759576369,152.51648938788657,0.18460296839785428,0.0001307593105816719,0.02144879640910295,0.5866111213768358,True,1.0,0.0001307593105816719,0.18460296839785428,noneSNR,0.09489655103705197,0.3970033461506064,0.0,32.39342231471707,0.35793356670332066,0.5099497574093587,186.32096050885133,187.4864648919588,Deflagration,0.00013075611852557948,0.09489655103705197,0.09485863720544364,0.5773502683935721,1.0000061030162617,True,152.5352654604619,65.49744787611981,,,,,,,,,,,,,,,,,,,,,0.00010311257469735996
21,191.0479520270023,-0.000815711364309495,-113.70678262191952,163.6835576047364,-243.19242540194224,0.9306387246373502,0.12907421048912102,0.7937047525042076,1.4389156698524097,-1486.1321561054938,-17409.049192305367,0.4255155156824795,0.4382454664347868,-0.5230821166634723,289.1734721002119,True,True,True,185.16841310428944,-108.34814620656485,1.6372055381833846e-05,-10.748512397177553,121.1699158438084,143.84508906743469,0.007022699667142036,0.5160229908997238,0.6416274359833408,True,1.0,0.007022699667142036,143.84508906743469,hs-SNR,0.6025407020017376,0.03901924604164488,0.0,162.72644673308804,0.0390191970870136,-0.01656022276222495,-13.02252267783654,-106.182139278634,Hybrid,0.005262452977818184,0.5773502691896258,0.5151749489637382,0.6121955177915686,1.0748032398297267,True,133.35849899443994,4.491183188829108,,,,,,,,,,,,,,,,,,,,,1.1483401108765634
