,Lam_CP,Tnuc_0,Tp/TN,vw,vp,h0,Lh,Ls,ds,shigh,slow,alpha_p,ms
1901,325.4574322170838,150.62322970696297,1.000008214177623,0.0947653439965523,0.0947062965193479,39.7495426646895,0.3728614788248254,0.3314705485220477,0.4854678015627496,102.8970187500708,104.7315158561722,0.00020393413060599996,289.2714365102064
494,330.61072402508864,153.97064148223956,1.0000035227746862,0.0831076892121289,0.0830809646742734,29.354634788813705,0.4064022168424538,0.3735458137992856,0.5104972827699077,85.72825832302074,86.36259600311453,0.0001056976606616,330.4589639963002
749,332.30542544553805,152.36384520019587,1.0000049304240042,0.0913556370574164,0.0913238811036554,30.04685894547309,0.4086620710558759,0.3761069352763241,0.5140104611979047,-114.40392852418344,-115.00925441312351,0.0001139193623877,331.39546438593425
1815,334.7042838363832,147.3739409430109,1.0002220903282577,0.2217581299468017,0.22110831650765692,81.13503400403825,0.1557885152208488,0.1557868797610981,0.1681255920410134,11.249252700828066,24.443462746075802,0.0008759027971168,276.91599765412315
2122,334.92156609581536,155.21716182722912,1.0000106344831532,0.0993850011867921,0.0993260702147658,40.21213200617427,0.3480149252749528,0.3018564684428632,0.4759685266591394,32.35992383660233,34.630032991749765,0.0001937098267023,318.2029719077673
1642,336.17217249350915,149.0702945367305,1.0002964699787662,0.2398756483914149,0.2390600715378904,85.63897069034263,0.1368239768919777,0.1368228867343298,0.1285837804753312,28.753973300238126,41.6184268293757,0.0009952385891401,331.86848749129865
967,341.4689119001413,150.62154654230142,1.0000460633352868,0.1323944320841917,0.1321858128087802,64.09759095439915,0.2245518431354465,0.1914508306742158,0.4077065470861758,20.677736781636813,27.55232947504281,0.0005065208254897,289.6218866300823
1582,342.0215834561586,143.46345756640994,1.0003100871097048,0.2293364211985963,0.2284496368411942,88.11499034180417,0.1270400913872911,0.1270385737571724,0.0074546279507388,65.59816286729506,78.26836799833902,0.0011461442251336,319.4704594742111
1108,346.1461069994337,152.34511737692802,1.0000050278976242,0.0886219259692742,0.0885722168131253,37.865017950696675,0.3838679839494588,0.3389335122655627,0.508009519851337,76.77125029511772,78.07849462978018,0.0001840115990736,342.821335568986
1713,347.2263707596246,152.32383185514968,1.0000259740412187,0.115389163447067,0.115257555878115,52.897191324839,0.2689080318696645,0.2319891282020254,0.4049957327326809,50.8318846996856,54.72363865349587,0.000369930156063,326.8567148401067
1129,348.535788411105,150.0595121667988,1.0000102733831728,0.0881583907440751,0.0880910191277088,43.4791540084937,0.3586091101758463,0.3161105908564057,0.4923152506403864,103.12792258644886,104.8269566664514,0.0002507479937203,344.70744118255135
560,350.20093365062104,149.33409226690148,1.0000149898492852,0.0978221747092708,0.0977440392666355,43.927111691416165,0.3565041655443122,0.3161711349299503,0.4847230398750082,-91.39109408113808,-93.14418126069485,0.0002611072519201,336.1469987708037
2041,351.59422769444467,150.04327774172503,1.0000647969523992,0.1429583156270275,0.1426862099012902,69.57929355256957,0.1945923865427438,0.1646314047423258,0.3710647520744309,-22.381279969871567,-29.825767162204013,0.0006080171282282,321.6089168388448
858,354.3679062522176,153.27311208644406,1.000005704860596,0.092599082828109,0.0925623787154303,32.09153763943782,0.3972001207616384,0.3569921174798993,0.5222649447350922,76.2023694696699,77.0712145101455,0.0001298405716503,329.13330950196035
1255,355.9555845003558,147.42614323716822,1.0002680627968747,0.2293672499250737,0.2286016105193582,84.62098718058371,0.1429738658100319,0.1429725868720065,0.1377285831207259,-57.386024695396976,-70.13204436945871,0.0009893596611935,307.78023896642736
1288,359.6851797841262,139.48809693963335,1.0018034838495458,0.3734310079529365,0.3700376421949737,114.2938460407473,0.0808960712526342,0.0808956568126496,-0.2467803260239388,-52.138831013149996,-76.45372243283046,0.0020546663829317,335.39990915460066
1085,361.87212390804774,150.61205576173063,1.000061869090925,0.1447894251556261,0.1445300123283432,65.17699450033538,0.1926828067258856,0.1650485530237341,0.3091302857052212,-47.74917864399398,-54.964819329671634,0.0005716672060155,300.8027242416625
785,362.31630849353513,148.11029719449326,1.0000392905089135,0.1209144380740712,0.1207225504012796,61.16476935268161,0.24239413375626798,0.2091050497944636,0.3930716336592821,89.87341397272802,94.40677806268567,0.0005133059578333,327.30775266152716
1207,365.248011617873,150.95249444103956,1.00000827148328,0.0866085911109797,0.0865634698593922,36.364175472232354,0.3910236223898532,0.3509202915911348,0.5035331194262068,-90.68351309235013,-92.04271722433162,0.0001710354013471,291.8707994871125
1366,371.78022276805336,148.70279712274584,1.0000195293937364,0.10381732043653999,0.1037081039211893,50.310474051394216,0.3183074350588995,0.2790518742734391,0.4558003346314144,-112.14546647474072,-114.80504776890928,0.0003430316910639,327.5727517545378
1943,373.3297263424938,139.46583661642956,1.0013018271211491,0.3394755289027319,0.3367823557667497,111.82071218041824,0.0882809887924682,0.0882804680579851,-0.1756977254661221,-45.34244805548618,-66.19691861231246,0.0019597063574012,337.4374409241016
1465,374.3104021883146,145.02424343350032,1.0031343660920904,0.4458648716140741,0.440875655534133,115.55644634530692,0.0712706330760015,0.0712704080928227,-0.1970332768631558,11.54776026976184,-23.956770386876755,0.0018995938529329998,312.29774789695205
1482,378.2046413564605,148.94140986768488,1.0003613529447035,0.2536756776128347,0.2527239163938323,87.3200791418317,0.1192679052093778,0.1192669703067357,0.0346292526309421,-32.06468630753368,-45.51507282181402,0.001079010236756,351.4309579543686
938,379.09450810732346,153.81385351169806,1.00000572013708,0.0912360368526096,0.0912054384000509,30.02073730184442,0.4047078305851071,0.3588086232048412,0.534993633569697,98.2793600814091,99.17896293050477,0.0001099158580167,277.99232737469083
1816,380.1053515049397,141.78529325485803,1.0008838362671644,0.3013439743193013,0.2993266470983644,106.80354259243376,0.0956379447897727,0.0956373809538088,-0.0656880099933827,-46.682237459995186,-62.91824159793582,0.0017878204144613,364.9595987345465
1449,381.84295857562796,145.92811321414655,1.0002731925732478,0.2182620066967824,0.2174472725532373,87.78024461225344,0.1439112018529646,0.1439098764644856,0.1481628979674578,65.07655671077562,74.67439031643356,0.0011200745309004,371.5304650255097
