,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
0,400.7081426766653,0.2005656865975141,315.67047954397947,-946.722082893102,72.38821226004481,0.17652044527892666,0.4353936830144728,2.6350413047321206,-156864.4234425428,9502.120757904602,0.5325550922487119,0.5480219715423049,-3.810355655891765,True,233.93329585133483,313.27138881363203,1.9938345153538872e-06,250.336926227512,79.4135346787628,118.43224725662519,0.04262988278897262,1.0,0.04262988278897262,118.43224725662519,hs-SNR,,,,,,,,,,,,,,,0.7665812542568096,0.7205230104251528,False,,,,True,0.7188889949442578,0.035631784734818435,0.0,214.5508430667686,0.03563177433330731,0.026680236439206854,250.46772479425536,309.3526747073645,Hybrid,0.016861590390982912,0.5773502691896258,0.4622005407179282,0.7191565686220899,1.2609824539841556
1,920.8054408069896,0.2255825207270228,208.47826574099201,-595.6907119719656,142.6022927155834,0.4725304857973198,8.62083172325009,-0.6774976621872659,-110269.49965926172,237828.6168455852,0.542537655552934,2.0422916537813114,0.4592196157732799,True,226.12167544120138,204.05034913572464,-1.7416419179337087e-06,169.2702762014715,90.44170211645466,117.14161611208776,0.021086936151242068,1.0,0.021086936151242068,117.14161611208776,hs-SNR,,,,,,,,,,,,,,,0.635199496644162,0.6833669626166456,True,,,,True,0.6149533133653851,0.0426986193638906,0.0,214.07982333836625,0.03636878163351327,0.3711646835981672,169.5388559223526,201.49983391228915,Hybrid,0.013481402357982307,0.5773502691896258,0.4751873553953189,0.6312929144320318,1.1183290619518529
2,382.49049073207743,0.2472194564449891,151.71262903656753,-286.0266322549585,178.14044296354038,0.19361094244579907,2.3539980621958643,1.0553810938670998,-19512.526979543567,2002.0668349627704,0.4752811653794389,0.7643963645268159,0.07531971791383085,True,221.42021044519896,145.70724353458348,-5.285734551846086e-07,66.182672089842,96.11393527197909,124.13056757260384,0.02125683381949937,1.0,0.02125683381949937,124.13056757260384,hs-SNR,,,,,,,,,,,,,,,0.6423141191196384,0.6837419886222309,True,,,,True,0.6295513560513301,0.03902510937877151,0.0,204.11369958688914,0.038746757381579455,-0.14816378063964794,65.17625959769934,141.39886622911922,Hybrid,0.012926495636036334,0.5773502691896258,0.4774514549362835,0.64170788013891,1.1324119474602237
3,393.3695197774583,0.19685825623129324,313.14110017268337,-890.5122601247941,73.38943898691942,0.1729661785618124,0.4395999633258089,2.4977469115070803,-145910.52097048645,9636.695303556613,0.5250573591724447,0.5261911427492989,-3.374997967490289,True,223.1892973082566,308.62096848965706,1.0045301401410258e-06,251.4751367103458,93.4584506437504,120.48183765831278,0.021412588147954967,1.0,0.021412588147954967,120.48183765831278,hs-SNR,,,,,,,,,,,,,,,0.6410617025442427,0.6840841248140364,True,,,,True,0.6212252631594369,0.04121149740573024,0.0,207.9764357424061,0.04121148451322243,0.055491763347844635,251.47647973246868,305.53414987957734,Hybrid,0.013380625458343105,0.5773502691896258,0.4755954251130296,0.6358461853396944,1.1247297619847485
4,776.130077812202,-0.2059916880453731,-210.07989086990867,721.6967201139385,-613.2867749416957,0.3315533009853282,6.826494977598343,1.1641200048938678,-105828.6701728201,103603.82141685553,0.5487831326086521,1.90064374521523,0.28192404797037657,True,225.93708757987125,-205.9809096242907,2.9392407195478043e-06,-170.63772754322991,90.411345607908,117.40843808077007,0.02146963916865271,1.0,0.02146963916865271,117.40843808077007,hs-SNR,,,,,,,,,,,,,,,0.6404204541700724,0.6842090491591294,True,,,,True,0.6297421870287976,0.06097916003910073,0.0,211.92783610536569,0.06097915241995479,0.2553281436599705,-170.9431892478924,-203.21531700701385,Hybrid,0.013031087282296471,0.5773502691896258,0.4770214585056836,0.6419553579831027,1.132950728337777
5,706.1741408641577,-0.13732861296958884,-195.5240594102395,1075.477393295037,-620.1678278975893,0.20374685262444445,5.809399475098307,4.1397411431733735,-118801.26070825088,59593.222552288215,0.6088641225231897,2.1423067259701396,-0.5337414542970026,True,225.11383799052692,-192.62042405356098,4.503240989196625e-06,-161.084739977065,91.44791481880114,120.15221133718971,0.021495462963613328,1.0,0.021495462963613328,120.15221133718971,hs-SNR,,,,,,,,,,,,,,,0.6470596590820659,0.6842655259436059,True,,,,True,0.6353741881346856,0.043090787742397885,0.0,209.86284686330228,0.04309077571696255,0.1504204859932497,-161.48268338835476,-190.53841370093488,Hybrid,0.01279380164773332,0.5773502691896258,0.4779992133660154,0.6460772189517772,1.138509863568469
6,842.4966881775052,0.2423473291680345,208.61950033663658,-556.0382475509394,136.33484171326006,0.4588406608759425,7.093948676887077,-0.4832281767964054,-98703.60319497183,184877.59026480388,0.5437873049835312,1.692949139755702,0.4506114826888074,True,226.4101426410282,203.9200982908459,4.082128762531906e-06,165.98217380302518,90.19178348707216,116.95111829877821,0.021496455661585458,1.0,0.021496455661585458,116.95111829877821,hs-SNR,,,,,,,,,,,,,,,0.6395225964811689,0.6842676961179363,True,,,,True,0.6157453136368729,0.042697300113664974,0.0,214.34333278481057,0.0364238229374171,0.3632023085585774,166.23046911520072,201.16168998783684,Hybrid,0.0136736680609225,0.5773502691896258,0.4744125555963626,0.632063171424713,1.1197483676001825
7,869.6324644671307,0.2275976096535011,201.3935545013166,-576.699876999107,141.70459148911237,0.440108759813756,8.140000542348863,-0.4198447224928378,-97981.00951254756,202104.3814244397,0.5370623317150867,1.9650260151717431,0.4346950749470279,True,226.4206210583356,196.98801764086585,-6.306057996029979e-06,160.81680928176894,90.13059912654181,117.3697501401662,0.02159147676218721,1.0,0.02159147676218721,117.3697501401662,hs-SNR,,,,,,,,,,,,,,,0.6414386564550194,0.6844751306191178,True,,,,True,0.6194712855776463,0.04268751482729927,0.0,213.99344021305896,0.03644414891662631,0.3546779501147423,161.11513885659411,194.32409799364243,Hybrid,0.013557954619698716,0.5773502691896258,0.474878279480372,0.6347061652587724,1.12336796894321
8,744.6603594581109,-0.2173264357725377,-213.42339032301484,678.0645879249432,-603.3760707190519,0.33573395051713506,6.168577877132665,1.0178219520944496,-101183.8551534306,86760.03199549386,0.5447777051745798,1.7117814612989084,0.2937485226438105,True,226.127305923976,-209.13794085188422,-6.2914918315010026e-06,-171.83352485091999,90.24346269516028,117.21918034818157,0.02171977405551261,1.0,0.02171977405551261,117.21918034818157,hs-SNR,,,,,,,,,,,,,,,0.6423674672189906,0.6847542877334232,True,,,,True,0.6296274828859779,0.06064081401616778,0.0,212.18738468002084,0.06064080653691875,0.2542548580495223,-172.113317719377,-206.2305677016056,Hybrid,0.013168846172497231,0.5773502691896258,0.4764574339886234,0.6420003048422857,1.1332530316723646
9,775.1565383733823,-0.1565224746055596,-184.35402176617055,909.56984585995,-434.2122097166688,0.2463792392843388,7.608413343321389,2.9484640251071204,-102644.8727988147,118363.18537144367,0.5805437692670429,2.3935140066815337,-0.03927296292487478,True,225.8038259139867,-181.1961689957953,-4.488719933471266e-06,-149.83250989674806,90.59813605623249,119.39234081585657,0.02184193430170104,1.0,0.02184193430170104,119.39234081585657,hs-SNR,,,,,,,,,,,,,,,0.6493703956138994,0.6850191163294067,True,,,,True,0.638244916021351,0.043982337949122784,0.0,210.697672829252,0.0439823279165938,0.1955865033873335,-150.29758351123374,-178.90978620103618,Hybrid,0.012844730778224296,0.5773502691896258,0.4777886820727629,0.6483680721513124,1.1419354058448743
