,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,eta_BAU,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,h_low_4,s_low_4,h_high_4,s_high_4,Tnuc_4,dT_4,alpha_4,vwf_4,xi_J_4,v_calculable_4,EWSBtree,htrue,strue,Lam_max
1321,113.2051292157458,-0.0140707890005091,221.78736244323727,-18.723106031184283,69.0065182146176,0.7432316259187051,0.1290694710400638,0.2598334546169913,0.0836894717773269,5729.252653816786,-2545.776354499323,0.2906215911976045,0.0789066089504689,0.1223306085476529,246.3840920790532,True,False,True,49.56176164798186,205.0360214547721,-2.712216830890391e-05,207.9406163430416,161.7076201476615,0.4413155630209928,0.0001951909926151,0.0405290037831576,0.5886443775486501,True,1.0,0.0001951909926151,0.4413155630209928,noneSNR,,,,,,,,,,,0.112333595175318,0.2383021383273686,0.0,48.87153396677143,0.2134364438294151,0.557930074467509,207.94016643261705,205.0423466796475,Deflagration,0.0001951810557961,0.112333595175318,0.1122660942123499,0.5773502729562773,1.0000127274510324,True,161.7774801064311,40.71858270873568,0.0012890371784586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,221.78736244323727,4.550222974912181e+16
1941,109.71521732236864,-0.0055055944217039,229.23516249842757,-17.482696358548882,83.41441220536672,0.732502366585506,0.1290731934002677,0.27448473144542,0.0759131722319315,5810.622120121291,-4708.357196361869,0.2863410567185497,0.0812733782333435,0.1238244408667768,246.656961301824,True,False,True,51.84274888313377,210.61835841787558,-0.0006346067041925,214.17911332983468,161.92590946163074,0.384678832080624,0.0002132590822605,0.0385439802677343,0.5891501548498487,True,1.0,0.0002132590822605,0.384678832080624,noneSNR,,,,,,,,,,,0.09735414024366,0.2550752506448245,0.0,51.21068148387224,0.2263306891418559,0.5638097876846356,214.1787175816656,210.62421729081268,Deflagration,0.0002132504628322,0.09735414024366,0.0972906430611662,0.5773502040198372,1.0000101046647345,True,161.98865721540037,42.87073306880435,0.0012937060063827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,229.23516249842757,6.167823438159916e+17
1971,139.9408332690144,0.0153725888953291,228.1903068032805,-35.05354488765877,205.40234327168545,0.734299955032343,0.1290817679053938,0.5934002904641316,0.1525385846835333,3796.744210390506,-16004.621549387108,0.2901972462167129,0.1737731700632884,0.1192789332121987,246.83842889636003,True,False,True,46.46540844832038,208.4990384526524,5.4294970541253246e-05,210.5263559050125,161.83294213474554,0.3830816483413457,0.0001669070737404,0.0383842172401044,0.5878020063953326,True,1.0,0.0001669070737404,0.3830816483413457,noneSNR,,,,,,,,,,,0.1117480768181131,0.2451168074096388,0.0,45.765642870942564,0.2189070718830544,0.5641517319864195,210.5257868374009,208.50270220993912,Deflagration,0.0001668997230882,0.1117480768181131,0.1116906732417264,0.5773502889296628,1.0000110103999795,True,161.89552304804462,41.977063441036975,0.0008012453423338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,228.1903068032805,1.277394609048709e+18
1616,117.85667635017893,0.0115482517571714,132.66817695338895,-67.38190360684399,68.65221289742439,0.8810852669214769,0.1290721629332434,0.2160526244939008,0.5085192716349891,3359.3870491827056,-5286.426546044489,0.3643036782600123,0.1387663680626401,-0.1701510589900337,247.15114508578412,True,False,True,112.0967592652498,95.60622625501136,-1.2694694513231018e-05,28.17298098114009,149.18467783212216,13.40887166276201,0.001246033009974,0.2077564676272724,0.6054444576037851,True,1.0,0.001246033009974,13.40887166276201,hs-SNR,,,,,,,,,,,0.5039720614577206,0.099869035441733,0.0,107.89863792982766,0.0998687297991872,0.1528498921850713,28.442433258956537,94.4443981201408,Deflagration,0.0012259968080746,0.5039720614577206,0.4983215163983761,0.5773506061533049,1.0040608928676216,True,151.0211553257263,10.926249432774961,0.0835312754821109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,132.66817695338895,661411090016691.5
1186,121.99637869032455,0.0253993727462917,-191.852942546334,86.01006905324076,-15.404390514418767,0.7901561742442641,0.1290700291502424,0.0577582840106998,0.4479016213730013,-434.6962866791363,-841.8887065800154,0.3237857589684895,0.0890898412315085,-0.7392723474662399,247.3362913270744,True,False,True,37.31574977013132,-169.02307228207655,-7.673506620970072e-05,-173.7535273221759,159.9034661163344,0.35251342898138205,0.0001237746658683,0.027486246226483997,0.5863623918295809,True,1.0,0.0001237746658683,0.35251342898138205,noneSNR,,,,,,,,,,,0.103416848678219,0.3349483324663466,0.0,36.727480989358035,0.2962521424134635,0.4679595681337881,-173.75329533618896,-169.03439732207534,Deflagration,0.0001237712710279,0.103416848678219,0.103377600136161,0.5773502695201195,1.000006857014163,True,159.935260124897,57.685088781430004,0.0007826705847978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-191.852942546334,2.4e+18
2051,124.50454659494056,-0.0836333492573268,223.7691222253285,4.532567722401922,174.98390417191834,0.7415706490041094,0.1290656846554164,0.5519212491178325,-0.0204763510705722,8324.840625572126,-11526.543349690592,0.2856628998112719,0.1345675871010294,0.1288757658246794,247.34960644876284,True,False,True,49.79212010724714,206.4171239523286,-3.164527701204736e-05,208.80065954916032,162.45703646704462,0.2745892723693259,0.0001912970198621,0.0369871326865015,0.5885322825913945,True,1.0,0.0001912970198621,0.2745892723693259,noneSNR,,,,,,,,,,,0.0999766167392429,0.2642762333069368,0.0,49.123609033055274,0.2363119282175785,0.5722756867704388,208.8001743306524,206.42150024182132,Deflagration,0.0001912886922655,0.0999766167392429,0.0999180615361952,0.5773503203969643,1.0000108833675576,True,162.51499212319322,44.933255219686366,0.0008316568504734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,223.7691222253285,6.151198870843576e+17
707,130.59043981682242,-0.0001867960564475,-152.0260809517747,101.25476430994404,-212.49107732695407,0.8519989720907688,0.1290740964452662,0.6311105481125209,0.6660284646628041,126.99046885837288,-17718.21607854866,0.3582652782732585,0.2687823811385975,-0.0466454811579603,247.40269967178642,True,False,True,209.21681718404247,-140.2145064781353,-1.18382586584595e-06,-5.7197614576759825,106.7259541706707,69.81450748393112,0.0126874465180703,0.6212968712049305,0.6617938137633603,True,1.0,0.0126874465180703,69.81450748393112,hs-SNR,,,,,,,,,,,0.6436490694751772,0.0455892317526691,0.0,186.8401907503716,0.0455892024865963,0.2941158701502189,-7.971554242648662,-132.40013008852685,Hybrid,0.0077825059990109,0.5773502691896258,0.5010018936750628,0.6473859170645182,1.1299616135363957,True,124.27727096295256,4.426420506196675,2.0435157690697356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-152.0260809517747,6.093112668877706e+17
537,131.95882223248137,-0.0190260470269615,-235.46852791065118,58.00589856058488,-140.10119992529064,0.7244575625534903,0.1290793675686303,0.3871911664537076,0.2457631461513116,978.731404345598,-11539.0011718807,0.2904909867712661,0.1377583159719788,0.0900808513063719,247.47157111626944,True,False,True,46.99709734701269,-213.71131025071,1.8239535246436904e-05,-216.3449628180511,161.26096178109094,0.392055500366439,0.0001747442670854,0.03773011304489,0.5880422661606983,True,1.0,0.0001747442670854,0.392055500366439,noneSNR,,,,,,,,,,,0.1149980240349547,0.2522047971969176,0.0,46.285401613960474,0.223341460391285,0.5579309671051033,-216.3443438501475,-213.71634504725566,Deflagration,0.0001747359070776,0.1149980240349547,0.1149360813705058,0.5773502837907623,1.0000119607039448,True,161.3210497048068,42.88716510764947,0.0009882255387387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-235.46852791065118,493367010371.8722
918,185.49725561943904,-0.0045693087361442,102.1617756789463,-141.14917272503487,205.94158205806613,0.9243844765920848,0.1290773272463423,0.6503293536719017,1.3850324359488333,631.7112278283403,-14148.554981657151,0.4203714955075551,0.39342107774278107,-0.6083624168614447,247.56524354411212,True,False,True,192.1828296435349,97.1777035783787,1.3231315471816155e-05,205.9160685405431,117.45616538112058,105.8717835195594,0.0087909601366534,0.5747970667512262,0.6487054328486064,True,1.0,0.0087909601366534,105.8717835195594,hs-SNR,,,,,,,,,,,0.6343736576810789,0.0330584925870167,0.0,162.4402614907849,0.0330584493399413,-0.1076909523328722,202.77187117644627,94.77498422015421,Hybrid,0.0057777316410779,0.5773502691896258,0.512060323252984,0.6374011599406805,1.1106308587214233,True,133.63827186379595,3.7819963988565917,1.5376905149402922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,102.1617756789463,2.4e+18
1210,125.33396171900516,-0.093922532845839,-144.24042493951762,56.599696969285965,-213.8992664296776,0.8642429587065811,0.1290785285906039,0.8331647198953646,0.3922376628863374,3740.3695446920533,-13523.547326593503,0.3521129550794525,0.2736641237882307,0.0829140725974787,247.79378253210209,True,False,True,138.30055049451093,-98.33285648713637,-4.5494335756802525e-06,-17.957936137419075,142.8887794663439,8.599336811075034,0.0019148523716549,0.2330595083334813,0.6119588287947123,True,1.0,0.0019148523716549,8.599336811075034,hs-SNR,,,,,,,,,,,0.5081762333486466,0.19996945907806601,0.0,133.58639703203772,0.1999693043484784,0.4933974640265103,-18.287243432331373,-95.96318292236143,Deflagration,0.0018661262336254,0.5081762333486466,0.4992357240211314,0.5773507334138468,1.0064647518037062,True,145.07944111758374,11.694556576043539,0.0061956186898818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,246.0,-144.24042493951762,4010136.532320437
