,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1
53,443.70282286150507,-0.15113899957201624,-44.1039950769365,157.51266303370747,835.4818654956285,0.16296280058579127,12.255236179810733,1.0871499754539915,3988.302801130451,-14603.962484975411,0.4612807978488888,3.2450007075283485,0.1388527987100896,True,204.27895928202094,-37.463211397614174,6.679399732388696e-06,19.12789852619706,110.69773468093108,132.10910866559578,0.01140948567183894,1.0,0.01140948567183894,132.10910866559578,hs-SNR,,,,,,,
54,437.312269643766,-0.1372744081568739,-43.758094749604595,148.8128456376526,871.5168550436365,0.15619813166288135,12.20743310126143,1.1913565183674208,4096.6830507276445,-5451.954992228617,0.4622404026754934,3.250417695043261,0.1271312028891763,True,221.56465216486504,-40.317709150285125,8.69815535594405e-06,30.06781044341991,96.37438303243307,133.4247543540372,0.022377745388687528,1.0,0.022377745388687528,133.4247543540372,hs-SNR,,,,,,,
55,762.7137705901566,-0.22761556942059513,-209.34204568676688,707.8908405250805,-583.84081537426,0.3668491168884425,6.533456051516907,0.9669671238945164,-104766.73474985799,90922.46673481881,0.5582163371852362,1.7945252001949796,0.331070755049009,True,,,,,,,,,,,,,,,,,,
56,428.8142165021338,-0.15196785999635,-45.644558087469626,151.01391681012058,812.6184976468425,0.16087691995188025,10.238880872185078,1.0683025628109513,3971.3654122399284,-9469.864192584806,0.4594525486718066,2.737770645181428,0.13301082843379208,True,219.29307699161424,-41.49528231589339,1.218154007718121e-06,30.42931358177067,98.64020969022799,132.0148314458074,0.020216846047887746,1.0,0.020216846047887746,132.0148314458074,hs-SNR,,,,,,,
57,393.92097811816996,0.20536939864372947,287.62856999581254,-906.7867468253222,68.40246074285538,0.17693786931183023,0.44420472252353094,2.7592705200832652,-135955.29232159545,5152.978361549249,0.5379400215714614,0.5709296006447603,-4.108008584964812,True,,,,,,,,,,,,,,,,,,
58,901.9265295839397,0.22279683854755072,190.19500628477113,-562.8340941984158,139.28835463226088,0.45038184653889274,9.831955407336045,-0.7123985291511767,-92633.79288194387,217893.20243746182,0.5300091331335575,2.3392557636421483,0.43747719931179885,True,239.23637981729064,188.66765217582974,-3.0409111137627814e-05,147.97737515521513,68.94529322628303,116.11908006365931,0.06635045845716141,1.0,0.06635045845716141,116.11908006365931,hs-SNR,,,,,,,
59,310.52737291041893,0.20169366571797587,-855.3839788724864,-236.9649799936237,-402.649241151844,0.15581547479187077,0.3047780458271538,-0.20174358417563865,138334.66569546037,-119137.52609653013,0.40400323663402726,0.04257058076084867,0.12243013559726626,False,,,,,,,,,,,,,,,,,,
60,426.8058846458834,-0.15324874617400433,-46.70154945162833,145.77621035872716,834.2072013046802,0.1610807743461198,10.252498423231584,0.9366418897549736,3977.270276252323,-4895.414741729946,0.45406861449159397,2.719231587433725,0.13968847577097787,True,,,,,,,,,,,,,,,,,,
61,866.3465600540266,0.22842868231647975,194.89799717364215,-594.1720781535204,143.49621057115618,0.4399318422202326,8.535462743205077,-0.3294853652949647,-95394.51433051431,193873.06925939865,0.540738846134903,2.0789514582521083,0.4367521491792789,True,239.65894008758096,193.42550249705388,-7.952516439067883e-06,151.78775502218545,67.8296521878903,115.26275107214128,0.07060813519351743,1.0,0.07060813519351743,115.26275107214128,hs-SNR,,,,,,,
62,285.3276029160396,0.21154195165944956,-898.7168605689453,-229.4453411338209,-417.4422572306461,0.15299014441347966,0.28563639027135534,-0.19428759284009764,137017.54180697218,-142606.95370915646,0.4029012377504793,0.03902783209448923,0.11995192693028436,False,,,,,,,,,,,,,,,,,,
63,434.24557458938557,-0.15483015223099472,-45.082529161083144,144.09273960693363,814.2715132943767,0.16299609046918856,12.51690187818668,0.8223904534461626,4219.578949279111,-9794.33956249509,0.4502657960402612,3.2662905451210302,0.14948783450254988,True,202.8389305064038,-38.03870753945439,-8.908240937427836e-07,21.325732564203435,111.80742846163749,132.61640072868497,0.011004313968243345,1.0,0.011004313968243345,132.61640072868497,hs-SNR,,,,,,,
64,773.3150574799123,-0.20483323080906235,-208.17744772603186,705.2062960806201,-637.7067774705727,0.3278255779694453,6.968636744750147,1.1246512945152993,-102567.09860532745,100668.15341668647,0.5452747415016036,1.9296010686067533,0.28244939534635866,True,224.1681272258926,-203.7481702079903,-3.884280395440292e-06,-168.93133423067272,92.39780770333297,117.92722231558375,0.0196471726388081,1.0,0.0196471726388081,117.92722231558375,hs-SNR,,,,,,,
65,928.8967386412039,-0.1647971092512508,-233.23748186345998,-186.521360461682,-81.6899985569029,0.3171550306094646,8.11895989992345,-3.1872874840681362,-23965.831039887467,350255.0353890522,0.36027535204730343,1.4985253943028396,0.004343979954036015,False,,,,,,,,,,,,,,,,,,
66,400.7081426766654,0.20056568659751411,315.6704795439795,-946.722082893102,72.38821226004481,0.17652044527892666,0.43539368301447284,2.6350413047321206,-156864.42344254281,9502.120757904602,0.5325550922487119,0.5480219715423049,-3.8103556558917644,True,233.93329585133483,313.271388813632,1.9938345153538872e-06,250.33692622751204,79.41353467876279,118.4322472566252,0.04262988278897262,1.0,0.04262988278897262,118.4322472566252,hs-SNR,,,,,,,
67,861.24526284945,0.24111932074682385,193.68259713469877,-560.421862799407,139.947190894441,0.4705964432482741,8.527085363465034,-0.6373662416214104,-91973.7654819582,185759.83973899623,0.5432427768019885,2.025543633929357,0.4586862855377875,True,,,,,,,,,,,,,,,,,,
68,938.9728784805461,-0.15294187484146549,-234.7692262720122,-186.3010318542768,-77.2867385776468,0.2948750639898565,8.19866612116676,-3.0495163939551557,-22428.03581288056,365365.88695678476,0.3548758308255403,1.5414137979658307,0.011306063265692723,False,,,,,,,,,,,,,,,,,,
69,919.8281704404735,0.22717798346039378,200.3059048728927,-565.7905181615821,145.63331688931166,0.4765690934369269,9.315505324507068,-0.870619419131417,-101909.90745137048,232596.92957466445,0.5365102195000646,2.1837730946048644,0.45622725081635934,True,232.81196632377186,197.3205893770881,-1.2286051525349512e-05,159.48313326876107,81.56073288767637,116.42572282359295,0.03268109355279407,1.0,0.03268109355279407,116.42572282359295,hs-SNR,,,,,,,
