,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_0,s_low_0,h_high_0,s_high_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,th_bool,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_1,xi_J_1,v_calculable_1,isEWSB,vwf_2,xi_J_2,v_calculable_2,Lam_CP,EDM_bool,d_eEDM
150,164.338832556993,0.1847901985196157,-121.45927195481777,128.54473024683318,-845.4448049060205,0.13223762142322887,3.2955968347381206,1.1269475419132131,715.1249780676227,-51989.874333958796,0.4475764402034085,1.011723799003399,0.03589613717086638,90.94900002766344,60.46376438226554,0.024115341110195355,0.709800346302,0.6897834985561662,False,1.0,0.024115341110195355,60.46376438226554,hs-SNR,225.9904986233538,-121.13626463541485,-7.199583979571167e-06,-3.003620444077064,0.650695389081599,0.05143059208737815,0.0,210.99330094008675,0.05143057239858489,0.496953104191177,-4.222457856248502,-120.66423152160084,Hybrid,0.013402450213149487,0.5773502691896258,0.4755069362663571,0.6587561297082218,1.158183007608832,True,113.06231185350825,3.3486353260919857,,,,,,,,,,,,,,,,,,,,,,,,,
151,164.338832556993,0.1847901985196157,-121.45927195481777,128.54473024683318,-845.4448049060205,0.13223762142322887,3.2955968347381206,1.1269475419132131,715.1249780676227,-51989.874333958796,0.4475764402034085,1.011723799003399,0.03589613717086638,90.94900002766344,60.46376438226554,0.024115341110195355,0.709800346302,0.6897834985561662,False,1.0,0.024115341110195355,60.46376438226554,hs-SNR,225.9904986233538,-121.13626463541485,-7.199583979571167e-06,-3.003620444077064,0.650695389081599,0.05143059208737815,0.0,210.99330094008675,0.05143057239858489,0.496953104191177,-4.222457856248502,-120.66423152160084,Hybrid,0.013402450213149487,0.5773502691896258,0.4755069362663571,0.6587561297082218,1.158183007608832,True,113.06231185350825,3.3486353260919857,True,,,,,,,,,,,,,,,,,,,,,,,,
152,640.8402351676326,-0.13508581858378954,-191.3157399792809,990.9112046064296,-718.1553130792067,0.1881756323205961,5.2447127725685325,4.0602658851090805,-103864.40776458444,20651.5521919218,0.5977670432852532,1.9878891739936464,-0.5976519130888609,89.74553911364309,120.9121002839436,0.02412471370329447,0.6716373874533965,0.6898025292215952,True,1.0,0.02412471370329447,120.9121002839436,hs-SNR,226.6866341942447,-188.66204739041385,-2.737178122896321e-05,-152.89557030000583,0.6553318952896798,0.038995275808870425,0.0,209.67398247466096,0.0389952635785247,0.08958598111233661,-153.3904526348463,-186.33675456634555,Hybrid,0.013184080861523312,0.5773502691896258,0.4763952198046789,0.6623028665185011,1.163062491024588,True,108.93231617690451,3.8946311864269183,True,,,,,,,,,,,,,,,,,,True,,,,,,
153,159.14548234056284,0.15647957465417095,-124.0653391905407,117.82014443200941,-915.3747472703883,0.1310133154977169,3.569236271525463,0.9984454204532583,1008.0425570637017,-57149.36170702689,0.441610032179821,1.0587166379569088,0.06118792556927013,86.96535851461351,45.30165042957492,0.024231747797573863,0.6754851633237893,0.6900195193763622,True,1.0,0.024231747797573863,45.30165042957492,hs-SNR,229.00149950271668,-122.953095713182,-5.890914179190856e-05,-3.1084945591334545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,181.35314025128798,0.20272477476891526,-161.94727683215768,101.14779942204878,-616.3105380027083,0.13483942128288529,2.15562474902318,0.7098537790418499,1101.2446423393994,-40689.772943721786,0.4314984333469299,0.6572151504294366,0.07640016975634595,98.7275712891094,76.66817123543875,0.024251668954966117,0.7623311842028465,0.6900598370759169,False,1.0,0.024251668954966117,76.66817123543875,hs-SNR,220.31307792392673,-162.45908223050546,4.058445831239785e-07,-2.8732354361313246,0.6897496749086087,0.03129931119635476,0.0,194.7946410569812,0.031299284040604995,0.228647076684621,-5.109869496345652,-162.69909890424572,Detonation,0.011616001719881093,0.5773502691896258,0.482976659570017,0.6898066717845603,1.2021234475398486,False,133.23364619100707,2.5691091480558743,,,,,,,,,,,,,,,,,,,,,,,,,
155,853.0882258528765,0.2248944846773256,201.98076208596146,-617.213559363154,140.40150013816162,0.4211969924425557,7.697908649037394,-0.057240791481678974,-100302.2494606984,191339.51215871907,0.5427149451549513,1.914937030345736,0.4210905834047627,87.56428399990101,116.75369624643987,0.024322656665999698,0.6654946888549776,0.6902033325532383,True,1.0,0.024322656665999698,116.75369624643987,hs-SNR,228.45310416424684,198.0683524483033,1.2486154404898413e-05,161.3666207309811,0.6375111907942049,0.0376770702435492,0.0,215.01751743375308,0.032206169609707916,0.3475955526020261,161.6950053190437,195.21392267645527,Hybrid,0.014145910956429256,0.5773502691896258,0.47252970428212,0.6490030429017654,1.1451042389710169,True,105.50715293626509,4.152385356516851,,,,,,,,,,,,,,,,,,,,,,,,,
156,908.1426256781401,0.21472591560170906,191.31311947834217,-569.8154319208587,142.0747051826929,0.4320910323287112,9.902827369633732,-0.5976445309327196,-93759.31883966082,226888.4496940367,0.5256451426209023,2.376099420586313,0.4230739361999568,87.48884177727753,117.88345770327557,0.02464361572793149,0.6703939607105016,0.6908487612231639,True,1.0,0.02464361572793149,117.88345770327557,hs-SNR,228.6240116575049,187.62172471572342,-2.8894225058016045e-05,152.0560590465576,0.6467837255291925,0.0372617431938667,0.0,214.40110588438228,0.031953470363450684,0.3365233293348695,152.53105625611798,184.7452839693629,Hybrid,0.01384997383074456,0.5773502691896258,0.47370630112662504,0.6560351626962557,1.1549537255498723,True,106.50150933959236,4.177667550481519,True,,,,,,,,,,,,,,,,,,True,,,,,,
157,908.14262567814,0.21472591560170906,191.31311947834217,-569.8154319208587,142.0747051826929,0.4320910323287112,9.902827369633732,-0.5976445309327196,-93759.31883966082,226888.4496940367,0.5256451426209023,2.376099420586313,0.4230739361999568,87.48884177727753,117.88345770327557,0.02464361572793149,0.6703939607105016,0.6908487612231639,True,1.0,0.02464361572793149,117.88345770327557,hs-SNR,228.62401165750492,187.62172471572342,-2.8894225058016045e-05,152.0560590465576,0.6457233091017806,0.03381886277589514,0.0,214.50482957474486,0.029034355147194862,0.3361582944640222,152.52768204263413,184.7712268027712,Hybrid,0.013901895341157893,0.5773502691896258,0.4734990710444851,0.655240776942147,1.153873760003973,True,106.50150933983026,4.1776870167173685,,,,,,,,,,,,,,,,,,,,,,,,,
158,908.1426256781401,0.21472591560170906,191.31311947834217,-569.8154319208587,142.0747051826929,0.4320910323287112,9.902827369633732,-0.5976445309327196,-93759.31883966082,226888.4496940367,0.5256451426209023,2.376099420586313,0.4230739361999568,87.48884177727753,117.88345770327557,0.02464361572793149,0.6703939607105016,0.6908487612231639,True,1.0,0.02464361572793149,117.88345770327557,hs-SNR,228.6240116575049,187.62172471572342,-2.8894225058016045e-05,152.0560590465576,0.6457233091017806,0.03381886277589514,0.0,214.50482957474486,0.029034355147194862,0.3361582944640222,152.52768204263413,184.7712268027712,Hybrid,0.013901895341157893,0.5773502691896258,0.4734990710444851,0.655240776942147,1.153873760003973,True,106.50150933983026,4.1776870167173685,,,,,,,,,,,,,,,,,,,,,,,,,
159,908.1426256781401,0.21472591560170906,191.31311947834217,-569.8154319208587,142.0747051826929,0.4320910323287112,9.902827369633732,-0.5976445309327196,-93759.31883966082,226888.4496940367,0.5256451426209023,2.376099420586313,0.4230739361999568,87.48884177727753,117.88345770327557,0.02464361572793149,0.6703939607105016,0.6908487612231639,True,1.0,0.02464361572793149,117.88345770327557,hs-SNR,228.6240116575049,187.62172471572342,-2.8894225058016045e-05,152.0560590465576,0.6467837255291925,0.0372617431938667,0.0,214.40110588438228,0.031953470363450684,0.3365233293348695,152.53105625611798,184.7452839693629,Hybrid,0.01384997383074456,0.5773502691896258,0.47370630112662504,0.6560351626962557,1.1549537255498723,True,106.50150933959236,4.177667550481519,,,,,,,,,,,,,,,,,,,,,,,,,
