,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
132,402.6919933456513,-0.00145786091078684,729.1361586684745,49.07063390300164,472.29920985030253,0.7155569188302651,0.12907666467865106,0.4783039934516088,-0.06610982493221176,26029.78486595355,-90049.05621357236,0.2742906642340259,0.10855769420753357,0.12679228643155102,746.8829892569303,True,False,True,-1.2371685981881115e-05,635.5069467170165,-3.63705861073994e-05,631.4942077736922,675.8142706474123,0.0008962688353904014,3.377848796465105e-06,0.0026611994251457298,0.5788489506594198,True,1.0,3.377848796465105e-06,0.0008962688353904014,noneSNR,,,,,,,,,,,,,,,,,,,,
133,271.6707675554764,-0.006515906328611361,-71.03101391825089,180.33296367366367,-514.7584023510308,0.9956668342746996,0.1290944637943802,3.3121843943367497,2.5171232457717223,1365.7084045794302,-20509.21679254521,0.501766960268406,1.2475666395461409,-0.349132944471118,760.5283107823343,True,False,True,122.30201756708223,-63.86820710977102,-4.6545800879812315e-06,-28.435467729515572,141.2953342365971,18.311841497583217,0.001978682647828409,0.1996131565192227,0.612511877455584,True,1.0,0.001978682647828409,18.311841497583217,hs-SNR,,,,,,,,,,,,,,,,,,,,
134,453.43104530379935,0.006338291996622919,-541.2758637703548,265.1322670883435,-56.1421344469959,0.8639003614620397,0.1291370433127674,0.377390026500864,0.4988627347226975,-62603.83488356241,80452.98873038897,0.3564369094821337,0.17749129574566558,-0.03572159802604835,928.4157198689014,True,False,True,-1.3278963419132021e-05,-454.647522552501,2.734186150427558e-05,-446.88403236419055,766.6481311795427,0.9976771705486271,4.684983912066329e-06,0.005544985926726007,0.579114854706833,True,1.0,4.684983912066329e-06,0.9976771705486271,noneSNR,,,,,,,,,,,,,,,,,,,,
135,399.5030496638389,-0.00017887645745699732,-123.31637340769585,468.24782825422494,-608.9633431390249,0.9636645196019876,0.12907413403557913,3.9329934154170334,3.796278018677352,-21054.00452838232,-15312.108526404249,0.5393791262930219,1.6159613569671505,-0.7870046177492557,444.8847445176911,True,False,True,73.24853875235006,-114.98633463627142,-3.1263294774447055e-05,-109.9058722722997,147.92003242239775,1.195562137369194,0.0007293245181629089,0.05982542655875725,0.5989757934900181,True,1.0,0.0007293245181629089,1.195562137369194,noneSNR,,,,,,,,,,,,,,,,,,,,
136,270.99811337048334,0.006637415189951798,71.25224779638155,-111.97910243566092,89.97370817418164,0.993944200366032,0.12909509785171244,3.172993178271977,1.549720868483055,3780.139931692394,9035.385601941416,0.4606020020517114,1.0515351059818367,-0.060129605392040875,644.493177819749,True,False,True,53.8960322580212,53.500190847659816,-3.1375151772690915e-05,48.4832426199253,152.59145265473566,0.569365870627621,0.0003639856938603233,0.03869332661062965,0.5927162366582354,True,1.0,0.0003639856938603233,0.569365870627621,noneSNR,,,,,,,,,,,,,,,,,,,,
137,462.2410608563032,0.0026164001171200962,475.30307820781417,-244.27834199126994,583.6424917790167,0.8234092005482123,0.12908527776363665,1.052388132436214,0.50951484513058,-50728.79834476567,-39793.078630574855,0.3397745838945309,0.3480161739641502,0.06741473782523286,689.7000143901137,True,False,True,-3.9310952684624805e-06,330.19404259780464,-4.744605365379081e-05,318.6789935024569,779.7281576527591,2.8481497862209157,5.489302291949932e-06,0.01273716736729653,0.5792600884087801,True,1.0,5.489302291949932e-06,2.8481497862209157,s-SNR,,,,,,,,,,,,,,,,,,,,
138,460.35427734299736,0.0017705006114984575,313.8584139621613,262.2358317866988,234.86258974196903,0.9165953715868916,0.12907917130242869,1.578370509083665,-0.8400199487976063,48755.01769740756,81630.80911360793,0.3240770051670189,0.2545893024713152,0.0173130317431572,719.5337048796305,True,False,True,-9.249513686339197e-06,199.22371208612637,6.426130058047184e-05,195.0318414015456,574.7191617362422,0.1299130167152498,7.3396997961975636e-06,0.001583671788546758,0.5795580703498794,True,1.0,7.3396997961975636e-06,0.1299130167152498,noneSNR,,,,,,,,,,,,,,,,,,,,
139,110.78818542301512,0.03137251087131426,-171.26977077652487,51.18569966101882,-108.72764368136484,0.965904949506201,0.12904671632705994,0.3722979626653588,0.29635182236883034,3402.0249461316307,-7777.036698516167,0.3946159255444523,0.14246646106114474,0.07007217749761432,638.9813476311298,True,False,True,153.43709443885984,-154.16933949024695,5.750204500028726e-07,-18.707078819959573,138.00459946269672,26.458286117969426,0.0033209567897545308,0.3965463873668935,0.6224530346581509,True,1.0,0.0033209567897545308,26.458286117969426,hs-SNR,,,,,,,,,,,,,,,,,,,,
140,571.8954345653905,-0.002271149960119262,117.08461547397495,-792.7481961484878,8.517053081551921,0.989854023600492,0.12908734637771055,4.480988901007885,6.795264662194231,-38416.57400407821,61175.406020269584,0.6771339297018792,2.2527913356176756,-2.4471086032975737,815.6680554279718,True,False,True,87.76057665136999,113.67485435994743,4.0499207054681526e-06,110.59098415838623,144.11483338298103,1.4998547362493184,0.001056916437537151,0.07196715504269367,0.6032781967157538,True,1.0,0.001056916437537151,1.4998547362493184,noneSNR,,,,,,,,,,,,,,,,,,,,
141,93.89977159808572,0.009112164942744512,-456.3710693930963,-76.86752845024228,-99.24474714926815,0.7424665823755489,0.1290694179629238,0.14215580556480825,-0.16898598301646547,25305.846615154413,-15701.78179265021,0.2798092647539596,0.007374620888457815,0.07884941051654751,505.8199942271689,True,False,True,6.26113515060664e-06,-118.09294460329602,6.511834465300895e-05,-122.02132704033218,546.7473570758133,0.06646828602549704,3.783307399253343e-07,0.003048247751346918,0.577852266297322,True,1.0,3.783307399253343e-07,0.06646828602549704,noneSNR,,,,,,,,,,,,,,,,,,,,
