,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_0,s_low_0,h_high_0,s_high_0,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
19,169.3743381371715,0.17860274567297355,-128.74085043910452,120.5465064532787,-852.6717848850751,0.13246902169909353,3.3085030517172163,1.008276976340302,865.9712530992082,-52757.97363669978,0.4427475334424695,0.9951719256526876,0.05565010653364706,89.44605306855749,61.24958826002085,0.02630248855406135,0.7242737700624159,0.6941004165877379,False,1.0,0.02630248855406135,61.24958826002085,hs-SNR,227.4196791496772,-128.36508922222043,6.455480481473876e-06,-2.7154598979300517,,,,,,,,,,,,,,,,,
13,384.8964875825502,0.19460295112030107,326.76237045339377,-929.457577262217,76.74679929437062,0.16994480640169554,0.3842771373872637,2.5319683472420333,-158236.90497301175,6482.407855051833,0.5249725662480094,0.5180640088871548,-4.000784523882962,89.06360490637371,120.22334824798298,0.02663073220752425,0.6867074968460279,0.6947278442356043,True,1.0,0.02663073220752425,120.22334824798298,hs-SNR,227.11773233534592,323.09180852446775,1.7313885013979595e-06,261.7136239074099,0.6535078663613775,0.03175121259380654,0.0,209.80575319756645,0.03175120057887189,0.02572661191955889,261.76823391876474,319.6521163826414,Hybrid,0.01446614067320747,0.5773502691896258,0.471268722208653,0.6619538875611982,1.1648147071099004,True,107.87445250319709,3.6193417778043346
12,415.496523070776,0.2131325403788502,303.83304989264184,-878.4050535031444,72.98965688473851,0.18701416581060049,0.5425445578642353,2.4572019837264936,-142135.01396731165,14758.49496870958,0.5303919808059809,0.5451698034204744,-2.595172799900475,88.18212564434326,118.53703645458135,0.026714108201477283,0.6839007796762251,0.6948864072056972,True,1.0,0.026714108201477283,118.53703645458135,hs-SNR,227.8224674817953,299.9685323218114,8.948940624096729e-07,243.28570847935958,0.6507502641765438,0.033383734991387234,0.0,211.4143571197287,0.0333837236073521,0.0894160189061611,243.30501025447518,296.46550862231686,Hybrid,0.014649409717110947,0.5773502691896258,0.4705526052808486,0.6599012995870169,1.1620642645154455,True,106.48317120531915,3.695293876086071
10,142.50070530762434,-0.02027189042899083,116.79634882479914,-135.6368712124843,514.2533196999958,0.12908988706488114,1.6556726229985148,1.164594447813787,-73.83827166367973,-37377.7232906352,0.4475711941034252,0.6080172303852599,-0.07570304860352428,87.65343234847832,69.25081168266614,0.02702329863593613,0.7230739102355745,0.6954716021506925,False,1.0,0.02702329863593613,69.25081168266614,hs-SNR,227.5278150812192,116.23361564054342,2.476173750072109e-06,2.6369335140209893,0.6927084849969192,0.040308955742317534,0.0,207.61633970333486,0.040308935130186636,0.4419308071167516,4.295396983212409,115.23825760913948,Hybrid,0.012622579911474002,0.5773502691896258,0.4787097538182512,0.693191711157568,1.209615792718463,True,110.3316231197738,3.6016311094630713
9,819.5208898087633,0.230175647271456,195.1110983204381,-572.1286463594603,149.57354223802488,0.4107250853289292,7.588762237563428,-0.10102369983147352,-88655.6798419782,167775.84021690066,0.53565470375023,1.8803532760856119,0.4103888714771787,85.39306337912215,116.84509804556208,0.027307405781463817,0.6892362088632433,0.6960054587297987,True,1.0,0.027307405781463817,116.84509804556208,hs-SNR,230.169813171996,191.4901533760074,-2.000523670422823e-05,152.46290196453782,0.6561401791263983,0.03336968334677595,0.0,215.7506933099909,0.02867144585899007,0.32863940267652897,152.87488892275374,188.34587788316867,Hybrid,0.01464564079889761,0.5773502691896258,0.4705672921896601,0.6642307068922796,1.1685384877614822,True,105.03132387580115,4.020553446902505
7,174.54307116662704,0.2009225480852468,-164.06831936080025,92.8249333488508,-667.1698587593603,0.13394245119418638,2.2696289356277526,0.6375076395052126,1469.5629606669636,-46192.45909383293,0.4280355258218872,0.6736585071578071,0.089175663102998,91.23057381352731,70.9096403346132,0.02735558390849888,0.7452661576075406,0.6960956260720488,False,1.0,0.02735558390849888,70.9096403346132,hs-SNR,226.67827712394023,-163.9813231823068,-0.00010655260686063362,-2.209911521755396,0.6635847561379501,0.05599108889677333,0.0,210.48978193635295,0.055991050174457664,0.9999999999999992,-3.492489180411797,-163.7436050709899,Hybrid,0.014273862034482115,0.5773502691896258,0.4720243673008009,0.6699845278533739,1.1765986448395047,True,118.09215683184715,2.619140289090625
6,405.26195508716756,0.20387146581813256,302.52948037534645,-883.5016910103578,70.87927590163999,0.17931649074561734,0.4975784682827285,2.5248441141257127,-140874.11327748987,12109.68632348461,0.5293615653734569,0.5452019694249676,-3.023614407086669,87.99606101421854,119.14173682021955,0.02739675520135207,0.6900672759744984,0.696172597083897,True,1.0,0.02739675520135207,119.14173682021955,hs-SNR,227.9753239803181,298.8599665252832,-1.24199578574909e-05,240.5161388015497,0.6556421070222476,0.03256681571703375,0.0,211.02612001702832,0.03256680413163557,0.061155599017683276,240.5413607421761,295.3706661402851,Hybrid,0.014713757032441838,0.5773502691896258,0.4703021104373997,0.6638862611320663,1.168137229631807,True,106.84165681644684,3.640666785031756
4,387.2854671316449,0.1944894335471875,322.3858723485398,-925.5498949522442,76.8575712800551,0.17046611601521364,0.39804510803113935,2.5499877454434845,-155538.00931965286,6864.973957642826,0.5259840293131622,0.5245092345816988,-3.913516685629503,88.37583243453365,120.0765844698645,0.02749417735454156,0.6926773848553219,0.6963544281378954,True,1.0,0.02749417735454156,120.0765844698645,hs-SNR,227.6784807890829,318.8276408230656,-2.581359406909296e-06,257.4823652607064,0.6578233411373889,0.031664120834313,0.0,210.20013857336068,0.031664108966032764,0.025396809263378714,257.53822700758667,315.36044855775674,Hybrid,0.014643003783004637,0.5773502691896258,0.4705775692377503,0.6655916272496156,1.1705840508909282,True,107.58417357727707,3.594653881948927
2,819.2455042799322,0.22440836603858624,190.7647519808669,-578.113867194468,142.96199737497759,0.3968383374970591,7.888287016027213,0.00250359007191426,-86184.06058239371,168021.68860773192,0.5330249669136028,1.9724890190187887,0.3968381388492654,85.0643878097715,117.08169455064692,0.027848027131366856,0.6935501163405402,0.6970113142121085,True,1.0,0.027848027131366856,117.08169455064692,hs-SNR,230.39572801986483,187.2851578042967,3.5341534852705607e-06,148.58284743085997,0.6610710134943757,0.03311147304632525,0.0,215.59230323653333,0.0284878418814425,0.3194988874151635,149.0438439918439,184.13729925363208,Hybrid,0.014632092561787297,0.5773502691896258,0.4706201014307833,0.6682258746109178,1.1745513020356455,True,105.17139582951485,4.00612235470742
0,150.51485236942491,0.1826870057053724,-117.31042510163469,132.09964134774205,-818.8389099496451,0.13098182940731568,3.0647938226346385,1.1694123743287272,489.29724774602164,-52567.842586050334,0.44871791221276497,0.9611005180467808,0.019430663131996456,85.32997950808384,54.1888351891095,0.028089014008316288,0.7168007605544734,0.6974555368981825,False,1.0,0.028089014008316288,54.1888351891095,hs-SNR,229.79460562472752,-116.69077616974307,2.845087834427565e-06,-3.051002540504185,0.6184543138116428,0.05862844683131771,0.0,219.68653865774732,0.05862841374574423,0.9999999999999994,-3.8471221279322387,-116.15864167021748,Hybrid,0.017086990223440963,0.5773502691896258,0.4613774392480285,0.6371900637287542,1.1323164970043942,True,106.44053045975487,3.535669328836052
