,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
46,156.2118351757093,0.17244926542126054,-106.1049382737923,96.39713041058323,-871.7003103655577,0.1312004960611765,3.95717207782358,0.9651615140525984,3157.4516572523426,-46223.817533141155,0.4403167930281901,1.1501532717979948,0.07234933101905355,True,189.05979816512885,-100.82568980618382,-1.337623267110509e-05,-7.211346973050724,121.48478039747151,17.97440301517534,0.005879636711572481,0.3884879640377265,0.63649137834528,True,1.0,0.005879636711572481,17.97440301517534,hs-SNR,,,,,,,,,,,,,,,,,,,,
47,177.46312039415886,0.2320188241352829,-133.86562296880294,109.43137676048781,-599.9310745178386,0.13598513462754633,2.4048595349838986,0.9250629986314172,1882.1301477241286,-33954.2631102912,0.4410383408354924,0.7553920501845441,0.04702551567804718,True,176.27518879729809,-136.53668001956663,1.4791154179055024e-06,-8.934794729749731,129.56107244713695,58.88677413946608,0.005978397993087968,0.5663873684305625,0.6369563263157939,True,1.0,0.005978397993087968,58.88677413946608,hs-SNR,,,,,,,,,,,,,,,,,,,,
48,150.43097914087122,0.15923985389190598,-99.48504987957041,103.64417241243929,-1030.05589361054,0.1305222060490701,4.716188457921317,1.0864355209558407,2976.8604066179055,-54445.16581517539,0.4450307316431053,1.3601197013063024,0.06795355809713739,True,193.5359313956376,-92.4287458453785,0.0001914383188994817,-7.249211376989981,118.03379844096062,11.493728743083382,0.006009465945113604,0.31113622897316945,0.6371016904901474,True,1.0,0.006009465945113604,11.493728743083382,hs-SNR,,,,,,,,,,,,,,,,,,,,
49,158.69879129272337,0.16983144592231494,-94.82801795245277,118.12960080560484,-921.2571976807933,0.1313215914864131,4.1434865670250804,1.3137793983136243,2664.972871466307,-48038.75046189222,0.4549030859183511,1.2548348748085405,0.02718125704142021,True,187.53581813738828,-93.5048858320603,1.6774859408440938e-06,-7.39503906584238,121.39042559916923,25.775502192488734,0.006012378417631486,0.4302495842540617,0.6371152959140298,True,1.0,0.006012378417631486,25.775502192488734,hs-SNR,,,,,,,,,,,,,,,,,,,,
50,182.85694934552362,0.229172397290042,-140.83727550154666,89.1802948169232,-717.0220250041658,0.1366469130065072,2.8815291531602414,0.7467156871058475,3128.4707731642798,-40388.013463036055,0.4339380920447408,0.8448349028077015,0.08827118195078963,True,177.8592973685204,-142.15546912648188,-3.466092199142376e-06,-7.832440612990122,129.88166623029312,44.39135728516989,0.006099804391879522,0.5708146836708552,0.6375219802691191,True,1.0,0.006099804391879522,44.39135728516989,hs-SNR,,,,,,,,,,,,,,,,,,,,
51,130.91304928593766,-0.017394455136247988,95.98112702081865,-107.1737580715863,688.1079940685705,0.1290778162497361,2.6780127903968536,1.1177099288720491,2685.7039393768578,-41341.26807884578,0.4456116370732803,0.855788185744555,0.012454448208051735,True,191.25559982937486,90.31249889486358,1.8587293659163786e-05,7.005979162390723,117.77491037844447,14.811634675091256,0.0061363261932763456,0.3690770599676677,0.6376908950167596,True,1.0,0.0061363261932763456,14.811634675091256,hs-SNR,,,,,,,,,,,,,,,,,,,,
52,135.52905876034652,-0.019921773729290743,99.73392382238491,-105.37750141337082,553.7581161137999,0.12908300157462166,2.089772041968028,1.0587930709630329,2580.4130283437908,-34374.92919075166,0.4431593606561807,0.6989085223191791,-0.005027650760404817,True,188.95643321378117,95.48408299067516,-3.410912208210045e-05,7.039593204339553,119.38484723038,20.76247788440737,0.00614422533412391,0.4081030589590519,0.6377273540273816,True,1.0,0.00614422533412391,20.76247788440737,hs-SNR,,,,,,,,,,,,,,,,,,,,
53,175.22864052350567,0.18629516046135375,-94.89430379402037,133.25171117487744,-1021.5816692644836,0.1333351975460542,4.6959299193443185,1.5215213366828988,2287.805692906526,-51100.44353395242,0.4645658030468914,1.4275693692832296,0.010088725721334305,True,185.14776690414303,-97.41514316001387,6.049321575763122e-06,-7.313244502504983,122.84499612262688,43.565885676678654,0.00617379606989775,0.4856589866574358,0.6378636048778913,True,1.0,0.00617379606989775,43.565885676678654,hs-SNR,,,,,,,,,,,,,,,,,,,,
54,160.34978662195368,0.17405308174879286,-99.78423633616887,115.40088240580515,-830.372549171687,0.13156387915794365,3.6767433230040654,1.2263786964371095,2564.943168501457,-44131.44425714097,0.4513825338425949,1.123582280157201,0.02929914546924925,True,187.77657971610145,-98.61093040406931,-3.4329246130127225e-06,-7.2327456532249625,121.54120669069174,29.885052385724464,0.006228127895649497,0.4547818643883078,0.6381129864692989,True,1.0,0.006228127895649497,29.885052385724464,hs-SNR,,,,,,,,,,,,,,,,,,,,
55,173.80647557223244,0.1758951540653642,-113.78938014448171,97.38709107454609,-895.7262477970057,0.13275212199650988,4.083572762870742,0.9454039812396972,3085.63506878861,-46335.927987304196,0.44026937546198586,1.1784605209243015,0.07803357407013849,True,187.1491923869306,-111.5881256312389,-5.006155875095287e-06,-7.05232379781705,123.53911498056955,31.44773385319825,0.006241974080173359,0.4734335124909283,0.6381763430301584,True,1.0,0.006241974080173359,31.44773385319825,hs-SNR,,,,,,,,,,,,,,,,,,,,
56,149.8299077027658,-0.017191163023164403,94.59174382868721,-120.40984129468167,548.0425547367388,0.12909067532961538,1.99539289588625,1.2779621555426073,2152.3279459841096,-33834.192586973826,0.4522952427244932,0.7118419165619971,-0.0755290858169394,True,187.09670891115277,94.29555300230116,5.0909777036775876e-06,7.001688432367968,119.99375430616793,31.456730463752308,0.0062444222523287615,0.4467125801426451,0.638187536953473,True,1.0,0.0062444222523287615,31.456730463752308,hs-SNR,,,,,,,,,,,,,,,,,,,,
