,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type
0,126.55691971203129,-0.017985548352263868,118.84593990998584,-125.93053635672639,466.281280373761,0.9848202912712045,0.12907508094109527,1.3918611842941782,1.059838457222506,342.2493880869606,-35749.61670536238,0.44319895810022886,0.5246050389439622,-0.07267951356923888,True,225.20779288806725,118.29445818029834,-1.2204818705230888e-05,3.1075772941716124,90.65455058843297,55.596903038299246,0.02182287947170292,0.6839592302777655,0.6849778700528264,True,1,0.02182287947170292,55.596903038299246,hs-SNR
1,135.35388662429148,-0.020691516342087168,114.42762003345392,-130.0880565687514,597.9914602917951,0.9842391994547401,0.1290835354010855,1.996812074591811,1.1388216826898585,394.3429777019319,-42221.63389469489,0.44649415305803036,0.6890066324295958,-0.03328963449644687,True,226.6649771224446,113.3752192300733,-9.282754792346692e-06,3.104296303248086,88.9760309152391,52.5143469396656,0.02302498923170157,0.6882234088190066,0.687536194911754,False,1,0.02302498923170157,52.5143469396656,hs-SNR
2,137.49728101972974,-0.01941191712967025,116.17169863090963,-129.19174111747293,498.9097557323194,0.9816042964543882,0.1290842217745712,1.5989914516799957,1.114286511671818,335.07316669040574,-36312.42446823032,0.4454721974523549,0.5854622815319686,-0.06504352493558369,True,222.98076137016795,115.36275019462815,9.61599878843635e-07,3.200807431393507,93.4679839383212,58.37954063933448,0.019983300582673967,0.677199891330321,0.6808829270841749,True,1,0.019983300582673967,58.37954063933448,hs-SNR
3,137.21459678988052,-0.02095517436811304,107.81849852104288,-134.52034815933888,646.2858499935647,0.9805736272640249,0.12908561427989612,2.180464313529831,1.2501654484539824,587.1498071084025,-44257.977977428935,0.45113451607094085,0.7534769864581216,-0.05010943592228234,True,222.4596346743009,106.97056224239304,8.087451249072177e-06,3.601820613747889,93.82727718205838,48.744000883267645,0.018235815914804436,0.648419284130191,0.6767664557833756,True,1,0.018235815914804436,48.744000883267645,hs-SNR
4,131.78167442496334,-0.021898008272767083,118.2308609097878,-122.11658003138842,527.021363631228,0.9800579351685289,0.1290808940964912,1.7302416667587543,1.0341582237828355,614.2269460973521,-38084.765140745294,0.4421318549512739,0.6049201206534945,-0.025447119585713412,True,223.70968755072033,116.82632380380959,-2.1391758457263372e-06,3.304793319898606,92.75020877353181,49.18762086120023,0.01956800561813829,0.6631096477519144,0.6799257777275783,True,1,0.01956800561813829,49.18762086120023,hs-SNR
5,123.59243339327642,-0.02137776558212957,117.75637395714381,-124.46663199314898,443.1984558187023,0.9798897987688702,0.12907269231034393,1.2775497169138026,1.0567097154219904,493.3959433118098,-34482.53891038423,0.4430673995431651,0.4955057151321157,-0.08943845600032574,True,222.41974098408747,117.53326494592275,1.4162781527357327e-06,3.3597416832937665,93.880813901755,53.37009866983517,0.018718354136679063,0.6593364672416526,0.6779270010854965,True,1,0.018718354136679063,53.37009866983517,hs-SNR
6,158.5753994992385,-0.01662695530115212,116.60844631178406,-135.45132011342943,460.38961592899017,0.9797298378091036,0.12909575517977057,1.604124302856113,1.1670911604891263,-34.922694123364636,-31706.49487690416,0.4476781578556757,0.5955462691288826,-0.08318545246521353,True,216.83487470809573,115.58084551843895,1.5293133500513898e-05,3.7807143146102846,100.22106382058887,75.97785478106465,0.016581308998596368,0.6661649807508065,0.6726355514554024,True,1,0.016581308998596368,75.97785478106465,hs-SNR
7,126.1113312097743,-0.023039394507269176,113.45230337933133,-129.24340245510106,567.6524676228088,0.9794116152351342,0.12907521921624918,1.7783507488019175,1.139398663316488,493.702726486762,-41505.160064185045,0.4465140358250551,0.634487464419894,-0.053429457496432825,True,225.44318809057427,112.75620029219141,-4.320167814349002e-06,3.4021495617161728,90.33209041934758,48.9036319464487,0.020819131750897103,0.6675855628589802,0.6827719058279179,True,1,0.020819131750897103,48.9036319464487,hs-SNR
8,132.64514254632974,-0.02197613391046813,108.46194313620798,-130.94429444267908,595.9136795887089,0.9793788070704151,0.12908185213118617,1.9397473164651116,1.2088853159989084,732.4108266618287,-41766.22941987256,0.44941262947762445,0.686417715116096,-0.05926790028669088,True,220.0481935292103,107.79180699864183,3.346333130792502e-06,3.814624442281948,96.36767432497959,46.335920054744676,0.016226147290932094,0.6272595323883995,0.671715903995234,True,1,0.016226147290932094,46.335920054744676,hs-SNR
9,127.98607557550794,-0.02368891249030425,117.10763923112572,-125.59169420696828,479.7453498887645,0.9793026875584762,0.12907748810339137,1.4604933522398826,1.073048603717656,474.2139756235465,-36134.104795865685,0.4437505844520082,0.5439647720129134,-0.06801914779955848,True,223.1685441439265,116.46072574582078,-8.246964443609282e-06,3.3252245846912802,93.16312963574366,53.165262590707485,0.019391404740692047,0.6655853335983677,0.6795148828532888,True,1,0.019391404740692047,53.165262590707485,hs-SNR
