,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB
15,439.7659250546232,-0.1899569440644066,244.48800944146984,-694.5500171529599,690.540565907085,0.18134686699929714,2.256720650883565,3.3883707792132305,-57548.01963975692,-17340.498518551365,0.5663570312122767,1.1289086259230965,-1.090527050241073,True,109.40240756640564,268.3065650705061,-3.5712006646541864e-05,276.8330923373956,133.91197909847108,1.6694046803144147,0.0015578041096001936,1.0,0.0015578041096001936,1.6694046803144147,noneSNR,,,,,,,,,,,,,,,0.09769612782361738,0.6086660422567722,True,,,,True
16,540.4728460238205,-0.17761848753255854,-299.95304146763056,575.6935090280508,-972.8390091430437,0.2002668789220325,2.873778981569149,1.2682329464102773,-103489.33659033457,-52978.26350317308,0.4874779608068546,0.9298169031273334,0.060345296862661435,True,106.93979216799588,-276.9334376248267,0.00022810937640013683,-268.47222232377305,137.44032686600312,1.8553491703077896,0.0015749447842534744,1.0,0.0015749447842534744,1.8553491703077896,noneSNR,,,,,,,,,,,,,,,0.09585534150777013,0.6088327789476279,True,,,,True
17,560.7582783867086,-0.17820813004044667,267.84346724420226,-901.731830529741,207.21996573610684,0.2065257306003782,1.8018478044636017,4.1571489437017055,-79887.35034587263,97720.4765955402,0.6109788865331703,1.1433201083995181,-2.191274918448461,True,109.71866167741804,289.3060618865753,-6.292770862360454e-05,296.4423736264334,132.98842402924308,1.6424669593467058,0.0015926853853915426,1.0,0.0015926853853915426,1.6424669593467058,noneSNR,,,,,,,,,,,,,,,0.09729366539481307,0.6090043402903974,True,,,,True
18,459.0783069882878,-0.2559759520719993,-287.47050822994686,412.91651798186126,-14.690690674208556,0.23224450814122816,0.9616258029227254,0.761155332134684,-73173.28118252162,54780.79278381617,0.4823385414883028,0.3672656727531287,0.08162525534139006,True,-8.477204500897074e-06,-190.208452303463,0.00010177610138133342,-180.7496902333328,503.9269618806048,0.023795058718576456,1.0314819785055037e-05,2.0,0.001618051329793776,1.7826888882956098,hs-SNR,108.22415993293968,-256.3650561612309,3.06844715569075e-05,-245.50782515158627,136.770257982649,1.7826888882956098,0.001618051329793776,,,,,,,,0.013151855992340958,0.5799666244593363,True,0.09617161023282923,0.6092478897510941,True,True
19,544.4262121821247,0.21970779355825404,308.6176165088009,-471.8812816040298,692.4624780241281,0.2390782289395233,2.3645908227190344,0.7430693882814414,-95752.52346167485,-12310.918610287163,0.4850018208935653,0.7149926037266655,0.18070109763039074,True,109.09339339110407,281.94533686933613,-0.00016431111669627172,272.4905127094076,136.51547719072857,1.847306382522192,0.0016411505998216206,1.0,0.0016411505998216206,1.847306382522192,noneSNR,,,,,,,,,,,,,,,0.09771534116676056,0.6094679175278753,True,,,,True
20,601.6808166743235,-0.18484019623457265,286.28647159000576,-933.220892702312,215.57621681606238,0.2255854110873405,1.9109492864799569,4.1475410221382445,-83528.66864721829,121811.3712138048,0.6201083967115073,1.1689941586430301,-2.024879403968857,True,111.54340986325224,307.41435285003416,0.007810473917101116,314.33506991168576,133.78148935849606,1.0597682659484349,0.0016459310385284526,1.0,0.0016459310385284526,1.0597682659484349,noneSNR,,,,,,,,,,,,,,,0.15698807611639806,0.6095132467757981,True,,,,True
21,399.95978321945404,-0.2091297099646032,122.81189395890415,-282.06387263291737,93.35436050107401,0.1803853090104496,3.1693605672238414,3.2660574957159225,923.73887080661,65715.77080326718,0.5607798654054651,1.3366830577586142,-0.6610408508620679,True,114.70958277770343,147.7484647287401,1.948002936174212e-05,157.68002218569373,132.96015583155307,1.859796734336527,0.0017061115336791215,1.0,0.0017061115336791215,1.859796734336527,noneSNR,,,,,,,,,,,,,,,0.1057490592704772,0.6100780104245861,True,,,,True
22,450.78053761107657,-0.2397292624912412,266.1574630210262,-674.0029102500938,998.4272141398486,0.21629696324351025,2.6935399436755967,3.1925162652088184,-53201.58628506165,-54921.125150480635,0.5756714745841993,1.2054710301203693,-0.7296849338835346,True,114.04231768023178,292.88658405134106,0.00017678435988186338,302.2490300445196,132.02474374535123,1.7147393567932738,0.001713460866723758,1.0,0.001713460866723758,1.7147393567932738,noneSNR,,,,,,,,,,,,,,,0.1026123568795732,0.6101462494066204,True,,,,True
23,557.4341121117276,0.15679781692596473,195.3779176893554,-517.2813318537516,-9.055352744941274,0.18842938631865846,2.9016519337940854,1.7013950276298981,-57170.53076584978,83855.96410246975,0.4996076345559852,1.0089788213868376,-0.0609755307847763,True,111.93948108796015,175.10781042126806,-3.627535042338666e-05,166.39149850823074,136.96752969301198,2.2395306542279907,0.0017375362590895571,1.0,0.0017375362590895571,2.2395306542279907,noneSNR,,,,,,,,,,,,,,,0.10557825797591618,0.6103687064495141,True,,,,True
24,496.7968492584466,0.13588322072764664,171.4000429852031,-438.37151253244383,228.83227471502826,0.1640656223876586,3.476643001697306,1.8223688697698013,-38423.39695999592,40632.27573045872,0.4924663293463146,1.1728888953859602,-0.07474436585996491,True,112.5829033762078,152.2242215363611,7.563068733427832e-06,142.35644827328545,138.3515161619287,2.6153310469758537,0.001786047277562375,1.0,0.001786047277562375,2.6153310469758537,noneSNR,,,,,,,,,,,,,,,0.1106042115604756,0.610812016632552,True,,,,True
