,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,eta_BAU,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,h_low_4,s_low_4,h_high_4,s_high_4,Tnuc_4,dT_4,alpha_4,vwf_4,xi_J_4,v_calculable_4
97,333.0654925608215,-0.005029663639354892,-179.46759068611084,474.0723062507834,-581.7464823330025,0.9690465259561414,0.12909397955674098,2.100010537772583,2.630701959665732,-34890.02058065411,-37094.928287920804,0.4934238457101029,0.9634529610541012,-0.6947819815526712,704.4464307644017,True,False,True,70.296692175294,-167.90195390239867,-2.1781073683798856e-05,-161.47694534813473,148.72112718651837,1.1420730647572843,0.0006667535563033973,0.05826782694700749,0.5980452855890387,True,1.0,0.0006667535563033973,1.1420730647572843,noneSNR,,,,,,,,,,,0.14185633895485233,0.19302682238368266,0.0,69.31701096487609,0.16525312288596933,0.3398121455721708,-161.47453145432223,-167.87021543555915,Deflagration,0.0006665661806916982,0.14185633895485233,0.14156053315237904,0.5773502825127536,1.000070269040129,True,148.85959402147944,30.150738397069553,0.0036613795717828734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,449.42888705339175,-0.005038657585819811,-54.13477038122494,314.5240180670778,-392.2416460503542,0.9971915773304102,0.12911311927429928,8.041087887586121,5.739574111234418,-790.4445697786998,196.11258291371632,0.6368047233253384,2.966867657102266,-0.8950863248459896,720.7983813532837,True,False,True,157.02794773582502,-51.7788752875085,-4.4528550154224936e-05,-25.697212355936685,132.66108720060365,140.24668006362188,0.004169894295418628,0.2810904470191956,0.6276228217311596,True,1.0,0.004169894295418628,140.24668006362188,hs-SNR,,,,,,,,,,,0.4756807580103614,0.053422917436228005,0.0,151.05092160539067,0.05342280557861949,-0.20391820319319445,-25.7816479862116,-51.51639522355511,Deflagration,0.004025352623715967,0.4756807580103614,0.4624031988257976,0.5773503165961408,1.0088585495721163,True,136.2878901519438,7.131437891746683,0.0986541590599018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,130.1834864076519,0.08437240800498008,-152.6794273755561,42.583698793768356,-242.64085039392768,0.9479647930440636,0.12915026620160824,0.9766160743873016,0.28181383461521714,4611.398526616778,-14192.330385222793,0.3854781703346169,0.2911229910326949,0.1088201079481825,454.6042963995418,True,False,True,137.67230856786205,-128.83940343106153,5.1650369824608115e-06,-19.278989299615265,143.88143409225037,13.096764735353615,0.0022215631883795678,0.3025284293738538,0.6145334226472161,True,1.0,0.0022215631883795678,13.096764735353615,hs-SNR,,,,,,,,,,,0.5281298247303313,0.12003729180689385,0.0,131.48868107330142,0.12003711169775493,0.3794409485105379,-19.889791343775357,-127.51820829416536,Deflagration,0.002133674690935298,0.5281298247303313,0.5146653932458937,0.5773889709866052,1.010142436030618,True,147.87492295668142,7.3613955156651425,0.09619425000182552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,123.09921113905311,0.06487457059815402,142.03929181873218,-64.06163104502771,196.98875487038842,0.9301441779116792,0.12905696666056474,0.7302710642499367,0.4519274934488863,3282.301895192968,-13219.10525189946,0.3841523253951445,0.2578890149706319,0.05913825108583256,359.8011861879294,True,False,True,158.35362251881742,118.41711106385748,-1.8091643928553047e-05,14.748965720514965,135.4113435857098,17.817356481695683,0.0032959314872329955,0.33825347673371003,0.6222902086255284,True,1.0,0.0032959314872329955,17.817356481695683,hs-SNR,,,,,,,,,,,0.5398441414282833,0.09352218405127964,0.0,150.50036412216127,0.0935220929026112,0.3816756428500739,15.452217452872008,115.83020864605177,Deflagration,0.003077455928912152,0.5398441414282833,0.5173346408102251,0.5782241513983217,1.0172942348157352,True,140.13397292607291,7.444275422645216,0.2420809262734659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,158.27764942093413,0.009283307658470658,123.0612223926808,-106.53683751142842,155.71498984756784,0.9465127677622336,0.1290807812293295,0.5934947790559798,0.8628408981682302,1247.0649038747051,-10261.87936712851,0.4089651815013155,0.29218051112536664,-0.1845253539147573,360.9890348733682,True,False,True,148.86041551539887,110.83658504118972,3.912859678158456e-08,20.48288096811876,137.3856383337885,43.7995630216988,0.0030555652078448573,0.3540064844666215,0.6206906397350137,True,1.0,0.0030555652078448573,43.7995630216988,hs-SNR,,,,,,,,,,,0.5457537354359049,0.059874458203398165,0.0,139.19491761922754,0.05987435144552915,-0.03409409695514265,21.455249667786962,109.31459204836744,Deflagration,0.002842643793028725,0.5457537354359049,0.5223727041050533,0.5787261385065491,1.018221536210928,True,142.90079814581338,6.327845093932867,0.34861538281088505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,131.5759167951642,-0.04443264811534349,-139.86619420978428,-86.3438286222596,-518.21365178474,0.9699155251868028,0.1291011887258862,2.7731329053043057,-0.6194768582394341,13842.704747226348,-18296.02907660772,0.3584245720146414,0.5900370832861708,0.09450569772361762,557.2520183445868,True,False,True,342.02190322898565,76.55537096163198,-7.812304422411916e-06,-101.27005251644009,198.23684712844369,47.06797677664096,0.008111064065318703,0.3853008608820942,0.6460906315291923,True,1.0,0.008111064065318703,47.06797677664096,hs-SNR,,,,,,,,,,,0.4994349418153901,0.045003852292414284,0.0,319.0866006125326,0.04504503994930053,-0.29614519634487,-97.9512015191117,69.54114903261879,Deflagration,0.007478493560683488,0.4994349418153901,0.4699298727852003,0.5775489601741726,1.020506856376044,True,207.68457515599152,7.623401417645893,0.7855043934564097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,327.5727517545378,-0.0005945034843752168,-125.30720479160156,355.39439170000594,-129.69983294693742,0.9476224223996595,0.12907436325832705,1.1972860677950872,2.8344185637003543,-14456.835427028738,2493.807049039009,0.4916365008874049,0.7717246108988308,-1.548454677283421,371.78022276805336,True,False,True,51.14180239152989,-114.81791348762896,-0.00031543018182224536,-112.14589026671207,148.70279712274584,0.4293025604407035,0.0003430584886528218,0.03446295001946528,0.5922739926543821,True,1.0,0.0003430584886528218,0.4293025604407035,noneSNR,,,,,,,,,,,0.10381732043654006,0.3183074350588995,0.0,50.310474051394216,0.2790518742734391,0.4558003346314144,-112.14546647474072,-114.80504776890928,Deflagration,0.00034303169106398836,0.10381732043654006,0.10370810392118934,0.5773502753429082,1.0000195293937364,True,148.75079212955444,50.43062830596379,0.0005884849830498251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,140.8154479368605,0.01691846634626988,-147.51851400081037,104.86345394284292,-88.37367333029545,0.8961363272048952,0.12908396803064992,0.260105364021763,0.7127969294875033,110.8922738906558,-7317.392139573934,0.3795084172234509,0.18382582925335794,-0.35925607889385497,297.8886762570644,True,False,True,158.2755153580392,-132.7859769260061,-1.7949403056566658e-06,-19.338333348189238,134.78610812212165,72.24972738145647,0.0037014557278821103,0.41863294525711264,0.6248504426249849,True,1.0,0.0037014557278821103,72.24972738145647,hs-SNR,,,,,,,,,,,0.5774687113337766,0.047738424889079735,0.0,140.87478045008737,0.04773833676098101,-0.0545344648854776,-21.259802849889127,-129.8574467816914,Hybrid,0.0031683368083092267,0.5773502691896258,0.5296042797860551,0.5912440631954483,1.0396455622598093,True,142.97266211957003,5.6175816116816835,0.6600113140518518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,294.857296716748,-0.004558633007251678,-88.74537412540758,258.3803887949807,-636.3531479127946,0.9946783995720452,0.12908631710349633,3.502773377852848,2.8966055340483043,-3699.111343895038,-29337.266861036915,0.517082817359639,1.3584609334712627,-0.4697480003639968,856.7829943716963,True,False,True,174.9019410886203,-86.38858277793231,-1.6860328449990033e-06,-15.756109062170793,125.91092274933504,142.00488178992512,0.005738453303541901,0.4458930633544649,0.635819003228405,True,1.0,0.005738453303541901,142.00488178992512,hs-SNR,,,,,,,,,,,0.5745045325625598,0.03877132628389311,0.0,157.1989821874698,0.038771273015421125,-0.3190247276369708,-17.60038311085842,-85.23860224829542,Deflagration,0.004792838870254407,0.5745045325625598,0.5180734331762769,0.5926108595027878,1.0460453320718863,True,134.66891899276496,4.903433753617799,0.2255557284773539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,467.2029599549712,0.0027730167143122236,76.51084077716865,-404.13871838169405,273.79269937291275,0.988181938271242,0.12908694902148402,6.759506716181527,5.2522810824201285,-7723.272897941541,17717.378038197992,0.6120158873050348,2.565256859448737,-0.8911966947061477,493.24046335227484,True,False,True,122.99305781255971,72.32808169609991,-4.722212458925729e-05,57.57842275520245,141.52719010203566,11.629472580489821,0.002270936485581201,0.16550029817371606,0.6149296264631285,True,1.0,0.002270936485581201,11.629472580489821,hs-SNR,,,,,,,,,,,0.34107669588323464,0.08400169036873785,0.0,120.23789307628996,0.08400137132496083,-0.05320553756984507,57.579301332209816,72.21653479593672,Deflagration,0.002257186494989437,0.34107669588323464,0.33794945673770505,0.5773497363095189,1.0015194459697307,True,142.76869782602768,11.271780311272053,0.05801124600814025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
