,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
1175,245.9950833491986,-0.2575943409057414,-714.2705226392908,420.21572406241415,-131.51700356838194,0.15309323399912705,0.1310416767711145,0.5254625394419419,-156827.17984236465,-28988.43339278973,0.4329423713883879,0.12033750909976895,-0.3736683413259633,True,-1.0891968438905323e-06,-660.5469231382942,-7.776052534901162e-05,-660.2449683637931,324.0733714915975,0.008609316473609852,2.3606525666705183e-07,0.0067212765085832675,0.5777468403704047,True,2.0,0.00015622505562978384,0.005933382405800103,noneSNR,37.601254798635054,-676.5047686912912,-0.004646887951974286,-675.080794239455,153.20737041653828,0.005933382405800103,0.00015622505562978384,0.05223842472585289,0.5874650806575488,True,,,,,,,,,,,,,,,,,,,,
1242,381.2258297062404,-0.2963381989986893,-644.1081542242326,668.9155552611596,-218.78850031590844,0.2202984683919642,0.29373051471608913,0.8101108812218565,-249453.19208887074,-25984.191382058627,0.4784053361589696,0.20845110888266505,-0.3382744470815886,True,1.3466313124073285e-05,-570.940659013201,9.832929399129057e-05,-566.9938507511256,480.3461069232386,0.0817288061981003,2.5581533093450243e-06,0.0023786207426179685,0.5786547146595029,True,2.0,0.0013707308385204782,1.4482166581441618,hs-SNR,101.12749394288916,-607.355230565943,0.0007004335383878795,-596.462489225422,138.2497831921439,1.4482166581441618,0.0013707308385204782,0.0848516715669524,0.6067790648799836,True,,,,,,,,,,,,,,,,,,,,
1625,361.83752311493964,-0.16964761507191328,-458.2474639869178,698.2937774992058,-233.77574789842663,0.15618030677842373,0.4490299510750736,1.3537981581473195,-168382.03348673196,-17988.373414339127,0.4689998918907604,0.337890514126655,-0.8642245952860339,True,2.4855543809409426e-07,-382.96918949364937,1.155087329850295e-05,-376.8952670777007,509.30603788172925,0.8022904748623887,3.257334588117461e-06,0.010910686231466236,0.5788220075382008,True,2.0,0.00048243297427783926,0.4288957109783098,noneSNR,61.470353702864045,-428.885539269946,-4.734279637153329e-05,-425.45642233339066,144.25970457779474,0.4288957109783098,0.00048243297427783926,0.04084721036441388,0.59500352990964,True,,,,,,,,,,,,,,,,,,,,
2620,458.0064647442562,0.2065130261231268,519.1521945282836,-982.3407111230333,491.87030230765913,0.19639994115289156,0.7413508033070657,1.5873970933858688,-284162.8240388505,-64785.201866132775,0.4988429980462672,0.4499038830577445,-0.6533426910966743,True,7.868001007084186e-06,418.36326078635557,-6.711731163503698e-05,401.9086437395558,649.2127415166552,4.048556251485138,6.808761090712212e-06,0.03005526381175312,0.5794768682999031,True,2.0,0.002487014314673042,3.6090479021158615,hs-SNR,130.52598191553113,496.06623484108087,0.0003959077251625025,481.5439833400159,132.65551567714982,3.6090479021158615,0.002487014314673042,0.14248291892236087,0.6166112916290871,True,,,,,,,,,,,,,,,,,,,,
3350,552.8650516557444,0.2038201192100903,497.64280353097365,-695.3769233309749,479.4913026164202,0.2270867389616089,0.9893941222900032,0.9281366404979616,-217358.82772951512,-7813.858209252387,0.4867172114136297,0.4020379706554944,0.009418773277468595,True,-1.4490520639145804e-05,387.36568663375783,-1.3160779794129865e-05,366.74004836072237,743.4783562229286,0.5015122709567095,1.2253241779995026e-05,0.028214668822982326,0.5802013022456899,True,2.0,0.00027656367947584285,0.0717603717024815,noneSNR,48.349647497454264,469.0858965720055,0.0017631457406202485,467.63909008064536,146.76240388419512,0.0717603717024815,0.00027656367947584285,0.060581506510511175,0.5907682049285173,True,,,,,,,,,,,,,,,,,,,,
3842,344.8657925209726,0.19151993004242768,-526.2918822582167,926.5703797289328,-343.7429802987783,0.15994449578768413,0.4381879979138317,1.9095216729698612,-213498.8636206438,-55023.94793086919,0.4940371328463298,0.4278006116401015,-1.9203686557027448,True,1.5939499105327073e-05,-464.45043215513834,-1.152787039136102e-05,-455.6282950776548,646.2431514854958,1.9761210036774628,3.4367445521558527e-06,0.012955795082185969,0.5788619425143053,True,2.0,0.00031992191648067756,0.15807699291676158,noneSNR,52.39990113004882,-555.6531128709439,-7.392764315893098e-05,-557.8016226945983,145.30010994699552,0.15807699291676158,0.00031992191648067756,0.05769018705239117,0.5917686059179302,True,,,,,,,,,,,,,,,,,,,,
4238,335.970552462729,-0.2013904888675826,-230.8298323228455,207.8549694268395,-114.34598265437,0.161165370707069,1.0143083802086479,0.5651583849225964,-23153.678236176827,17488.018141071665,0.4386324333040529,0.3477701592059281,0.08244079190032219,True,8.420650536559381e-07,-145.1944599380215,-1.2656952866243106e-06,-142.7501368159215,386.2822982434192,0.39773559165871575,3.113521880955421e-06,0.002505253250310495,0.5787891929574841,True,2.0,0.00019785777638201484,0.07994303041292028,noneSNR,40.71864014005217,-197.36700799857286,-0.00010439426393978302,-195.8940074713409,150.03656093811546,0.07994303041292028,0.00019785777638201484,0.044312391008963205,0.5887204886597032,True,,,,,,,,,,,,,,,,,,,,
4779,395.5547831543015,-0.2819119409909141,-277.31336463119646,53.037937395190276,-842.1884108114647,0.21896947616450926,2.427218508626804,-0.35986575594514936,-15272.741228621031,-63593.418121431096,0.4289918134966169,0.5468270011658428,0.20563081692949456,True,-2.417526884445068e-05,-126.17214791556204,-9.83834176441152e-06,-128.26782438781078,571.3126368614403,0.2519860309162141,-1.2511526543586815e-07,,,False,2.0,0.0003039171619922024,0.27224171085632065,noneSNR,49.02931046119624,-233.23514697567882,3.3983905270219026e-05,-230.41719106510814,148.92508406986283,0.27224171085632065,0.0003039171619922024,0.030350651677028113,0.5914079388840701,True,,,,,,,,,,,,,,,,,,,,
5003,469.73690637319913,-0.003837122268215865,-428.5679006036702,172.97039486549966,-978.1050094464496,0.12909899424565485,1.7085005980394825,0.3961457211115384,-29924.165227887417,-105609.29067563146,0.415557050747885,0.4931494363617937,0.1061356671424831,True,1.9777043858179293e-05,-220.1888228615627,7.875055669939968e-05,-226.3752946468793,995.339310273292,0.19279643962408954,-4.976143720963868e-07,,,False,2.0,8.302770500962237e-06,0.4485266656838576,s-SNR,1.0397826248489013e-05,-289.4079082649538,1.7792549448146552e-05,-276.536734362988,668.0631896755588,0.4485266656838576,8.302770500962237e-06,0.01614900773879916,0.5796981671356348,True,,,,,,,,,,,,,,,,,,,,
5338,248.52377071856318,0.1295862410150601,-591.8542340958999,755.7876761069355,4.5461499800780985,0.13542647244342282,0.0279788691463812,1.3175373934978871,-208346.3046596908,13720.51335652426,0.4571121095295336,0.2265842828695765,-15.375429007304664,True,-7.3644640852638165e-06,-603.5793276728979,9.190073539406817e-06,-603.3674649134414,361.796891894937,0.0009542408477045684,9.095096260481113e-08,0.010518977663742251,0.5775964563434449,True,2.0,0.00018995236592531453,0.1352735586709457,noneSNR,40.70160741061852,-618.4580983838221,-0.0008342506346782218,-620.2270598489098,149.97095363549508,0.1352735586709457,0.00018995236592531453,0.03844274440686959,0.5884933043509125,True,,,,,,,,,,,,,,,,,,,,
