,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
0,321.53505022662716,0.2574713607898554,437.914958996568,-600.4123727612651,155.12918380326482,0.1760005739202161,0.32350291740431103,1.1706837969131088,-140010.65355291194,-11968.563976978898,0.4712802604102311,0.2759896955032626,-0.8831093124382844,True,-1.2537162987918975e-05,359.89747774001,9.515840776117903e-05,359.8974804434833,370.5392906379985,0.34136661188654216,-3.1911944879187566e-12,,,False,162.53595373931284,416.3267376848054,0.00010245516675082239,381.77437395918287,127.130630756456,11.444147111743376,0.004388818533886084,0.25196297746872603,0.6288594700962341,True,2.0,0.004388818533886084,11.444147111743376,hs-SNR,,,,,,,,,,
1,539.392987145895,0.011786669291985186,-188.8306885991426,-508.3083763792411,-418.2497459377505,0.1293895659367155,6.330703393156646,-2.6220839271518734,57079.235554659674,148870.82259827928,0.28994276791577317,1.1456618604305158,-0.14211755160018683,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,640.8113965172954,0.05044439168981474,-413.9776474015164,-839.7126202385101,-942.9529596007691,0.13735808081270467,2.513374464025418,-1.8332372066430227,198860.34030746136,46289.23374112392,0.3267956387083032,0.32280408156585066,-0.1969294183168247,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49.606168084613465,0.2087420701958383,997.0997358179454,407.1982248418183,382.34337833299423,0.12440283501436732,0.19947462421299328,-0.3974925694334954,215962.7275783362,-182585.18980602064,0.38014070902619823,-0.016380105519000918,-0.07361776958410775,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,604.0484040304244,0.1904760540835777,125.42524323328689,-842.6629267884284,469.9644320217767,0.2323321300505312,6.6009173348697825,4.616027975633041,-55300.017844455135,-18821.621996583854,0.6430020459220525,2.4195673296562856,-0.5746660942442747,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,558.2438558911896,0.05835893430782113,-792.524334069903,-421.47681666382005,221.54115041324394,0.13738007152019913,0.12034041187973539,-0.4434882448734478,203081.51486619172,253838.89910886897,0.38471284080244944,-0.04382960450897412,-0.27121463965938597,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,301.4859554535563,0.13069242491575,-467.2406127628524,315.5355868681627,-916.955289996198,0.13961567505073147,1.1396156054853648,0.7598353071571471,-56027.052076014574,-177083.4381840094,0.43596912390232373,0.41154311923086573,0.012961193657266001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,841.0502080187795,0.29366199958136235,-957.7302872173958,-71.00176238502763,-906.0176016202511,0.6071515139215001,0.8282259291117046,0.7386645616124232,443571.725793559,-83398.78936788207,0.6688549289400112,0.33016724254666335,0.44245450450546076,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,528.9644054934762,0.2532007838423293,-519.8819851085477,-437.5263188607437,-883.1366618584726,0.26581023917205804,1.3835051240614027,-0.34108186615207686,197480.65072576044,-70027.89880641646,0.45319485707510265,0.28902930332333787,0.24478811981115062,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,688.2067683115483,-0.03776105960621734,-559.2530427087306,-334.0438771368099,-339.715638786898,0.13445832263515176,1.08878503300996,-0.7227859053811692,81934.47752877127,146742.70148295735,0.3716145638387707,0.15173194068896179,0.014503637096023522,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,358.7894803222788,0.22551581739925614,916.6147740050831,-354.8533954806352,-374.6283994325672,0.17571511113126656,-0.1380933366347436,0.27792250466196144,-197860.15945617168,224056.38264050745,0.4339391418386252,0.011797083284974343,0.3155497340028247,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,216.5509497451937,0.13402058216475005,-657.1717928605399,-468.18301028261635,-114.18296430045643,0.13367603422111596,0.16551760136364596,-0.6868471195940241,167463.39691334995,-2779.8737694140327,0.3727208690395505,-0.07309511959142587,-0.5788750204823389,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,480.9697432867746,-0.2023356313318334,338.56395620938997,581.4627046117785,-171.2815504222176,0.20092340778588622,0.9451762662569092,-1.2080562177571048,139804.11783540723,181769.06577403843,0.3846275100651406,0.03495136360470982,-0.18508920101594142,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,181.21823624516222,0.1676569676171949,-47.970357666335985,163.05050369232708,189.60078533101955,0.13302325120053027,-17.327751615727884,3.638498917191733,4427.914277074265,-23519.613330781605,0.5526172290619975,-3.725521417733349,0.32402717750319415,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,413.3471180706329,0.024560893887245583,961.7867134524981,-116.077397853011,-955.2289370082609,0.12984626074601444,-0.40626738314792565,0.10459704918846326,-55393.243828294966,542427.7741247646,0.4037828226679367,-0.08413400425557087,0.13657861433428553,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
