,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,h_low_4,s_low_4,h_high_4,s_high_4,Tnuc_4,dT_4,alpha_4,vwf_4,xi_J_4,v_calculable_4,eta_BAU
0,106.37107634805237,-0.013879947670455708,-176.83895102583466,-37.04000281282333,-174.3325824515097,0.8901116697186655,0.12906721109482872,0.7753332374967283,-0.208075033495062,11119.989223620516,-6540.701406638277,0.3384399905395346,0.1591541371250051,0.11510701389505568,345.38454958653443,True,False,True,248.5107506430417,58.124102418013145,-1.9531104404375614e-05,-158.9612266005436,168.4112758537731,29.12144384390368,0.005866538408505064,0.4966582084495089,0.6364293842779188,True,1.0,0.005866538408505064,29.12144384390368,hs-SNR,0.6062844141844042,0.07189031775049143,0.0,209.17210415828143,0.07189029518261028,-0.15891457268702341,-154.3631874500449,41.27690184407156,Hybrid,0.0044068974595020075,0.5773502691896258,0.5206741670011892,0.6135330802594269,1.0741357704243821,True,184.2120228252535,5.480240272884678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4232680990010677
1,125.89941583452034,-0.03994321862176227,119.50174699405243,56.37453555715297,363.79024890124566,0.9637840977197192,0.12907676828470507,2.5776538527584005,-0.4714710237020016,11194.311040795168,-6654.602487654436,0.36161518682119936,0.5658349592392665,0.1075179265154018,431.87442474597725,True,False,True,256.70924837146566,-54.17743980389802,3.907217558289846e-06,94.57220366743908,174.43588370162266,22.18696027392724,0.005823359356747347,0.3755510530314285,0.6362244640581491,True,1.0,0.005823359356747347,22.18696027392724,hs-SNR,0.5196728990367583,0.04543092685164048,0.0,240.23335601647562,0.03349444441414164,-0.07567075135270873,92.78625832762486,-48.981332219897595,Deflagration,0.005380864504248689,0.5196728990367583,0.4923311644372621,0.5778487900687949,1.01995361148494,True,182.2985478362781,6.845168653024673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0060357135205058
2,132.9857474625312,0.04933266096992794,109.98427600012457,48.579405997682436,202.32179642887863,0.9590282979623441,0.1291149704121186,2.203894098020478,-0.4454004948525241,10475.299757905057,4294.948474670462,0.3604344322390852,0.4767401086963655,0.10661143893650707,372.3056824193749,True,False,True,278.81121892839644,-84.58012021598915,7.196375229753792e-06,88.10190918109238,173.91486411333543,25.774052290632852,0.007183500581010406,0.4220054881313913,0.6423106727336158,True,1.0,0.007183500581010406,25.774052290632852,hs-SNR,0.5430530223433117,0.04271041268577693,0.0,254.53155586658573,0.030641065296656726,-0.08843741303139763,85.64092270945183,-76.33604950156553,Deflagration,0.006331741296385476,0.5430530223433117,0.5010113469933282,0.5817434907550942,1.0320559507436011,True,184.4306823771961,6.2106284253403565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4685235134450236
3,160.0571859873001,0.003328683992118095,-78.18200870546173,-72.79487028188828,-513.6123119458791,0.9929248646164386,0.1290750073527387,7.688626851228746,-0.9293706430292521,10674.7036042543,6893.181865085338,0.3567901554889539,1.7672616056356445,0.10099035033798937,653.7479961247948,True,False,True,273.19813442549275,54.38908350012368,2.066679180949387e-05,-52.74748275683953,177.91992877424926,22.485801146450033,0.006338973180837627,0.3481742989111775,0.6386179709898733,True,1.0,0.006338973180837627,22.485801146450033,hs-SNR,0.4752043978326506,0.04240533946947483,0.0,260.3234092750099,0.03215804457793228,-0.09300272987850443,-51.72220151741409,51.5376593755886,Deflagration,0.006022936702893828,0.4752043978326506,0.45578108520709704,0.5773511657224685,1.0128665515055206,True,184.30948446810788,7.071281588960647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6926032991863182
4,135.51597597312238,0.03763341607453169,85.28698309850375,63.547587277169846,300.8348541772036,0.9753030345803052,0.12910582364218925,4.578033146416031,-0.7499681263606159,10517.874067948524,7495.270141216333,0.35560972411686714,1.0195135988772384,0.09839109459980697,376.6029046973797,True,False,True,284.04405690861176,-73.21078506486167,-9.628005712971808e-05,54.98503066081606,182.8399845388888,27.12296092169868,0.006544225290891322,0.3494513734429245,0.6395399988592745,True,1.0,0.006544225290891322,27.12296092169868,hs-SNR,0.48055092119185244,0.045542948146103046,0.0,269.02334015804547,0.03762609091524764,-0.13840977291772988,53.59294153090829,-69.22303698434294,Deflagration,0.006190859015731125,0.48055092119185244,0.45968176166760083,0.57735440357944,1.0139741590290698,True,189.68783385344267,7.37818250548483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1535045834751163
5,128.95269141342004,0.06695749539534065,-117.729428686361,-67.15889460780232,-368.88820854846847,0.9700451873052794,0.12911033201158384,2.790078406847559,-0.5681911252552209,11794.902228008774,-4689.405256035912,0.3606289340524349,0.6028210808360196,0.10018272606810387,470.1166186386063,True,False,True,310.0992946635141,77.49132764637602,2.20489809959636e-06,-91.60166822051157,182.095402356064,32.26283955780633,0.008046339772646367,0.4126624446060817,0.6458352048654695,True,1.0,0.008046339772646367,32.26283955780633,hs-SNR,0.5241051723561521,0.04173220457189082,0.0,286.645190995968,0.03482087497153129,-0.18698706760340275,-89.0396426219428,70.14615679799057,Deflagration,0.007231260705182564,0.5241051723561521,0.4870704701886237,0.5789682217322015,1.027060642353634,True,192.34234735456485,6.657239824285952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1222065281668705
6,118.80416924294443,-0.025131244546286333,175.48046159538762,86.8992836360236,436.1639040243064,0.9364789939236045,0.12906611067922005,1.7156604667489537,-0.4960991566126057,15434.108426687166,-23734.253443835278,0.3476119655745365,0.3462319239184708,0.09320319112700427,468.5562434344731,True,False,True,319.74638708841684,-71.90700838534606,6.189824069420337e-05,90.19282866592505,218.5516931257829,22.642827708144807,0.005494419821388014,0.2937276255548758,0.6346344916295553,True,1.0,0.005494419821388014,22.642827708144807,hs-SNR,0.42910160374172995,0.058280200599943634,0.0,306.87063017096426,0.06445315618726388,-0.2623222870009572,89.6352217815511,-67.7381274293385,Deflagration,0.005336287955194722,0.42910160374172995,0.4168530914361438,0.5773498147959282,1.0073273998569945,True,224.22285467507797,9.790120710930523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6289681472034148
7,118.40691345094912,-0.006135871210841986,-105.46974824480611,-78.4809880169442,-401.0743154011763,0.9698884366909324,0.12907359066813542,3.5452300342158254,-0.7437244707828761,11964.547120907375,-2852.8831111886393,0.3532206525368865,0.7623534300901437,0.09006864013580587,420.01250784732764,True,False,True,349.170258850997,89.68318298779744,-5.461109248596577e-06,-71.34257016350313,191.72976986637767,38.65310813365821,0.009036837533350215,0.38983276327761296,0.6496220640621534,True,1.0,0.009036837533350215,38.65310813365821,hs-SNR,0.4885360253891976,0.04471112547386717,0.0,327.13091231680727,0.04136110821107754,-0.1924547878197565,-69.18095890307823,83.16944209812789,Deflagration,0.008349166498381437,0.4885360253891976,0.4590226517818068,0.5774457572223308,1.0199837248528263,True,201.04429659283855,7.283440126170128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2400982549568274
8,145.2754922732554,-0.05198530798804642,93.04986514528582,93.72956391619232,541.6058500282566,0.9952882628362544,0.12919564591001492,5.891194296670501,-0.9949427871983384,12245.39968368685,985.8975226817964,0.3552930369353892,1.3069747763012356,0.08718756147298229,955.1493372502453,True,False,True,385.81524746388743,-88.65959166247654,4.203068252581734e-07,62.25741096050608,194.55857826927738,43.286770417823135,0.01077611326888747,0.41617173742494895,0.6557253076175374,True,1.0,0.01077611326888747,43.286770417823135,hs-SNR,0.484544676308272,0.03857455714861403,0.0,363.35242994039925,0.0364575563444911,-0.22375192325131976,60.12870248299552,-83.15012369336011,Deflagration,0.009869684127894485,0.484544676308272,0.4513276468349552,0.5774874964416484,1.022209054478771,True,205.10035000844283,6.96764797606475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6510171495774453
9,118.4646403469724,-0.02773519464501276,114.04217795621209,112.31308523196344,661.6841967673389,0.988197291667512,0.12906385955562047,4.588121898827313,-0.9864312947147486,14216.987948781332,-15836.828951526491,0.3520655795581906,0.9826252589210368,0.07604397905498916,735.6793834964212,True,False,True,474.5706291052422,-110.58220553506659,-4.001902927134743e-06,67.83572075149958,209.0663447450877,57.48097465457005,0.013688823658846726,0.4202258104421635,0.6647558099581949,True,1.0,0.013688823658846726,57.48097465457005,hs-SNR,0.45949201516882904,0.044578225841540524,0.0,447.85946855399646,0.04570089382447263,-0.1946917350108323,65.78894591487293,-103.33738370209946,Deflagration,0.012567048266888379,0.45949201516882904,0.4252024858013379,0.5773801698060116,1.0216057244955123,True,220.70974756783485,7.54314023979616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9484583734688729
