,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,151.20952027952413,-0.018640940046159737,127.12898693281984,-122.51421393238495,601.6126319914765,0.1290947795651905,2.1698460459689595,0.9679972163960694,72.17856436188504,-41283.596997419154,0.4393820890445083,0.7037943808915847,0.021135667363280014,True,233.345612136058,126.09931201736872,1.6336583143975876e-06,2.029963690616309,79.71343836570018,65.58972414634596,0.03999886719225838,0.7760070138885693,0.7168033672089829,False,1.0,0.03999886719225838,65.58972414634596,hs-SNR,0.71533407553479,0.04340160284232433,0.0,215.80068152740574,0.043401584255666266,0.4725153842443671,3.52142506842793,124.28284752507636,Detonation,0.016196579964142144,0.5773502691896258,0.4646576362147916,0.7155765201277918,1.253591656898068,False,106.51251924390013,3.294892342199684
1,150.08353981116866,0.1653869935465229,-107.1294188412138,161.20227233563097,-786.1772571100406,0.1306117821940761,2.655672729734962,1.5470871330713067,-474.8086886025048,-52460.99587791268,0.4642693368870861,0.9217660379456252,-0.09470575886770094,True,233.11598646636241,-107.62572577110001,-1.2016002940132102e-05,-2.6809179248038397,79.42169351621378,76.0033726392445,0.03985076372582768,0.7776321511167382,0.7165889420945891,False,1.0,0.03985076372582768,76.0033726392445,hs-SNR,,,,,,,,,,,,,,,,,
2,147.9538407015342,-0.01966674025749398,100.82156831214195,-132.32673757152006,494.7437211996514,0.12909401122102998,1.5735880116477825,1.317429353220872,1179.3991886440135,-33735.466435868024,0.4539413772401282,0.612968561782091,-0.14664844612498634,True,232.61446422845702,101.03783386476476,1.2509994124422273e-05,212.40232326370412,80.23496795067133,91.36537348344744,0.03983746353580592,0.7801326591597476,0.7165696587746435,False,1.0,0.03983746353580592,91.36537348344744,hs-SNR,0.7145139514213562,0.03555525500242189,0.0,213.89081736329425,0.03555523729354003,0.3725657530425933,210.86130824406325,101.47988378951752,Detonation,0.01619873417140022,0.5773502691896258,0.4646496058739914,0.7148566489203528,1.252362274857037,False,108.15258236900627,3.3680704401784824
3,150.91369624006109,-0.018771277782492442,123.18838180385723,-141.34192787700144,446.6447140316365,0.12909481003575915,1.4174426940311582,1.1517744003058674,-847.3681502356976,-33377.54804047116,0.4470394869427009,0.5463230735587674,-0.10488012856073192,True,231.8183494494349,122.82582030283736,-1.9008453633811974e-06,2.0107156615593818,81.81070678841782,101.3652455030595,0.03972625586121773,0.7866627018547615,0.7164082478000263,False,1.0,0.03972625586121773,101.3652455030595,hs-SNR,0.7149438150200853,0.04876161422831902,0.0,212.44152916223905,0.04876159648123155,0.29909000063252905,3.790039286558379,122.07144519226672,Hybrid,0.01612719917856429,0.5773502691896258,0.4649165222649967,0.7151857089804003,1.2527939545950721,True,111.6081684873348,3.269048572631886
4,152.46553446666294,0.21334074799839395,-131.68149290292575,119.84622508519293,-856.2529427986564,0.13188376492002546,3.116332956558229,0.9586190115483264,523.7650122003097,-57245.59453663263,0.4403858231866031,0.9388530743976116,0.05816327178658257,True,236.03687143541055,-131.07907217675742,34.81546081101783,-3.8340056086886336,75.49700442709755,54.555859795350564,0.039668997130992964,0.7546724894451979,0.7163250173029039,False,1.0,0.039668997130992964,54.555859795350564,hs-SNR,0.6792018316476849,0.05099042247412391,0.0,225.02994075770437,0.05099039931624386,0.9999999999999998,-3.425691217845232,-130.28515242789854,Detonation,0.018568807074857068,0.5773502691896258,0.4560806625885241,0.6862270520366078,1.2089763927339965,False,96.97974520666502,3.129776030443849
5,626.6868110175568,-0.14437600164824255,-194.20076162475792,968.1790993224139,-699.3383994247482,0.19346254747453207,4.900673832335913,3.862537373278797,-103458.75121077678,14979.146173912595,0.5921718128692928,1.868924686963778,-0.5676162077333106,True,233.74005958210788,-192.4087915614922,1.7445517042817106e-05,-152.4336026763223,79.75837637414594,119.443599207765,0.039584422149097,0.7583485985759876,0.7162019267813344,False,1.0,0.039584422149097,119.443599207765,hs-SNR,0.7139434013034659,0.037871621770127706,0.0,215.51877320238737,0.03787161145355167,0.06905761440843386,-153.12829073556765,-189.7797777024686,Detonation,0.016144366882341787,0.5773502691896258,0.4648524174571585,0.7143179788473367,1.2513413156826518,False,105.65723455813337,3.557931489062901
6,762.9786762153873,-0.2284748137265324,-217.9163296514428,683.5710875283713,-594.031644260428,0.3687873192942593,6.185374278225898,0.8075175989170089,-107433.95883064877,93683.30660686355,0.5525417081807485,1.6809298360426426,0.3424314092381696,True,234.798406852479,-215.35188138137138,2.090315753845897e-07,-174.24371937739156,78.02677391139063,115.13018150752558,0.03946749024221129,0.7514299383175616,0.7160314414369815,False,1.0,0.03946749024221129,115.13018150752558,hs-SNR,0.7157314460475961,0.048537392441043464,0.0,217.71595992559804,0.048537386383955494,0.2510381926216424,-174.70825980297207,-211.58802293015106,Detonation,0.015983634850903077,0.5773502691896258,0.4654537776978211,0.7157807680918886,1.253548074197624,False,101.94432267167201,3.7235215819983054
7,167.22147119333619,-0.018377359991424067,117.03923589440315,-148.82883631209626,584.4510805510163,0.12910840153975678,2.1106251118409576,1.27946758765509,-829.789410392641,-39253.98629462576,0.452366832167584,0.7409008759027544,-0.06479591840269586,True,231.6077325500344,116.54501098998051,-2.298652978181196e-06,1.9305834571879,82.30370252847642,101.08769139611162,0.03926051479263691,0.7861679586161723,0.7157288083944345,False,1.0,0.03926051479263691,101.08769139611162,hs-SNR,0.7141416919857503,0.038164050128330684,0.0,211.86332889881484,0.03816403210696818,0.2856557148038172,3.6786861037603242,115.51936822269143,Detonation,0.016016984558124638,0.5773502691896258,0.4653287854475585,0.714404615558551,1.251254169527292,False,112.27672067048525,3.2152489956370114
8,166.16417355893012,-0.020499306260400647,133.28078375210788,-125.53628935088896,514.6531187258588,0.12911555824523233,1.904233087438982,0.9493648065113708,-473.1600145138908,-34540.57970409152,0.4386161279726668,0.6342857396116406,0.010787930473764293,True,231.00796656915557,132.3889488790668,2.3201935641165083e-06,2.0150232047282737,83.65031992732803,90.89952333804872,0.03914823318409332,0.7911138562904245,0.7155641684568316,False,1.0,0.03914823318409332,90.89952333804872,hs-SNR,0.7142666860853247,0.037402028443067024,0.0,210.6745043045053,0.037402009742372865,0.2535425767108572,3.9709940944373807,130.78600990266588,Detonation,0.015967439649754788,0.5773502691896258,0.46551451755632256,0.7144804364986891,1.251292030262758,False,115.19070701410665,3.1236014697052976
9,148.42583780209102,0.20230812862469927,-132.60711186575637,119.88759729795765,-932.6097623467723,0.13119975372036785,3.356423455654971,0.9425624348074046,341.96500350182123,-63482.90925397165,0.4393747935559025,0.9961996030483102,0.06502634359736713,True,238.81681578506826,-131.92792501052614,76.74255137803125,-8.410082488982617,69.31473028664432,58.74336061418314,0.03857385057153294,0.7365736465400716,0.7147167648840027,False,1.0,0.03857385057153294,58.74336061418314,hs-SNR,0.6629097929337424,0.05308760486198901,0.0,231.39528907981833,0.053087586683178506,0.9999999999999999,-3.450953748518425,-131.18423467459965,Detonation,0.019251991372214648,0.5773502691896258,0.4537012994057042,0.6733511663410946,1.1897412783428747,False,85.27171899509759,2.9916836422820205
