,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
5,352.7506152340326,0.0010446400767853028,115.47283597490879,-284.08583138612823,837.9042656937978,0.9920424027030722,0.12907507530063134,5.498223264166652,2.456198867422402,-8604.935014984447,-23563.153429544134,0.497417671228547,1.7839222939453965,-0.14523685177429985,909.8500003781733,True,True,True,35.01343028727983,104.00099285527979,-3.872563537414727e-05,102.93910117444143,154.18607663393018,0.17170392174446647,0.00014937692942557885,0.02162160707677012,0.5872428759554439,True,1.0,0.00014937692942557885,0.17170392174446647,noneSNR,,,,,,,,,,,0.09193950671638844,0.3886868274265693,0.0,34.48392946914003,0.3443199769425608,0.518170797298056,102.93889194882559,103.9955989988695,Deflagration,0.00014937272700425713,0.09193950671638844,0.091897592488422,0.5773502896425053,1.0000070333739473,True,154.20596300899413,64.0481212706982,,,,,,,,,,
1,441.89998878887747,-0.0005483280390799708,-71.17925307083692,389.91459734344176,77.90846940235167,0.997114145698602,0.12907454154183634,2.3398274786207134,5.47230434723384,-6067.371879709101,17229.828958412196,0.6256105887058017,1.4970075941941516,-3.0705326028283846,934.8881595320247,True,True,True,147.0717380063943,-69.10177822313385,-4.3600816249185446e-05,-46.90737801194335,132.8541860032887,23.45818695944283,0.0037812875172793118,0.2370516662210937,0.6253360312985774,True,1.0,0.0037812875172793118,23.45818695944283,hs-SNR,,,,,,,,,,,0.4267970732160662,0.061476938696979726,0.0,142.0231673564997,0.0614767632064545,-0.31858356508742475,-46.85846546090435,-68.92487723595931,Deflagration,0.003706000667296376,0.4267970732160662,0.4183664077465604,0.5773502627158302,1.0050404748551955,True,135.1914370024189,8.268852737188425,,,,,,,,,,
5,124.23944588735935,-0.00033665371168259086,145.57668337759947,-57.55029093699,99.5083906460909,0.9880239388251416,0.12907409584222096,0.42326862152983225,0.395324303452124,3634.742689671646,-5516.011643892739,0.409558201733246,0.17170453929114535,0.036767876487325886,932.1621836326427,True,True,True,83.7190485350511,122.06520631203614,3.3188289241279204e-05,51.357200393344115,153.5549258051027,17.905855436997882,0.0007599960526371135,0.16371180054021445,0.5994167402547528,True,1.0,0.0007599960526371135,17.905855436997882,hs-SNR,,,,,,,,,,,0.5383731184047709,0.12550320266634746,0.0,75.91839571479302,0.10779732563606813,-0.444618561187612,52.39994078554914,120.10978128318531,Deflagration,0.0007456104035503278,0.5383731184047709,0.5322251581251264,0.5773509497004233,1.0047889361848936,True,154.76306125543007,13.342509373045695,,,,,,,,,,
2,504.77375342200526,-0.0006078201704225986,-86.69990791831844,657.5745268297693,-753.9869858287642,0.9943101080747956,0.12907482484775887,6.006637121791193,7.577679492977017,-20707.621593579937,-20425.85497388788,0.7119386876315933,2.7646058626106345,-2.2608325948117667,809.2675692313048,True,True,True,204.68153159779175,-86.42616933729364,1.2631842934768969e-05,-49.045773080152024,110.22677978793236,132.04582187862215,0.012006520600080884,0.518228630937574,0.6596986460786044,True,1.0,0.012006520600080884,132.04582187862215,hs-SNR,,,,,,,,,,,0.624739073462385,0.03893710585000502,0.0,178.1775238106467,0.03893701629160362,-0.999999999999996,-50.49876046887393,-85.93803532206228,Hybrid,0.00792333334667531,0.5773502691896258,0.5002768918392846,0.6325800682464199,1.1095000104289905,True,123.4137538175147,4.5531387382696815,,,,,,,,,,
3,386.5743854899369,-0.0007173027109435,-146.59999374483817,536.052364079326,-404.0019756968471,0.9688672830719004,0.1290746638853768,2.2763836345786315,3.6539057564354644,-31497.420702601543,-10384.241406345856,0.5359608400913578,1.1780802013839022,-1.3371794281433116,573.6955880301466,True,True,True,63.28724175573781,-138.24929413734378,-2.866626425761867e-05,-134.86603835038235,147.59156761612095,0.6944843428181002,0.000543957304856647,0.04573562659615593,0.59607685801742,True,1.0,0.000543957304856647,0.6944843428181002,noneSNR,,,,,,,,,,,0.11798650827959987,0.2557382465146809,0.0,62.283910040787255,0.22179063998469967,0.4260262069271187,-134.8653341653162,-138.23137226250572,Deflagration,0.0005438702070436468,0.11798650827959987,0.11778841202268088,0.5773502869784636,1.0000400337165802,True,147.67737953452612,39.70198454249169,,,,,,,,,,
2,307.92860790375005,-6.761328665297706e-05,-77.94181263294138,211.63349763580987,-0.8029980788036823,0.9748978987823044,0.1290740990260873,1.03623984525137,2.714996579340368,-424.6423212804966,6224.0387951124585,0.4997698671601738,0.7115593912029038,-1.6492802220340623,341.2732700842996,True,True,True,79.20985384161995,-68.66062896573888,-5.043676120969436e-07,-58.77444014067947,146.34462542230304,2.0643261467094187,0.0008587745472944842,0.0775841898325765,0.6007770575113229,True,1.0,0.0008587745472944842,2.0643261467094187,noneSNR,,,,,,,,,,,0.2004464870588387,0.16164985992813408,0.0,77.73056037573394,0.16164753913869329,0.1489862488687698,-58.769401095184755,-68.60329092417979,Deflagration,0.0008581662415037175,0.2004464870588387,0.19988337037150805,0.5773502760427168,1.0001771638554746,True,146.58592175102638,22.822828840712443,,,,,,,,,,
1,361.7024100532897,0.0011195584097997444,56.4965443896839,-140.38101254428312,-8.217961874103025,0.9951500030972986,0.12907528692200226,8.62470304617368,2.4755008507084977,3843.5096163623407,27712.15450077731,0.4997658763187371,2.568759236661503,-0.04855704514354084,571.5469696887402,True,True,True,44.32162839643463,44.67841527992741,0.00016681757941842474,42.349067302492095,154.75107739789112,0.35309767624460164,0.00024424749290037607,0.02902818899668824,0.5899690590657494,True,1.0,0.00024424749290037607,0.35309767624460164,nonesym,,,,,,,,,,,0.1005968878821248,0.32038079777083955,0.0,43.770512687425686,0.277445957507834,0.4444542189818043,42.34855034610412,44.66897654795538,Deflagration,0.0002442342609119196,0.1005968878821248,0.10052164236332972,0.5773502936802091,1.000013544086308,True,154.78770655034688,53.27485201243566,,,,,,,,,,
0,505.3320720440948,0.0007386871228988488,-99.83597932840156,494.70954822299257,-114.72671984708131,0.9823118050220688,0.1290751750032595,5.85093729574242,4.962427124031495,-16835.184470491353,47082.075777808495,0.597040986819781,2.289805511274188,-0.923135851905326,523.7315098496135,True,True,True,44.19572531921155,-94.00306081339508,-0.00013950352418738943,-93.09063011026727,151.47134044658097,0.26785745702022723,0.0002449838918047331,0.027233775764682076,0.589987852449776,True,1.0,0.0002449838918047331,0.26785745702022723,h-SNR,,,,,,,,,,,0.09321960499527608,0.3699735663307901,0.0,43.463969140498506,0.32991033547287457,0.5171825534726054,-93.09054597910514,-93.99878806408348,Deflagration,0.00024497291345675434,0.09321960499527608,0.0931498741022858,0.577350272728769,1.0000112034462634,True,151.50375205099883,59.92002515973112,,,,,,,,,,
