,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,465.00157769311477,2.004145396796036e-08,225.31028615708118,-395.5742872163291,203.6187688342771,0.9128327550769256,0.12907409604048212,2.057470863102733,1.7556866916088592,-36739.725713953114,58569.53739076039,0.4305080517680197,0.8069821643771597,-0.24546775220275954,503.6827468907598,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,201.51592095241642,5.765101426700805e-07,-169.4083929906031,74.01195897784703,-152.25525120271493,0.9081836559407724,0.1290740960405499,0.9261793379982308,0.4368851868622255,1554.6354846926806,787.3024318986681,0.3734414676144313,0.3043590323099286,0.07755365645911586,367.56869869794605,True,False,True,8.867695924035075e-06,-110.62047085901969,-1.8280987262975217e-05,-110.43483169267664,308.2874401379176,0.001644165363529737,2.0817706290379377e-07,0.002606689578910655,0.5777226871766871,True,1.0,2.0817706290379377e-07,0.001644165363529737,noneSNR,,,,,,,,,,,,,,,,,
2,843.1362055253564,2.871794936864164e-09,467.33302122711416,417.7131776376284,700.5889615515757,0.9015772347363741,0.12907409604048126,2.4390466430994495,-0.8938233909735607,105429.3328109647,205279.8028005366,0.31500626619047417,0.46079109561260223,0.047185517104139485,973.9230395332106,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,680.2945155899473,3.1489112504234995e-08,157.32003828227926,-253.78766540415006,752.872259409022,0.9853373591715788,0.12907409604048486,10.754744104141482,1.6131931506249344,-12139.193067130342,147733.6512491515,0.4589773390531634,2.957551551139526,0.0685800453214849,908.5435240617699,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,380.4299161863121,3.3405070070315445e-07,-311.06588628875215,596.3722551326726,-27.764138013239176,0.8990123762963558,0.12907409604060027,0.49223211142170725,1.9171900763089682,-84931.7507606389,38992.89734909074,0.43097726296208905,0.4425897072402548,-1.73773716200662,638.5870133642858,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,629.2898560099575,9.305041651981708e-05,-688.2238659938405,649.8214547039138,-542.4097831951606,0.7533178282504532,0.1290741232063345,0.781891387493755,0.9444095763844419,-215738.0933607341,-2948.537799375674,0.3302608801212573,0.35287444293751236,-0.15610277675464784,788.3312969728722,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,191.20157075329254,6.364141491087053e-10,-295.82086550669675,-174.16252627400627,-405.9848213903207,0.8091089386538647,0.12907409604048145,0.9970290418071959,-0.5887432109348992,33584.208688599625,-32848.785276908166,0.28817188146242595,0.15113339196264908,0.04216123947171466,407.29647029480327,True,False,True,1.3398059405849637e-05,-199.79360766770156,-7.37122148071698e-05,-167.67491814999767,344.50919453542804,8.434526655137347,3.225596669210501e-05,0.044906836122081795,0.5819688475690032,True,1.0,3.225596669210501e-05,8.434526655137347,s-SNR,,,,,,,,,,,,,,,,,
7,136.63750566047113,1.841731239594798e-10,193.00471224830807,-118.03594106717799,67.49065937485511,0.8593735087390781,0.12907409604048148,0.17665153888365742,0.6115702548912862,-3566.9923705326455,-6445.6008002442795,0.35915133076674977,0.14609126053612873,-0.4002422334851291,324.3642516819901,True,False,True,197.26547886068323,183.72896768829605,-1.971735773043446e-06,12.879706719222042,115.85834811361451,152.37459470727748,0.010822897431349662,0.6473733022719769,0.655881169128858,True,1.0,0.010822897431349662,152.37459470727748,hs-SNR,0.6532994866063524,0.09918501082763044,0.0,166.38105793504354,0.09918497082453026,-0.30094195076126323,17.686052597314074,178.38676979976697,Detonation,0.006506106361519921,0.5773502691896258,0.5078664796392344,0.6538034849884574,1.1356790018261793,False,139.91274826836053,4.112882370020619
8,394.82276018938154,1.1515771060561794e-08,-133.88106484772004,345.30728770503265,-905.7174103272984,0.9903707506745397,0.12907409604048162,5.550468944911183,2.579209350159192,-15291.299199719073,-21771.030064409657,0.5017141421368635,1.8174854612543276,-0.1705546802833471,957.7535206573039,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,891.4428569606457,1.806466524897379e-10,-836.7233513615917,2.9003350974425075,-574.9871353366652,0.754329961231316,0.12907409604048126,0.911055280768296,0.0034663018120895317,6610.3652377335675,156730.07522398472,0.2914363817772976,0.2283415371607556,0.12907079897154752,961.4163639739213,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
