,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
9,338.81930158166665,2.448329081293079e-09,56.87354297613717,-181.23813204774456,173.92067825133694,0.9914402455155036,0.1290740960404815,4.345267860173835,3.1866861387162646,2669.926675995107,4163.7172510041555,0.5275555591524559,1.6174313214961695,-0.4551803661389871,431.8794444891201,True,False,True,101.1259948238246,48.9189653075354,-6.331201115042091e-06,32.6749916304272,145.23834782765638,5.439306867727538,0.0014188857789277365,0.12200060521753345,0.6072771992080552,True,1.0,0.0014188857789277365,5.439306867727538,hs-SNR,0.2892499800018292,0.11430483486406412,0.0,99.12305222976454,0.1143042183471739,0.049323130874118826,32.667874389437145,48.80333255208919,Deflagration,0.0014152780043854279,0.2892499800018292,0.2877486980889264,0.5773502683095681,1.0006366824836452,True,145.86144770855714,14.786500233120535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,144.88034690816366,3.4482732337651907e-09,150.0743768979604,-75.33272020350739,232.4892448925541,0.9839396997977274,0.12907409604048148,0.9028311462202214,0.5019692347608202,2170.9985220999897,-14556.827859480718,0.41198824792352895,0.3093693256818587,0.05930105107485582,827.2446537972799,True,False,True,170.7126819237601,140.63803232125548,2.0318160685746773e-05,14.023455812523293,130.5667723961496,41.5914489327308,0.004945305334976613,0.4705631537128155,0.6318564947695905,True,1.0,0.004945305334976613,41.5914489327308,hs-SNR,0.5957136561375056,0.05386449799671391,0.0,148.50427332362815,0.0538644292569712,0.06197843232954574,16.61853166968129,136.93203386724917,Hybrid,0.0039025596080591077,0.5773502691896258,0.5241487470612927,0.6049365349990727,1.060989024867819,True,141.03783219082715,4.8343057484324365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,323.4078415251556,9.376077873047285e-07,-110.15439793528607,309.81552295009146,41.37737602326399,0.9934344640339472,0.12907409604112652,0.6096076631991109,2.8125600746634,-9239.99849437744,11954.967273650063,0.512956541626219,0.6211619282436777,-3.1150182321613054,956.5440837455336,True,False,True,51.69527784684738,-101.52372944883714,-2.455244716289965e-05,-98.83766035369587,148.21342166869428,0.4331314212685413,0.0003558717073115973,0.034811435807676344,0.5925463597792575,True,1.0,0.0003558717073115973,0.4331314212685413,noneSNR,0.10417027043719083,0.316514548546856,0.0,50.824876631433604,0.2776386957777611,0.4551742955453789,-98.8372644661555,-101.51047001726305,Deflagration,0.00035584264268050656,0.10417027043719083,0.10405657254336777,0.5773502763302931,1.000020418955892,True,148.26193043402833,50.03109223252098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,322.60538663866305,1.5670016988237326e-10,122.66286890858193,-280.29646133019304,402.51473183421206,0.9724235722484266,0.1290740960404815,2.7978176492735427,2.2850962460596835,-9367.22999929425,-7277.145494347133,0.4806527744842354,1.0803037866616665,-0.33750964067229794,511.4456631848385,True,False,True,33.358752214335084,110.62271816404963,9.659788481290937e-05,109.673535513901,153.09669081619646,0.1541645296076979,0.00013589688425550979,0.02096277436485331,0.5867897904796485,True,1.0,0.00013589688425550979,0.1541645296076979,h-SNR,0.08896728579156073,0.3970283726669514,0.0,32.83092167263672,0.35847712318949965,0.5157875087765983,109.67337862464998,110.6186333208746,Deflagration,0.0001358939136418262,0.08896728579156073,0.08893042744340107,0.5773502661284398,1.0000054649050367,True,153.1149347623367,65.8620231675596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,111.75923857492715,1.254401951650577e-07,149.89567181587194,-70.07265220473153,172.64412253668178,0.9259986858822442,0.12907409604048106,0.5385451338867445,0.4674761650190212,2571.9605314946284,-13778.190664026724,0.3828850950386874,0.21254897764152295,0.027627647493213826,367.6645471051958,True,False,True,179.9572463726379,130.03345822541402,-2.1262400851208323e-06,10.067939223302998,125.58528773194095,22.86359469242119,0.005190242236845317,0.4128316052184251,0.6331159173972932,True,1.0,0.005190242236845317,22.86359469242119,hs-SNR,0.5481746444287301,0.08314975637567426,0.0,171.25562143330697,0.08314970279580698,0.42830698786281707,10.815885122009348,126.82872897647431,Deflagration,0.004650911498250086,0.5481746444287301,0.512345359932003,0.5812358416155516,1.027808933170722,True,132.44683723990428,6.491770305356003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,307.69344483595,3.181217539669716e-08,-111.44234183772042,270.47416129188457,-74.03744465089983,0.9631236159905862,0.12907409604048214,1.182407015925652,2.427032374258017,-7247.382351489731,6433.8769983855445,0.4820666537794309,0.7001071496910826,-1.1163697457074282,398.9185883350541,True,False,True,41.33377416051205,-99.94989614892056,2.1485455298372024e-05,-98.21337048697336,150.54246120307698,0.2486751655084163,0.00021661074894022557,0.02628561426394961,0.5892415385038251,True,1.0,0.00021661074894022557,0.2486751655084163,noneSNR,0.08818501124499653,0.37295957838122396,0.0,40.70961053741629,0.32863962290680543,0.4984036398685217,-98.21315506076478,-99.94311444911074,Deflagration,0.0002166032075969104,0.08818501124499653,0.08812679555062353,0.5773502688139974,1.0000087039856658,True,150.5704898284711,60.41538760546784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23.27587140726843,7.942995711487882e-09,111.7843716328432,98.89687010903653,734.424832893191,0.989109176776261,0.12907409604048145,4.3795752448592165,-0.8847110573427664,13351.316318035671,-27371.159609520986,0.3567598101054555,0.9474419683243428,0.08439432624412323,751.2174302624617,True,False,True,306.0631561948687,-52.82867808476433,4.0650816869694525e-07,47.46485609534728,197.80801395172227,18.908848844794164,0.006282432842697389,0.2699689702323137,0.6383610172343074,True,1.0,0.006282432842697389,18.908848844794164,hs-SNR,0.35327893841669505,0.06463265449639102,0.0,297.6989106349812,0.06219284362566989,-0.041327479422427565,47.59834330789302,-50.82112503236879,Deflagration,0.0061701016914164925,0.35327893841669505,0.34420376902150257,0.577349846961424,1.0045206829513047,True,201.87592629128963,10.049709646573076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,481.06803908197617,5.005424909042894e-10,59.77783875956778,-424.59606864723503,723.6505314758177,0.9975189466899896,0.1290740960404815,8.31360986341667,7.1029009582682825,-4866.9636278824855,-13550.4946051788,0.6937537487782058,3.2622192922322144,-1.3880527252749704,847.0281833620462,True,False,True,176.01308321489932,59.01981235421089,1.4988073888877872e-06,33.758447123197435,125.10714061114255,135.93593659817088,0.00599427498222505,0.3452701763755762,0.6370306664775321,True,1.0,0.00599427498222505,135.93593659817088,hs-SNR,0.5097711708767234,0.048129692081131714,0.0,167.53671771839663,0.04812959438343671,-0.30794698209470395,33.897617784383804,58.824636006409435,Deflagration,0.0055809037384852295,0.5097711708767234,0.4845517768921926,0.5775405462053971,1.0180240372984788,True,130.74602605665808,6.2319699059451725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,277.3797206209616,5.001618251864585e-10,-144.8750745777109,330.5583882724949,-114.57411622421637,0.926979334929578,0.12907409604048148,0.580955464498036,2.2816788143891498,-16121.08151761316,-4405.3829698911295,0.4589311523784863,0.5255186685227007,-2.111225948529406,358.0158914756738,True,False,True,57.38045324601933,-133.34547541412826,-4.36821944635585e-05,-127.98550370315618,148.53194591823268,0.7253930682176133,0.0004233517201626908,0.0446547796303638,0.5939040079558995,True,1.0,0.0004233517201626908,0.7253930682176133,noneSNR,0.1250315779904986,0.2468338075560897,0.0,56.43913343702915,0.21310881346642055,0.3471054348515798,-127.98470575886749,-133.32517730736106,Deflagration,0.0004232971762450077,0.1250315779904986,0.1248675966564734,0.5773501718307619,1.0000322121699292,True,148.61160228756074,39.146452324447544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,97.29095350401285,7.229740077133314e-05,-107.5979020795204,88.75057617902313,-494.08373913066595,0.9814538640291934,0.1290740957739388,1.6251372441848961,0.8248186916888879,3048.9684669180956,-34348.16983313547,0.4242188970905419,0.5437540929943719,0.024417415762184896,550.8774445474933,True,False,True,183.9792611245674,-82.52868495733864,-4.7067839155509856e-07,-6.461415536322557,119.12194506271014,2.9636649803878896,0.004849982146874306,0.19031145513363648,0.6313569626107891,True,1.0,0.004849982146874306,2.9636649803878896,hs-SNR,0.16557096596626375,0.5009090213446615,0.0,182.9643821809996,0.4291128977513281,0.8221038961365406,-6.472911524047397,-82.19091434238959,Deflagration,0.004836924788086089,0.16557096596626375,0.16302618824452586,0.5773502708232503,1.0006741970325812,True,120.26799363066523,20.181862744234206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
