,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type
0,742.3640199489989,1.2784953692449544e-09,488.3084291473551,-402.7906223707598,225.7931929119386,0.8725481216042853,0.12907409604048126,1.334398366892572,0.8248692743098849,-90519.27467146624,207924.06184317838,0.37374313915735435,0.47107780410812383,0.0015991724003630858,872.1556431312117,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
1,354.3883543059759,3.520010071569486e-05,100.99323980607483,207.35270810400857,202.9098264055874,0.9939675510818402,0.12907409716418483,10.211563291930323,-2.0532901759988897,18293.571247116794,83656.97520750071,0.31047764631178987,2.2106757936494326,0.02585776225233931,915.2898393337825,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
2,439.78600138603736,6.422392438586916e-09,-493.64420905513737,419.71099007378285,-431.8202841148266,0.7132486184294404,0.12907409604048162,0.781356724349469,0.8502297545722343,-95770.19466880418,-22760.97747948992,0.3116456676290371,0.33704414018273965,-0.10221931100155024,502.3333721119114,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
3,415.474658455237,1.2402881053181256e-09,-206.2209769928968,-184.05205672304362,-86.98713924893275,0.9670133121490732,0.1290740960404815,2.5584507111554777,-0.8924991948738703,26801.451609026804,90864.89438713975,0.34562974994761986,0.4908628119765577,0.05123843465981362,782.874753231571,True,False,True,1.967444666443786e-05,0.44508219457575227,0.00027422528864196494,2.6912977332305426,661.1916409587164,1.3648323665829594,2.1864096036068682e-08,0.016765166961864548,0.5774709879370578,True,4.4726459876224915e-06,-109.77251903921666,-1.6466153541814403e-05,-16.787956268605924,441.7830674342109,56.03636102408268,0.00011858113093895434,0.0798374979112107,0.5861727874167061,True,2.0,0.00011858113093895434,56.03636102408268,s-sym
4,464.1768905441376,1.4723757120346337e-07,219.90239817186693,108.02187404177505,-645.9383059273569,0.9678584050913371,0.12907409604051728,0.9130466429195875,-0.49122699177397366,19700.87548966842,186195.62168103078,0.36275821168490663,0.1463904954342346,0.0630030033645434,846.2743090731087,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
5,552.098788257872,1.3405196961416396e-09,166.2559094861415,-341.36884169911923,518.6856215162393,0.9769528843465396,0.12907409604048126,5.948017179697539,2.0532734215568693,-20553.53970434054,78174.7560424648,0.4732008237221095,1.8292165318505296,-0.048124944257441876,760.9292179230752,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
6,887.7892646534716,2.326499700160498e-09,-756.0925642508129,28.62641189296346,-122.75087020315482,0.7880114501321581,0.12907409604048126,0.769521013744635,0.037860998172069775,-2998.3517769678056,347105.64874742774,0.30585658290766704,0.19869041979817037,0.1286083988220226,967.7566075444438,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
7,649.5798259089181,2.095037277455451e-09,894.9888863595509,376.78717785632944,268.9360761686862,0.7441204441055266,0.12907409604048126,0.4216002975899882,-0.4209964917513197,176433.9208549021,97009.19192961672,0.2699258182766307,0.03523399243894376,0.023975708373256854,996.9074659492335,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
8,77.63513207675474,4.154952820616185e-08,164.3136995312541,132.18146829571992,269.7195118160311,0.896468511056365,0.12907409604048134,1.3838728001345513,-0.8044458073139845,18683.367215957427,-6955.440065479179,0.31643390245647224,0.2118938988146404,0.012167929367841918,332.42965989572934,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
9,312.3661628698669,8.674619498368224e-07,-417.00884553418126,-98.0734321542651,-336.09613886402025,0.8044158530498965,0.12907409604099004,0.7040268242446494,-0.23518240571949356,28272.558596034927,-17727.3276517918,0.3010104791870911,0.13680963844124674,0.10943323788926003,564.6648395939079,True,False,True,9.91913697611369e-06,-339.91196233340236,5.789685645609375e-06,-337.9250665868527,499.96053073659925,0.012393459343968516,2.629632500997736e-06,0.001955128611314189,0.5786727925256746,True,,,,,,,,,,,,,,
