,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1
0,166.06860674921384,1.3189129072559735e-06,219.3088034814191,-197.585174443033,114.29152111365465,0.8431763929550081,0.12907409604065265,0.26341686293203226,0.9009447290290512,-13842.337055130454,-12395.755602612473,0.3643145010511015,0.21601167057118326,-0.6412841450096446,343.94209728151213,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,392.0427358392769,2.3515721182499248e-07,146.44618633788411,242.69459396328432,287.9344093804996,0.9379848568817468,0.12907409604054454,5.737311840108384,-1.6572280363886485,25594.593260321413,80878.25168977375,0.29994125968435653,1.1581232872956546,0.009401118471458234,396.232257514709,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,423.136282720779,1.438506558023495e-07,-375.3184169155918,314.5183035822515,-915.9764701167709,0.9255922643704259,0.12907409604050935,1.7656387962577162,0.8380041715967325,-51198.48392988973,-95068.0393015376,0.3981356303811218,0.5810770609972178,0.029641104266943927,917.75842858376,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,265.569367990404,1.464654906417127e-05,86.91458170188082,105.16953463541108,-713.7013684166061,0.9944279872201972,0.12907409613759402,2.989668615022002,-1.210070823411351,12393.995231352726,84614.30621452452,0.34584066778043737,0.5457386831869421,0.006629806633901891,819.8808658998871,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,329.95206317759227,5.786774312934198e-10,-642.9983964179696,241.50762266107483,-261.19682280243,0.7162818142058749,0.1290740960404815,0.3210015693448703,0.3755959956130229,-69820.75292644999,-35232.02232773069,0.2929532724233751,0.14284972493838805,0.019205200221333762,660.0182242578827,True,False,True,-4.34820248321772e-06,-569.7816064767734,-5.510779077586353e-06,-566.7352482437321,611.4437021551018,0.13859063988604703,1.8890138086527462e-06,0.0028584529450159614,0.5784713823605493,True,1.0,1.8890138086527462e-06,0.13859063988604703,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,688.2197497697078,5.863773167115861e-07,-694.2641447306297,444.86792186139996,-490.1441769745109,0.7954600494324903,0.1290740960417803,0.8241819008069446,0.6407777444061868,-146603.790935502,56968.42346771743,0.3339267751773431,0.31284176593610064,0.004527525277404201,911.3100572013693,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,784.5589779416874,7.568168188994755e-05,-626.3372662663786,-405.9738515338199,-380.10523782958023,0.8424390573710904,0.12907412438334048,1.1129935745694737,-0.6478769013706398,135019.78156825504,198560.41376488135,0.29946956455937657,0.17026891008059514,0.03479135202052909,979.3228662702898,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,285.80692546035885,2.64981803952774e-05,273.1955645769267,-187.41366101509527,562.480670196888,0.9522274832709481,0.12907409642297185,1.4373923483752762,0.6859794876720274,-17777.507273391122,-46387.06118751159,0.40430530375069484,0.47367800170582364,0.04723007901904715,851.8440304512587,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,349.9541964437694,8.089079621615454e-10,277.74226636540016,-269.378285123583,263.89091231811085,0.9019423782667946,0.1290740960404815,1.0783342213843945,0.9698858164360921,-29585.113708663543,9889.8683098193,0.39282545237887845,0.43123119141878063,-0.08901192920784931,580.0713452741504,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,209.61672239883595,6.717323395344297e-05,33.29064667330391,-25.99240614262328,-257.25960308086394,0.9973867454546392,0.1290740970935215,5.283835020791564,0.7805401708637973,7390.973622371252,14413.21202723046,0.4302561175803118,1.4510487836751906,0.10024830314202827,459.58292501362524,True,False,True,198.10168342399103,28.02266575377359,4.271527261721641e-06,-76.92449622734951,116.0113864378518,33.372973567746214,0.008644655444807772,0.5308348223503231,0.6481529281526841,True,1.0,0.008644655444807772,33.372973567746214,hs-SNR,0.5981701754147896,0.06900706875240038,0.0,181.8592502675524,0.06900702735147383,0.43397634886970166,-75.548766299045,25.756584758419613,Hybrid,0.006449168287560531,0.5773502691896258,0.5081863412757303,0.6108785495917649,1.0759968367115438,True,127.97131708125627,4.058593679368217,,,,,,,,,,
