,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
0,475.297607578431,2.768182943166219e-06,316.99839488044415,-115.86997719818498,223.65130563264722,0.9078530222937581,0.12907409605377196,1.4216971507489717,0.36551482587703554,-10541.919048916541,71966.14727945115,0.3703175918724837,0.4163434253334155,0.10558085632519536,686.3720686417638,True,False,True,-3.1774326509310187e-06,174.7117735056973,2.7009890872767915e-05,162.28471048708138,701.8904932563116,3.2232289063190365,8.10586894848281e-06,0.01413349276668639,0.5796702163108647,True,1.0,8.10586894848281e-06,3.2232289063190365,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,465.1191763946895,7.317087415863834e-06,90.54031347994464,-249.9007003843384,269.3798061239879,0.9930352900337627,0.12907409612911397,9.580577498886232,2.7600383332352347,-3489.559833244026,54145.51878779154,0.5105698990078784,2.855150763594097,-0.0697085869036553,763.1284842746945,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,860.6074032279115,4.1602921069721736e-10,271.40712564994055,444.6504133485055,127.50015535704142,0.9600205573072893,0.12907409604048126,5.599252392586348,-1.6383151824359818,68164.39918673715,377846.71502916515,0.3111852649439678,1.12676056774059,0.00923324726243377,930.7929761382318,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,75.33642041049065,2.2960758136841882e-07,114.49881514664588,-81.60152537625254,279.35831626675247,0.9440348179931739,0.12907409604047712,0.612597791660805,0.7126845336488691,3152.1155975425845,-23955.049770322657,0.40153415323020286,0.27193020352334607,-0.07820678687182228,327.7011950205424,True,False,True,-5.911262972360839e-05,291.068511664574,-3.249989827706751e-05,289.3454662294939,321.68017593493573,0.007089980086391279,3.911865018664427e-06,0.0006682160886203869,0.5789629115805063,True,1.0,3.911865018664427e-06,0.007089980086391279,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,73.49830726963697,1.0333339654073188e-09,-299.7063554474564,-115.2432834591092,-336.0011811583986,0.8417168234517106,0.12907409604048145,0.6554905948426445,-0.38452065299067384,25093.326281219925,-41822.96812391782,0.31013863877811576,0.09978587321221548,0.07268269479853526,467.2326179856747,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,399.22923103851696,4.736208513117102e-09,141.3883026295971,-325.6451849010235,363.8527550881221,0.9661949130368845,0.1290740960404815,3.5272733533453646,2.3031974787125185,-15197.456121804404,19067.97049883871,0.47838824403992736,1.2656845847884275,-0.24690460581690069,529.8755917578201,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,286.84684287530234,3.714021443421969e-09,131.80747223676076,54.42504747239548,542.0078323537707,0.9734740289506659,0.1290740960404815,4.784264042836232,-0.41291322528230634,11410.567950605076,11677.340109301604,0.36874673347258197,1.1272471398286736,0.12016481918585573,560.8065115094516,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,297.64964180266264,1.6165444202605978e-05,-249.96188942970912,-188.41772611904162,-804.4970379122143,0.9556978016169954,0.12907409619772814,2.501034959708759,-0.7537666514301293,31372.97809695183,-44825.98821395886,0.3459711582052416,0.49963096468883483,0.0722811910643317,811.5791351519199,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,568.0038696300143,5.342247559390057e-05,-578.4889657521394,-344.41540465904876,-236.49911774612735,0.819789601435655,0.12907410326740149,0.7134099717237562,-0.5952555949017567,107463.27702709321,101933.63831487157,0.2922499647470453,0.0791432271139796,0.00490664090151019,828.1270517777332,True,False,True,-3.763492090918125e-06,-311.06659022721544,1.8075047881698923e-05,-252.83989627610765,981.6258846147713,18.499100436585877,2.2442456139027303e-05,0.030270475879041997,0.5812053182088261,True,2.0,2.2442456139027303e-05,18.499100436585877,s-SNR,1.0076068226331189e-05,-460.87034296722413,-0.00011214960176298491,-453.8101410307462,814.7108250673182,0.34153153799741176,7.296918985477106e-06,0.0027473528368370287,0.5795516390109652,True,,,,,,,,,,,,,,,,,,,,
9,374.8968032418089,3.051483181331209e-10,-443.1463544243504,399.9176356015889,-380.79157470175824,0.883961305946158,0.1290740960404815,0.7178560062215565,0.9024504698360644,-80787.2670591243,-27774.7749701637,0.3819875304446628,0.3298724131947332,-0.15455411193190352,837.8051587367563,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
