,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type
0,262.354759040341,2.1466323658957326e-05,72.85433231789784,167.48624774897382,-345.3805148033196,0.9863135965300528,0.12907409624263352,10.676966045281054,-2.298983182397058,13924.634525041321,81831.24424697601,0.2964511917751948,2.2860776475874203,0.005318816640510884,435.8146503073875,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
1,412.4386681344962,6.387191641504912e-10,-300.7760699329764,48.89355167790825,-308.12290803474076,0.8133280894454339,0.1290740960404815,1.4251446706233148,0.16255798571181482,470.74895088928224,36251.48856147725,0.3211874246072165,0.38337916527446453,0.12443858442131286,420.46647227457356,True,False,True,8.216445363701942e-05,-107.33536204338712,1.5635990678930345e-05,-111.16274988108728,875.9626354832576,1.5196610378906144,-4.994642516267889e-07,,,False,8.411507557848259e-06,-149.4422406904307,2.170445878067041e-05,-143.33674857436284,682.9321239579389,1.2675886200494233,2.797233329122946e-06,0.00509280541377627,0.5787142381924892,True,2.0,2.797233329122946e-06,1.2675886200494233,noneSNR
2,417.7742585412141,2.451283622802316e-07,-567.8914214614281,215.17936539261325,-200.08000462848037,0.7481665235039086,0.12907409604056025,0.4289531607163769,0.3789096215524689,-53275.458871843824,24713.97046625435,0.30476471755335766,0.17038989377117236,0.045398001274606845,640.3471044691943,True,False,True,-1.5608671663842237e-06,-471.04411330509834,-0.00014019243330172585,-464.80388961491786,750.6202613964966,0.04369706371778648,3.524426758384014e-06,0.0036835363396881308,0.578881079336866,True,,,,,,,,,,,,,,
3,444.9356748353587,4.063821216875447e-06,607.0411956773637,-228.13827621291017,137.11997916665723,0.7556404801674494,0.12907409606531842,0.36610025946131264,0.37581513153775253,-61421.8253526239,51669.958009025606,0.3074456275757324,0.15416092012162025,0.03262714646430118,700.3271374781539,True,False,True,3.773285729533367e-05,511.30562810614424,0.00010478993765554674,504.53053261443273,800.9402661804513,0.04621234147907671,3.5656188245562447e-06,0.003814342341850898,0.5788899871516615,True,,,,,,,,,,,,,,
4,411.55588238667525,5.069310281948025e-10,801.4554272583941,-248.0176601031834,427.5656439824511,0.7326273895650703,0.1290740960404815,0.3912891957538278,0.3094590807564475,-91563.79594965628,-91337.7030146419,0.2961183812824019,0.14939881239786487,0.06788858178284138,862.6834753493602,True,False,True,-1.451271164007033e-05,708.0991568738066,-2.8746430915423575e-05,702.5446539197391,731.6621106766015,0.39754194163504053,3.3790766501875096e-06,0.0024833101078387656,0.5788492226663491,True,,,,,,,,,,,1.0,3.3790766501875096e-06,0.39754194163504053,noneSNR
5,612.3877614428789,2.017967559274653e-06,-207.87320849581795,122.06349378483264,-13.69354524752157,0.9756388198482792,0.12907409605255288,4.166376443036121,0.5872158333389155,-4862.80484326541,177188.3290459963,0.4114736330262105,1.1394634163155162,0.10838330876782075,924.4526129332598,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
6,266.2983638836217,2.724460744435233e-06,432.40994213940786,-276.99569701819934,266.87969539639397,0.7101801104269037,0.1290740960438654,0.4463133520603133,0.6405844510814861,-52064.22483898584,-31950.53876142939,0.3018184960405637,0.218342413195326,-0.10078035323099949,436.19346731512854,True,False,True,-0.00013474812496458817,359.81099251693365,3.580286943289105e-06,357.80965902856155,475.8271587730706,0.05627857431858274,1.3546442561115457e-06,0.0026364611755174266,0.5782998004868984,True,,,,,,,,,,,,,,
7,115.14009512975596,6.126938699188121e-06,-618.6427297458737,-256.2286062868229,-825.3499823324187,0.8014564853877988,0.1290740960397413,0.7007841957165852,-0.4141787391186258,87080.71786634304,-242393.46356791895,0.2923642069612121,0.106166259076042,0.06787692971292268,829.0488481841953,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
8,266.0294233705507,4.616263886756995e-05,489.77824422556614,206.4891570912498,500.0473180863662,0.7790452508695608,0.12907409700946643,0.6846290974499938,-0.4216183453109843,58388.17138756094,-80682.24113821592,0.28319897508778996,0.10088755014400107,0.06416229667667515,608.5790623978585,True,False,True,8.406106950227792e-05,420.2210874300319,5.909282170326615e-06,419.7476785402264,417.5347041141241,0.049540942393150544,9.026712644961429e-07,0.0006843635901084676,0.5781254932042835,True,,,,,,,,,,,1.0,9.026712644961429e-07,0.049540942393150544,noneSNR
9,827.3087276804913,8.967039572853391e-05,-271.9655169733984,-162.30061189036576,97.25841328400293,0.961581287523063,0.12907414039963916,4.570222313768642,-0.595873431806511,29926.965138287786,364515.6806783036,0.3553701355819197,1.043243339807742,0.10965139012865294,952.6322672769716,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,
