,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type
0,200.99291625502997,8.070827596565043e-09,-205.296664347575,28.269634512801645,-107.87275005626802,0.7781821161103503,0.12907409604048145,0.6924705114287436,0.13770138649844585,4921.923299383683,7039.445384286799,0.3061679391615818,0.19606785894026021,0.12222843563666455,254.37635552601336,True,False,True,5.796831347863606e-06,-144.62942085788498,4.040785560914062e-05,-144.4892296107956,340.3590417929396,0.007902647193134271,1.8675007797926666e-07,0.0028111508697811604,0.5777030070019191,True,,,,
1,318.48255957749745,2.1290244435338372e-05,-692.7033891250695,618.4834927365382,-33.23351966470693,0.8110045027710978,0.1290740963612263,0.10148442899461366,0.8928654321902644,-206386.4824015817,25675.436804960555,0.3506733323126999,0.17418201261369748,-1.8347953560712742,960.2516989097398,True,False,True,,,,,,,,,,,,,,
2,160.4689415630553,5.6134637680216233e-08,642.7945083766608,-1.715033768850958,451.3614179084773,0.7476393150400901,0.12907409604048173,0.38215596849075417,0.0026680866793764597,7272.546165520564,-132231.61106704822,0.28889083655902886,0.09598367323591796,0.12906943911561622,723.6482845378564,True,False,True,-1.208030146542723e-05,77.41419333044877,1.2638334118897063e-06,78.57675480745934,628.4765032193131,0.045564276719119334,9.3723826121833e-07,0.0015456575624541958,0.5781401869387365,True,1.0,9.3723826121833e-07,0.045564276719119334,noneSNR
3,372.91961454974455,3.720005541637258e-08,259.1410687425364,-290.91485705856894,269.9965924025464,0.824016747009942,0.12907409604048295,1.303070210190349,1.1226118647329906,-29870.241851930165,17539.291050904052,0.3655649241344046,0.5128695300030857,-0.11271206962114844,376.8965850364863,True,False,True,,,,,,,,,,,,,,
4,496.7218540795938,1.0610580396344538e-06,438.2154282486897,-33.00566109882914,279.1267048798886,0.7884867488884914,0.1290740960426274,0.9549608519721674,0.07531607299637337,591.7408805681898,61066.07218857154,0.30760453793475845,0.25129289182577075,0.12758908468329255,561.7853491944056,True,False,True,-5.710809856603144e-06,302.26064278960087,-1.283451260601656e-05,292.55839896523287,768.2502414616913,0.9083845736557805,7.265769491426319e-06,0.008184376281087681,0.5795469443201312,True,,,,
5,399.4003870477721,1.489051951061957e-10,-134.2401486318634,-67.9159979939484,333.15894154787907,0.9747167278227331,0.1290740960404815,3.6106452011948407,-0.505929102426599,12382.280888435042,109788.63983795702,0.36547632553890663,0.8183397832276104,0.11135120702624937,585.5875047778861,True,False,True,,,,,,,,,,,,,,
6,590.5379091600054,3.861938016122199e-06,-388.3598118804731,-96.70764429835242,-546.515366850197,0.8950105305979905,0.12907409608146037,1.8847433828299245,-0.24900212758558316,26603.449891072527,72019.10129156902,0.3389244037737319,0.4296854911098839,0.12084989164771784,779.2624381486849,True,False,True,3.2449076204634763e-06,-193.0367660821147,-1.8021015120642039e-06,-182.53700885327177,848.1595612668821,0.4963169589619838,5.3563938863109e-06,0.009329384499786524,0.5792368644146464,True,1.0,5.3563938863109e-06,0.4963169589619838,s-SNR
7,694.1566691918655,5.130523396777776e-07,483.6906610578801,183.99923015358627,-127.33473284823015,0.8989520855578733,0.12907409604149367,0.9228032701349806,-0.380408836652986,52322.87372620626,277486.5270858156,0.3352168747711618,0.16729934475824748,0.08986994286849098,992.6212446697173,True,False,True,,,,,,,,,,,,,,
8,301.616935136781,5.542295610199831e-07,899.3447989446506,-266.0378918641983,262.8005312078551,0.7135257136989547,0.12907409604067235,0.1968023641635031,0.29581282129946185,-111806.21938489388,-77170.39836860201,0.2886438001806246,0.09850272792411942,0.017915338348554202,915.8992849965196,True,False,True,1.6138034517705328e-05,843.0096446496817,-2.1780044118199885e-05,841.1703402822912,564.4097123060357,0.2145033579081428,1.1511783858257603e-06,0.0030011209098351173,0.5782256478298471,True,1.0,1.1511783858257603e-06,0.2145033579081428,noneSNR
9,122.77830827498218,1.2479523039964504e-05,371.6341850922321,113.13955298522558,231.01343886609322,0.8262093463998593,0.12907409603974535,0.39878395140733164,-0.3044378813344371,28847.022234563952,-30775.652581834554,0.307009089229302,0.04895634096276006,0.07097094064424912,545.0260632925458,True,False,True,,,,,,,,,,,,,,
10,295.22368796220593,4.426495526076107e-09,-178.96290809412207,-37.75328910696908,223.69265209814557,0.9095875822769776,0.1290740960404815,0.8354922306108943,-0.21095593619558722,11201.973369395964,66791.60104727668,0.3470860917156208,0.17371373495345904,0.11575787196751273,391.76327235719975,True,False,True,,,,,,,,,,,,,,
11,277.50042436527303,1.6760884800566078e-07,-448.38813970516236,98.92915932013238,-0.8872388369779856,0.7209986462429246,0.1290740960404957,0.1758688571788618,0.22063295687827586,-14355.567440001894,34960.94752914304,0.2881913317732854,0.0807393737744281,0.05987636762837578,466.5467261330381,True,False,True,0.00012205737946953639,-399.2391418904848,4.615490581541162e-06,-397.97621031614113,518.2200324817128,0.00025036251815890864,8.582089801377679e-07,0.0017279423467324263,0.5781061724565557,True,1.0,8.582089801377679e-07,0.00025036251815890864,noneSNR
12,524.1711683028869,2.1163620110677625e-07,-489.2915999860287,-207.55251494755362,-258.29278709758324,0.8322964429890317,0.12907409604057718,0.864622132095335,-0.424189363196717,58600.65960035489,80615.48217848701,0.3045433153855509,0.14545730582438093,0.07704656598731105,734.643756869572,True,False,True,2.715803389594252e-06,-370.522623866981,-2.757681840228693e-06,-363.14363648418737,751.2257419598297,0.6058231711473354,7.898725997708954e-06,0.0039323150095162095,0.5796404412390637,True,,,,
13,909.6081320984387,3.480136132888063e-10,382.9100195283893,100.41599023512094,-301.9907939257697,0.9258169574180585,0.12907409604048126,2.4543007188235375,-0.26224435575288574,27048.89822126581,475485.07594511315,0.352395941436655,0.5698677870804034,0.12206883160845886,937.9118816258863,True,False,True,,,,,,,,,,,,,,
