mH	α	s0	μ3	lS	μϕ2	μS2	lϕ	lϕS	μϕS	gψ	mψ	Tn	Tp	vT	Tcrit	vcTcrit	αGW	βH	αGWHT	βHHT	αGWLT	βHLT
474.73363206602306	0.107207	59.8689	446.205	8.8668222008663	736.1288636641622	50942.36745285472	0.14896299553232545	7.654850404954809	-367.6660695226444	0.19479867566048678	230.16008008681735	74.10008993845288	71.23697994729262	3.229417396539023	100.63896510762095	2.0956000853376953	0.1295696941337056	252.16720561821114	0.11067972244003216	272.25672170619345	0.11135694430372318	25.880979133611365
474.73363206602306	0.107207	59.8689	446.205	8.8668222008663	736.1288636641622	50942.36745285472	0.14896299553232545	7.654850404954809	-367.6660695226444	0.19479867566048678	230.16008008681735	74.10008993845288	71.23697994729262	3.229417396539023	100.63896510762095	2.0956000853376953	0.1295696941337056	252.16720561821114	0.11067972244003216	272.25672170619345	0.11135694430372318	25.880979133611365
545.029488299332	0.111539	-724.265	94.1123	0.044474389987863926	-1.5831187418243603e6	86201.14756408794	0.15791535105001978	5.723355242449246	4271.657066235184	0.1954465460758402	260.7834341051692	106.61050192327	105.82853758271408	1.9101759765994784	111.84123111104549	1.7038969870217926	0.03777521499841059	1383.895597996972	0.034366808269032295	2274.8551206877582	0.03434752163064984	136.33678211908872
474.73363206602306	0.107207	59.8689	446.205	8.8668222008663	736.1288636641622	50942.36745285472	0.14896299553232545	7.654850404954809	-367.6660695226444	0.19479867566048678	230.16008008681735	74.10008993845288	71.23697994729262	3.229417396539023	100.63896510762095	2.0956000853376953	0.1295696941337056	252.16720561821114	0.11067972244003216	272.25672170619345	0.11135694430372318	25.880979133611365
545.029488299332	0.111539	-724.265	94.1123	0.044474389987863926	-1.5831187418243603e6	86201.14756408794	0.15791535105001978	5.723355242449246	4271.657066235184	0.1954465460758402	260.7834341051692	106.61050192327	105.82853758271408	1.9101759765994784	111.84123111104549	1.7038969870217926	0.03777521499841059	1383.895597996972	0.034366808269032295	2274.8551206877582	0.03434752163064984	136.33678211908872
639.1606062332169	0.118356	-571.886	280.407	0.03765737125675281	-1.2194839608177452e6	162761.1251466301	0.17434153704874306	6.867673180197373	4114.631558987191	0.18396533684811625	61.502107776028105	93.21944842021844	91.93469109991638	2.3784662966701156	104.51057862024562	1.9486182876225489	0.06082230688499457	984.0988136261992	0.052494703708966556	1045.4941357065306	0.05261395216380929	72.5580208395323
474.73363206602306	0.107207	59.8689	446.205	8.8668222008663	736.1288636641622	50942.36745285472	0.14896299553232545	7.654850404954809	-367.6660695226444	0.19479867566048678	230.16008008681735	74.10008993845288	71.23697994729262	3.229417396539023	100.63896510762095	2.0956000853376953	0.1295696941337056	252.16720561821114	0.11067972244003216	272.25672170619345	0.11135694430372318	25.880979133611365
545.029488299332	0.111539	-724.265	94.1123	0.044474389987863926	-1.5831187418243603e6	86201.14756408794	0.15791535105001978	5.723355242449246	4271.657066235184	0.1954465460758402	260.7834341051692	106.61050192327	105.82853758271408	1.9101759765994784	111.84123111104549	1.7038969870217926	0.03777521499841059	1383.895597996972	0.034366808269032295	2274.8551206877582	0.03434752163064984	136.33678211908872
760.6589857441649	0.0654644	-848.813	302.149	0.016692446769992483	-3.568766302663218e6	263165.26821659866	0.14902901688042747	9.579973378147438	8280.865197309435	0.4524889729336899	344.5799471064924	115.1500601373991	114.73196695359657	1.5953307157893184	116.25013436970846	1.546853689220601	0.003989752383003399	662.0315184826511	0.022820130879502642	4921.398823295031	0.02277257668615253	275.41721462693243
567.2049339601201	0.102577	-30.5094	-116.367	0.0022630804869126914	2556.0057043846496	-129335.18903743585	0.155628384173989	6.476059677391268	324.2068306913597	0.38757343316886267	283.9683905508463	111.25477825806233	110.67232292839668	1.745521598140959	114.15989595728104	1.6242591475255577	0.022804099063397244	1690.3577489236384	0.02818784755583981	3341.7516794111916	0.028157554392320736	191.0099755150828
382.4194741713429	0.0707979	-67.3632	-57.9227	0.10989451078035016	-4221.989652058308	-20241.699453242894	0.1345469124388956	4.34408628869846	330.0581672939978	0.09428226341583124	185.588046326889	108.30199127965119	107.16687361659059	1.89949894731499	117.52180500378361	1.5218041944302958	0.04053803178890838	1322.4249048391657	0.03551602507744833	1414.1679653512567	0.03548120725164512	95.41036564230662
125.40937399826399	1.15942	-68.8223	-458.595	1.7482518641580254	5458.045561045479	-23326.83770743715	0.12964170936303324	1.0104247252432874	69.6439517951717	1.8588528002138955	143.32435631890561	81.60010585652066	80.35737852003396	3.1884692033501985	94.9911920928129	2.2379765212662823	0.089915357214348	864.7909465681786	0.07759502221128614	967.1954734065106	0.07775473187296601	65.66211546227969
125.40937399826399	1.15942	-68.8223	-458.595	1.7482518641580254	5458.045561045479	-23326.83770743715	0.12964170936303324	1.0104247252432874	69.6439517951717	1.8588528002138955	143.32435631890561	81.60010585652066	80.35737852003396	3.1884692033501985	94.9911920928129	2.2379765212662823	0.089915357214348	864.7909465681786	0.07759502221128614	967.1954734065106	0.07775473187296601	65.66211546227969
125.40937399826397	1.15942	-68.8223	-458.595	1.7482518641580254	5458.045561045479	-23326.837707437146	0.12964170936303324	1.0104247252432876	69.6439517951717	1.8588528002138955	143.32435631890561	81.59834477772593	80.35738455209956	3.188563342522765	94.99119209281278	2.237976573623334	0.089916230120176	864.8170587604386	0.07759499863324676	967.3481369415483	0.07775442658308264	65.75419831569485
