,ms,theta,u,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type
0,2.5667574095478107,0.2656195359685911,-928.6899901892396,0.1201833460732686,0.0006286653843460832,-0.017327679644516408,-187.41324074317436,17.048153166479665,0.3938711682968563,-0.0027307802613328806,0.0007841834426997457,49.615094117080154,251.46883604083172,1.4772240617534822e-05,172.12097974330555,59.12099682753571,0.3613373638500974,0.0018043263809362625,1.0,0.0018043263809362625,0.3613373638500974,hs-sym
1,11.277571402969958,-0.2647446382409808,940.6218764459004,0.12030855530823482,0.0006723899743851525,-0.01692539059792069,-195.0991033699711,81.94861471974866,0.3939505349579476,-0.0026528009393904936,0.013797134181627757,,,,,,,,,,,
2,13.708067804276755,-0.25859156958319285,997.2968806145307,0.12073500406386387,0.0006026787733996134,-0.015565521577924311,-422.45753361110474,127.67726485759391,0.39422042054492856,-0.002443583902970815,0.020231438695975476,50.037421162774905,498.10742115130813,-0.0001262332032436544,465.02653905648685,83.89060652596397,0.37818202792260536,0.0008827875937062328,1.0,0.0008827875937062328,0.37818202792260536,hs-sym
3,18.53943277661804,0.2655817260229173,-877.4147492508075,0.12037739402465764,0.0009079625582956463,-0.017942678179438395,389.9633397895077,155.20831140196356,0.39394256733359573,-0.002763455723665821,0.031733953469351636,44.0329656745867,440.04027248105774,1.0673412186484074e-05,418.0911467071651,95.37838514991807,0.3268493081880308,0.0005249909315632416,1.0,0.0005249909315632416,0.3268493081880308,hs-sym
4,16.743347191917536,-0.24823472871769772,983.4339802291602,0.12142211357658889,0.0006245103860730982,-0.01511587377328449,50.33224782372508,145.87035759405222,0.3945827106264845,-0.0023631846990291405,0.029954603577833847,44.99176164484992,512.4843406652112,-0.00023042190705515827,488.4200406241371,93.70672263782546,0.3347923473783112,0.0005682464424398155,1.0,0.0005682464424398155,0.3347923473783112,hs-sym
5,8.849442376206008,-0.24274504372616373,959.1329106945586,0.12165392846872765,0.0005314778951372676,-0.015383425016486606,298.10196854844526,22.696770924748932,0.39468747010408706,-0.0024310346956301176,0.010337085659703024,,,,,,,,,,,
6,1.1229446845164,0.26539639059293096,-979.7194450090094,0.12019490249730032,0.0005613770271091959,-0.01641826682507049,-593.9915676531691,41.245821967669315,0.3939148387096824,-0.002596033547401116,0.0001510315682994312,47.49669462628329,329.8597553019358,1.1837394029075737e-05,275.95124073197127,58.16764578034828,0.3577925322929474,0.0017114309544806296,1.0,0.0017114309544806296,0.3577925322929474,hs-sym
7,16.807315340447875,0.2636208270360505,-954.2186851553454,0.12046807189545708,0.0007280263767500615,-0.016453792084067314,-188.75807867944786,164.22356212767255,0.3940499431896359,-0.0025602920864903705,0.027501909338870367,46.28560546600299,503.7050012267239,0.0001320141020704336,479.48436764726677,91.34394305887719,0.34867596726012096,0.000633879549715042,1.0,0.000633879549715042,0.34867596726012096,hs-sym
8,25.91732245551474,-0.2657504997067288,940.016043767007,0.12055322127433578,0.0009645911717659754,-0.016398238620190565,62.27686908072155,355.35682841700367,0.3940948326067368,-0.0024918919770902668,0.05085990515357898,36.44630536964581,619.4702065742447,-0.0002752961596367299,610.5043154191641,111.79790963286808,0.2568525598273652,0.00025950878412373137,1.0,0.00025950878412373137,0.2568525598273652,nonesym
9,2.697222228144082,0.242988393994921,-971.8316340945452,0.12160541518016743,0.00048318509431722776,-0.015265753155778546,162.12252682571216,-6.315127597224489,0.3946681164540031,-0.0024234959190504507,0.0010288379254054653,,,,,,,,,,,
10,8.831823398115496,0.26370267520352186,-878.6629312853571,0.12034824921031245,0.000735592177133288,-0.018111539500125052,303.3478550367381,19.0024592352396,0.39392095903806124,-0.002834691872404187,0.008863967137410556,,,,,,,,,,,
11,14.196652242702871,-0.2351358025120913,987.3482768483018,0.12215852986734271,0.0005333662692130491,-0.01439620037322312,387.4552622641113,83.6468264425136,0.39498090516353057,-0.0022660251615672575,0.025015817087728945,,,,,,,,,,,
12,10.5809725694147,-0.24023845783878534,971.4845214712227,0.12181914527663286,0.0005252623761356263,-0.015010829466235848,300.52262768390574,40.79675701991687,0.39478560332263346,-0.0023704893170054015,0.014575122336070126,53.53478206113254,349.79385015453045,-1.2921064887407402e-05,286.19678523757307,77.50850602141813,0.40163018611755774,0.0011903622370787628,1.0,0.0011903622370787628,0.40163018611755774,hs-sym
13,4.126447328717365,-0.2589636036081075,932.16734079506,0.12061909507078405,0.0005995941726309626,-0.016859163211311205,-13.50761008480913,10.05456429488936,0.39410856431366426,-0.0026599619920607935,0.0021091940578836788,,,,,,,,,,,
14,2.0666093189253303,-0.2505824208281718,977.9036460420461,0.12113972273728005,0.000505150354551503,-0.015608401264373878,-120.30580970416577,10.025780595380809,0.3944209932280346,-0.002475112622091104,0.0005705754355783133,,,,,,,,,,,
15,33.288885185165334,-0.2615873931232024,982.4705662317754,0.12105280807470066,0.0010777337750552034,-0.015016148661521638,90.39133558001868,585.1830955226608,0.39440221308853046,-0.002233257999823139,0.06874751574650756,32.19686026369435,744.2756274108464,0.00018488622522021926,739.5572013057035,125.07141812053112,0.22722625191035206,0.00016085618239095381,1.0,0.00016085618239095381,0.22722625191035206,nonesym
16,32.43038585541244,0.25317238437648004,-993.3686604533353,0.12152047773013223,0.000996901047513215,-0.014471917763935591,225.58682589882756,545.1197117275278,0.3946587242036456,-0.0021627610321109615,0.06899861402847478,31.728861098998905,747.0961183412668,7.847646279079279e-05,742.3354533531585,125.2454252042278,0.2220184919531505,0.0001557822611224763,1.0,0.0001557822611224763,0.2220184919531505,nonesym
17,3.582300575541881,0.25883841062790713,-881.2596504864321,0.12062481780477587,0.0006677212293755389,-0.017830012763399558,388.0462595966501,-21.813412054911623,0.3940709736159898,-0.0028047384865560417,0.0015970929261225758,,,,,,,,,,,
18,9.779386079385674,-0.24455438548978764,999.7432642630995,0.12155350057145227,0.0005039336011795824,-0.014843130725952359,-49.85772287249165,53.82085046638474,0.394659768417555,-0.0023478717206971643,0.012254116073176877,53.7211295159696,391.0750497916862,-1.431787479373058e-05,333.09836757774866,74.767364665855,0.40727964381815696,0.0012912434092231537,1.0,0.0012912434092231537,0.40727964381815696,hs-sym
19,27.849286263082437,-0.2657307796155802,932.799680765889,0.12061354983471924,0.0010350613310088066,-0.016409377086148792,171.8982024574234,403.3000416250864,0.39412453278418025,-0.002476130848272597,0.05557690700772186,35.02282151930838,635.0202078658226,4.337937334926074e-05,627.5105264868243,115.45733147054887,0.2408563786296014,0.00022432947371614118,1.0,0.00022432947371614118,0.2408563786296014,nonesym
20,10.28740836002386,-0.24384231117727095,985.0592577683879,0.1216012640175792,0.0005213389181625479,-0.015014221050944042,86.32982218547113,50.83761314564083,0.3946765213770771,-0.0023720354456167035,0.013501318898804515,,,,,,,,,,,
21,3.970722048325956,-0.24565829801116118,947.3993923578512,0.12144786007503823,0.0005237982991105057,-0.01580892469873215,266.7204680658715,-8.98121966217775,0.39456670675381544,-0.0025038712083443986,0.002164301616280534,,,,,,,,,,,
22,6.82931406767798,-0.26285884749962807,938.4896808466324,0.12038524699409371,0.0006244467112983293,-0.01694186590528597,-163.7989817901007,36.528627306818635,0.3939881943297368,-0.0026675326397230794,0.005472791231489735,,,,,,,,,,,
23,23.403036053622998,0.26316530489204126,-885.2067490181312,0.12064514633276657,0.0010015009438532239,-0.017403119010191023,494.37436952626103,257.32695805684875,0.3940989251197022,-0.0026501445990685314,0.04504148536226342,38.19880346873981,522.8700756077229,-6.020504784030928e-05,510.86026605814527,107.07718114494789,0.27173519724675543,0.0003115108280442182,1.0,0.0003115108280442182,0.27173519724675543,hs-sym
24,17.534611185146716,-0.2443797014050912,999.1636314221996,0.12166631776705411,0.0006037591343952374,-0.01463983462300397,67.05758410001272,159.05693771210264,0.39472464768631205,-0.002289032653568519,0.03292034872942341,43.49215353454893,539.6894989378934,3.517719910463318e-05,518.3973380561306,96.49394607292056,0.3187289970425127,0.0004998295294510952,1.0,0.0004998295294510952,0.3187289970425127,hs-sym
25,1.4533977411592671,0.2573119470116252,-946.6357082823556,0.12071625087839209,0.0005665120297473684,-0.016520905448503802,-85.20204523763823,6.959570576755766,0.3941712362909186,-0.0026118562339804583,0.0002685363964426979,,,,,,,,,,,
