,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_0,xi_J_0,v_calculable_0,vwf_1,xi_J_1,v_calculable_1,isEWSB,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,Lam_CP,EDM_bool,d_eEDM,vel_converged,Tc,LT
40,859.4113493510091,0.2196210965654679,203.3130981819493,-596.3943561943755,131.66825562097574,0.4121159919310668,7.767309152950258,-0.13753176254299582,-99117.12554442724,201230.52143593505,0.5348289877716521,1.918905327813732,0.4115071908219659,True,217.36644039080448,197.14958108093262,1.2558263349497344e-05,164.89421514172489,99.04188344569314,61.179117474746654,0.014419438722192916,1.0,0.014419438722192916,61.179117474746654,hs-SNR,,,,,,,,,,,,,,,0.5488032571737713,0.6668352294162008,True,,,,True,,,,0.6039008298018799,0.06411085020880412,0.0,202.65468553008537,0.054401351049267146,0.37825619091303464,165.12226295937768,194.12121797999131,Hybrid,0.010007596593620266,0.5773502691896258,0.49015355823308665,0.6195778888099546,1.0956066037341625,,,,True,110.61487977268618,4.9133568006937285
41,165.9652947755302,0.1820925910336872,-113.35006161777471,126.40845921030312,-888.5325015483196,0.1322922696812703,3.660845594221577,1.1911275989865129,1342.3597306819102,-51378.77528259152,0.4502779333771501,1.1137326650531465,0.035403113846151094,True,214.523562922808,-112.87658909358944,-2.9113814628659612e-06,-4.1843608707627205,103.04268852126494,48.62137245186693,0.014087361368068015,1.0,0.014087361368068015,48.62137245186693,hs-SNR,,,,,,,,,,,,,,,0.6188986418847987,0.6658982088058754,True,,,,,,,,0.6132768322796206,0.05333628215997519,0.0,199.98388023463662,0.053336257065715514,0.5083617841711499,-5.372180573672686,-112.3930776510327,Hybrid,0.009503037690864354,0.5773502691896258,0.4925096780011132,0.625806379632653,1.1034154405029288,,,,True,119.26401200957642,3.8032581063646096
42,891.4239602749063,0.22197846258729853,209.9858100403481,-596.5683250704664,134.64995273390088,0.440533928955674,7.926816271061098,-0.3949648916345757,-107275.96452746008,223177.8742344534,0.5383115759051399,1.9158765858261784,0.4356140071267355,True,216.34088806923316,203.5471658035936,7.552007026249316e-06,172.051339950142,99.88357862496008,55.114624926668704,0.013807521728079713,1.0,0.013807521728079713,55.114624926668704,hs-SNR,,,,,,,,,,,,,,,0.5370906888832979,0.6650981359956826,True,,,,True,,,,0.5577214325021096,0.04501890561117474,0.0,207.81847236569592,0.038266185131443954,0.3864005977237803,172.1802009195232,201.81312637809572,Deflagration,0.011052925693834377,0.5577214325021096,0.48352700352357264,0.5922474262377527,1.0572060048738716,,,,True,110.89218884885022,5.02904425551866
43,139.96696825673064,-0.018489188513977985,94.18664933625824,-119.55028620816893,565.5448153690368,0.12908521422256444,1.9381695063522937,1.2724345784716968,2208.350131985817,-35977.76068970645,0.4520621964596798,0.6966148063333563,-0.07975742714393183,True,214.3559914449204,94.82586988612556,-8.817828733754148e-06,193.97392608341687,101.2232925889489,44.38227155917929,0.013600047617743,1.0,0.013600047617743,44.38227155917929,hs-SNR,,,,,,,,,,,,,,,0.5909234835168132,0.6644986048491072,True,,,,,,,,0.5946107345711148,0.05210293137666728,0.0,202.0198078390366,0.05210290531155856,0.5080195346347551,193.03263395206727,95.27432778693661,Hybrid,0.009792190376032734,0.5773502691896258,0.49115276258407636,0.612811080300952,1.0855881242914087,,,,True,114.96148530824046,4.450442498425008
44,158.76141364521098,-0.01921929837287717,116.83493865329963,-119.03708622814938,532.1024968900306,0.12910321446696804,2.0692194200491807,1.0252327961613266,915.2487420651324,-33728.98947155047,0.4417711223189495,0.6881769877058496,0.00211060602965335,True,211.20868458691436,114.3786183251664,-2.0778570409497646e-06,4.395197802330273,105.01128885282931,51.63304270219746,0.013204144005986072,1.0,0.013204144005986072,51.63304270219746,hs-SNR,,,,,,,,,,,,,,,0.6099734867177213,0.663339067748519,True,,,,,,,,0.6275518217316843,0.048468333700566246,0.0,192.70908374577647,0.04846830498554442,0.3714435567236727,6.067005913441311,112.3180869070217,Hybrid,0.008542764792793927,0.5773502691896258,0.4971548195174275,0.6355034803248266,1.115001073017354,,,,True,120.90505927726365,4.0395573099641515
45,136.50670334612212,0.17344022033022707,-102.45014329127086,129.9306472754943,-819.2289173629124,0.12980777726255688,3.0506120101133885,1.2883598761062476,1318.145448749986,-51300.80789001363,0.4530870320477823,0.9773796485460547,-0.0062199415081112255,True,215.65074030342305,-101.10560864604,-2.1239838247001457e-06,-4.871522966575993,100.39697857298269,32.545132752218606,0.012968113440432569,1.0,0.012968113440432569,32.545132752218606,hs-SNR,,,,,,,,,,,,,,,0.5537462082730253,0.6626377811449244,True,,,,,,,,0.4153097534785845,0.1458931175256151,0.0,213.390179217374,0.14589307819945604,0.9999999999999992,-5.007358005660544,-100.98321544095626,Detonation,0.012246553460219503,0.4153097534785845,0.3901384778374859,0.5773503269363071,1.0144152549923988,,,,False,111.6246381603205,4.88240907742375
46,145.27684008414317,0.1651177234392375,-106.24623047085552,123.06797583904844,-899.128994643221,0.13029042939968935,3.604685836649288,1.1921570923112037,1550.6633879905185,-53813.16210628506,0.44931990879155503,1.0998643078808559,0.03172160834613212,True,215.53940964584885,-103.95128675304895,-5.313514639179258e-05,-4.839629950999745,101.191747018375,30.17452075040092,0.012626643671600985,1.0,0.012626643671600985,30.17452075040092,hs-SNR,,,,,,,,,,,,,,,0.542626930149976,0.6616095064394333,True,,,,,,,,0.40697035322650665,0.14270789397316339,0.0,213.42146303750224,0.14270785606861733,0.9999999999999993,-4.96635333616247,-103.78114467025442,Detonation,0.011981884255672395,0.40697035322650665,0.3835068397826772,0.5773502989907039,1.0131896987427311,,,,False,111.86842537769924,4.813619886028917
47,143.16478604006048,0.1784999363785309,-101.92146238893663,131.44562835361356,-849.6067520203453,0.1303349745539628,3.2657913592534764,1.3234386055192289,1376.9806860093026,-51644.91132439957,0.4548122444190261,1.0370209407332405,-0.003743534290142625,True,213.59031973350238,-101.0049125742774,4.131525607128578e-06,-4.9203860311374745,102.50117581847799,35.202971501330325,0.012352595796049054,1.0,0.012352595796049054,35.202971501330325,hs-SNR,,,,,,,,,,,,,,,0.5559204590611623,0.6607721350929692,True,,,,,,,,0.41693981356001264,0.13820993270026305,0.0,211.25204302987876,0.13820989007986628,0.999999999999999,-5.063064097449347,-100.91780789242912,Detonation,0.011685282618989098,0.41693981356001264,0.39264528303840457,0.5773507460904216,1.0139802879668687,,,,False,114.16252936156967,4.722228607469295
48,154.71447598416398,0.1762682727823854,-106.68540215941911,129.0959521339352,-803.8127424507982,0.13117663937632112,3.1964763860892718,1.2645440093583158,1374.9226838175382,-47722.312609364366,0.4527791353235006,1.0098764314153703,0.0061114614695645395,True,210.933772489892,-106.19057318402729,-2.076125612909656e-05,-4.675108302579559,105.39112258916343,43.28541782447361,0.01208480053478062,1.0,0.01208480053478062,43.28541782447361,hs-SNR,,,,,,,,,,,,,,,0.579839903522001,0.6599430632686965,True,,,,,,,,0.5980857489741624,0.055701294557811615,0.0,197.65374828086695,0.05570126807565011,0.509927170916876,-5.741439575718266,-105.72865624211428,Hybrid,0.008716521815159787,0.5773502691896258,0.49629754301243867,0.6139007140611092,1.0851115759178713,,,,True,119.06161349241734,4.2502482886925925
49,147.56039164240826,0.1640829828327272,-105.80988594611894,123.9483376758042,-826.9786437609523,0.13042255185359805,3.2874349216756014,1.2093252351791135,1560.1710664303346,-49548.62269619052,0.4501013093046723,1.0234129362820858,0.019206089833446405,True,212.1993823737332,-104.11294909082493,5.611233005091581e-07,-4.826362323112507,104.1473954601837,34.19177944870049,0.01183344756266008,1.0,0.01183344756266008,34.19177944870049,hs-SNR,,,,,,,,,,,,,,,0.5509516071891737,0.6591548571472895,True,,,,,,,,0.45077959811208884,0.11091546336345867,0.0,209.28204400804236,0.11091541834730176,0.9999999999999989,-5.020757622259271,-103.9279028938792,Deflagration,0.011030195139868783,0.45077959811208884,0.42220927850461176,0.5773532168498279,1.0177284206321473,,,,True,115.70487192872804,4.661898564547847
