,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type
0,393.4988261023273,-0.0010667028506017645,827.7822985766265,-698.2384443693181,315.73298292921163,0.7530274463392822,0.1290754025139703,0.2850420581986694,0.8442334726274259,-280921.26944490283,-66018.56763347964,0.3259781615969366,0.211966093320905,-0.4960342399092208,947.3451516106861,True,True,True,-2.0519001299432626e-05,740.0507763773851,0.0001077801785421026,733.2164733632583,779.3053800154839,1.4587795988601329,2.50792178761516e-06,0.004890584329790373,0.5786418586609731,True,1.0,2.50792178761516e-06,1.4587795988601329,noneSNR
1,254.97316461922895,0.002706466415411487,-155.7814855027213,31.650819798315524,-85.6647991900108,0.8574931426012403,0.12907707872124483,1.4875282820720925,0.20665787932456012,5400.896519548547,22859.727758854748,0.3414743886465937,0.4063250504054498,0.1218994876122822,259.6360572603847,True,True,True,-3.897931083126792e-05,-36.28326554023047,3.5950820504590045e-05,-37.31444886817444,507.41197329498743,0.04387657510869758,-1.8194913769468015e-07,,,False,1.0,-1.8194913769468015e-07,0.04387657510869758,noneSNR
2,106.75040542424534,0.00027909455673317293,-216.531404852724,130.942629306886,-52.17048519259728,0.7527552276215781,0.12907409330851422,0.04654463706241646,0.6047058598735688,-6353.363689877771,-9114.938244810575,0.3158947142389694,0.11242046924453225,-1.8350038329790466,247.59990821247217,True,True,True,,,,,,,,,,,,,,
3,534.0830888606795,0.0010034530319243291,-480.9596319704275,12.301688180298243,-449.7413554050348,0.7858573216738548,0.12907633529417112,1.0824227029560336,0.027862010025024257,5129.82463743082,34150.1698411814,0.30459349915063955,0.27524934407651247,0.1288970403661096,611.1915424497702,True,True,True,-0.00011265193153986509,-327.2462221116164,-9.776924857761716e-07,-316.1955658815612,825.9261215222865,1.5146150977861907,7.345678832171455e-06,0.009336937751325892,0.5795589676921342,True,,,,
4,484.84903502155225,-0.001062522498542198,-142.16230197551806,14.670419487414051,-577.4941794432722,0.9853678233246832,0.12907613950994118,7.7695899356332605,0.09653349612228937,6713.77408377561,74724.55626641486,0.39579921748304886,1.9584863999286968,0.1287762937024149,821.8789662726499,True,True,True,,,,,,,,,,,,,,
5,654.8509636654309,0.0003284784232337548,-366.8926819920346,65.76530664788675,-68.14032172612394,0.9114840660226798,0.12907446378759282,1.6655396089191323,0.18075196084090378,-4139.5009736791235,199244.03858540516,0.36427084616088684,0.44651022903660037,0.12417045682599406,813.0028373902076,True,True,True,-5.862402101192251e-06,-195.602994819022,4.77917815839793e-05,-167.95585538023684,822.2104902732397,15.693465270144202,2.2624125885645053e-05,0.020147316824431483,0.5812208371820253,True,1.0,2.2624125885645053e-05,15.693465270144202,s-SNR
6,23.86733755452854,0.00035707609889938256,-568.268268889699,-178.83774887188952,-364.9458140400885,0.809834384520575,0.12907408018223698,0.3367532430704641,-0.31474503650700153,58631.448578245145,-98640.96302562281,0.2998820780700249,0.031730804683115774,0.05553029103967412,784.4480805905391,True,True,True,,,,,,,,,,,,,,
7,355.0056221149614,-0.00021894315842022088,-179.4380170931919,-144.5763213194757,322.30597018189167,0.9683366241865003,0.12907413968732942,1.4381963035002632,-0.8062643847264339,20786.193984582096,104124.41212144488,0.349863156827367,0.22517167842066013,0.016074569236449024,696.0052649222996,True,True,True,,,,,,,,,,,,,,
8,372.5778146068257,-0.0018519275824389859,334.3411774320855,261.64405162713535,419.7099851932071,0.8328456223855655,0.12907758049488863,1.3546548486785446,-0.7797950287996495,51718.03285864745,11186.419714804251,0.2899567703079024,0.20869787403636123,0.0168570603502511,503.07478954672126,True,True,True,8.060463512760813e-06,230.30734885001442,-0.00016601345274686784,228.57609903990826,524.2564934087254,0.05862773789840503,2.8091849040499775e-06,0.002749233345545921,0.5787171455039899,True,1.0,2.8091849040499775e-06,0.05862773789840503,noneSNR
9,488.0778302802585,-0.0003660140358474875,109.65609112855282,-483.0619701787251,262.61382991780147,0.989970926646018,0.1290743419983916,5.551452105301862,4.408262717108084,-18643.432807805264,38047.45065471399,0.5777268750252034,2.122573479176813,-0.7460471493896929,768.4249039951526,True,True,True,,,,,,,,,,,,,,
