,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,435.2098469730054,0.0008505873071046681,435.31725851332817,243.79393013172023,104.31641668368366,0.8241945852943633,0.1290751330474209,0.6643533379291188,-0.5614163978993647,60757.00536704558,80443.16746268467,0.2954708771304506,0.07251893483238557,0.010467927425189996,633.5544385694986,True,True,True,-5.757776498879579e-06,252.7323288541056,-2.2402887134323467e-05,186.05506801455437,745.0145827971986,22.682844798636438,4.2907741354585754e-05,0.04332496582120872,0.5826738193626377,True,-7.0740993849915885e-06,343.4065751679416,-7.555333905653574e-05,339.57952560854994,638.602082701061,0.06674179066112629,5.012992504895355e-06,0.002287294232307759,0.5791754850758618,True,2.0,4.2907741354585754e-05,22.682844798636438,s-SNR,,,,,,,,,,,,,,,,,
1,486.5989354963294,-0.0015783589258053109,-505.6793958222589,706.8078894948083,-688.4228351609809,0.8274366284966982,0.1290786402123507,1.0608386940017644,1.3949357103081794,-171243.5000183204,-76937.39358535843,0.3783259668255887,0.49769895855180435,-0.32948439271981456,745.0999411634118,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,481.78601027731145,0.000248495977968214,441.79326838764973,-225.10020093746095,683.864367140894,0.8662898153511012,0.12907420630374639,1.3290270761345173,0.5090202319903836,-41948.37948819283,-42740.4405230934,0.35786227244214397,0.41709347436535993,0.08033524506882136,766.1441953466322,True,True,True,-1.0557727614273773e-05,264.7177990017016,-2.6218152491530273e-05,253.4025802581421,870.128468016017,2.441435142703085,3.0860652875033777e-06,0.013395105126881,0.5787828422515204,True,,,,,,,,,,,1.0,3.0860652875033777e-06,2.441435142703085,s-SNR,,,,,,,,,,,,,,,,,
3,437.9395781875769,6.397716531567195e-05,-718.2535848932441,-97.5432157535879,-137.20024493275025,0.8074822320083225,0.12907410198765598,0.2853830921806129,-0.13574236926847516,42870.574705847175,48683.13684852107,0.3063894896053373,0.04872204483374071,0.11293264921812957,983.192030816984,True,True,True,-0.00011116839230044565,-646.6100864610398,-1.7490946273700094e-05,-642.6347422236079,732.8271549159099,0.0009444306700743255,2.7911043426285625e-06,0.0017520823671835159,0.5787127448548802,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,310.0564250054751,0.002291479240237049,103.5473865129864,-330.76061968040705,220.4125595578529,0.9595463965594234,0.12907758224871094,1.0328046294151918,3.1870576855765416,-9339.518502897063,-11968.611123314608,0.5120166650563318,0.7893774382832215,-2.3296005650752223,352.8976277892433,True,True,True,143.9645623315251,100.20059647473497,1.425538102206297e-05,39.01555650294652,134.40951951562968,142.11151653782827,0.0033255405002899888,0.3124779478042438,0.6224827856638301,True,,,,,,,,,,,1.0,0.0033255405002899888,142.11151653782827,hs-SNR,0.5607916860286347,0.05747599771064923,0.0,124.66457814955123,0.0574758053919601,-0.9999999999999816,41.50905449871025,99.12023737549976,Deflagration,0.0029984705593458275,0.5607916860286347,0.5281538584450619,0.5826522704474896,1.026220327723699,True,138.63255982282874,6.878136723593276
5,143.86837785101585,-0.00025581186675927025,-219.36687582976512,25.417282567884627,-284.8936414308127,0.7963059834422693,0.12907409876681147,0.827927275449791,0.11584262523662418,5035.32368600523,-22655.58062103562,0.3123911121634985,0.22628892306855178,0.12502195728662455,288.7830739781423,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,549.9535739156489,0.0016663046969118767,332.3430925405514,-106.51948027712979,726.0196353453098,0.9458475594435111,0.12908066480430863,2.4174405891390713,0.31466995182005036,-10198.909350989998,25546.35720755029,0.38580996373304477,0.6568051392547762,0.11884078765662492,968.3768088516999,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,317.76936142338417,-0.0018242882929974107,-322.35223584328344,327.6494737872746,-97.63668595521256,0.7569364792986801,0.12907643855016818,0.4890976970119051,1.0144716344029603,-45087.281691313794,19289.76338336644,0.3345475610438879,0.291353029986803,-0.39697014850990286,373.3809879246671,True,True,True,2.8115496130033513e-06,-231.47385952563596,1.7214255373771617e-05,-226.05137404082396,611.318063993997,0.0473787654075295,2.097484228934686e-06,0.005531839636693613,0.5785315645950304,True,,,,,,,,,,,1.0,2.097484228934686e-06,0.0473787654075295,noneSNR,,,,,,,,,,,,,,,,,
8,745.3645803381371,0.0007979503399621701,-610.4252629802113,610.7050614072439,-86.03154931393874,0.7984644463089007,0.12907693184076516,0.7752727726354717,1.0033250860929814,-178036.87579994593,236452.41776259066,0.35023152775784516,0.3610390408410315,-0.19553824359014552,809.5828824435928,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,437.25329619411497,0.0007165120572076255,-615.3503873178369,554.0636928079241,-457.0569461471845,0.7183925576519086,0.12907483944329232,0.5878048647297884,0.901233807535662,-162490.66985537513,-58649.109851168614,0.315612277003455,0.2971568507717241,-0.21637244441790968,635.4787712897501,True,True,True,-0.00013412659604080412,-473.4860499284423,6.713701723600034e-05,-461.09781524957566,887.3505521680247,0.1283046041594389,3.561255192451273e-06,0.013610846479181846,0.5788890459647628,True,,,,,,,,,,,1.0,3.561255192451273e-06,0.1283046041594389,s-SNR,,,,,,,,,,,,,,,,,
