,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,177.90814661673735,-0.0009270540944525277,-327.127053753953,262.6675267067492,-116.28370326505691,0.717800017188606,0.12907420949637624,0.21191797148976874,0.8027684112249824,-35148.922719959985,-15367.339146162922,0.3112964866302967,0.18677422807660593,-0.6311693856200902,337.25246587033996,True,True,True,39.81645518596203,-311.4969140945949,-1.731781776260646e-05,-311.7920526716666,156.28566681754523,0.3455555576619247,0.0001469678047530297,0.03293733582841491,0.5871634768699474,True,1.0,0.0001469678047530297,0.3455555576619247,h-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,325.0959812590249,-0.0010085498606410804,754.9938506056524,148.79162066894457,242.86627270455824,0.7161764540486881,0.1290748515213274,0.25878470034408874,-0.19658805893773137,64131.4170356546,-35836.39025126471,0.2690749168837732,0.031931498596400286,0.09173989232018567,774.7440907944451,True,True,True,1.0977489300646221e-05,694.7801784524387,-8.825829106082468e-06,693.1420713869453,583.874600715842,0.22403254909738735,1.3443038571086725e-06,0.003120126962758534,0.5782961725001211,True,3.0,6.848112622607047e-05,0.12443865947307131,noneSNR,18.923862948429072,753.994810325916,0.00010313084594830806,754.0069257236294,159.82409591764676,0.014070718570138752,3.585311869624334e-05,0.004869791087411753,0.5822185015664523,True,58.456597434583095,753.9341932657385,50.88024441128816,753.9607529181171,158.29879985951308,0.12443865947307131,6.848112622607047e-05,0.0074133659177713414,0.5840673992268715,True,,,,,,,,,,,,,,,,,
2,94.93495081245496,-0.00048633646409510894,94.10500382416961,-54.61176840273532,300.5906620672459,0.9824902497428205,0.12907408309555723,1.1129266120497334,0.5801887239396487,5253.516243122129,-18435.5046044951,0.41453482633393496,0.37492977366904146,0.05345837049103301,496.24421833187677,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,391.15218092708324,-0.00046465107859050477,614.6165059593484,-139.63059056011593,270.2232004670209,0.7561051763215144,0.12907434065622714,0.4132303031227268,0.22760504047884048,-35006.20224726236,-9971.684354231527,0.3014459550085225,0.14124174919382176,0.09773343096259007,710.0842461527761,True,True,True,-1.6238045224852525e-05,528.6513427520172,0.00015575838429198493,524.0310482670336,688.2844470030336,0.6304990722861703,3.0806833700812703e-06,0.0010808810024166477,0.578781594099461,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,250.4900002634517,-0.0001387998990537517,-217.8990554968007,-26.29758387554776,-239.5877544873444,0.7622088139044255,0.1290741035251436,1.2490403991746521,-0.12080885826253812,10685.97099432442,7094.797619352755,0.2892454002454407,0.29212529008324,0.12615290493053807,256.5681561684789,True,True,True,-6.632444963829492e-06,-124.46544047485646,4.181450365342751e-07,-123.73304965253988,417.26037231956695,0.005369364144371502,7.308884445735015e-07,0.0018029692387695356,0.5780478864544479,True,1.0,7.308884445735015e-07,0.005369364144371502,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,377.97984291349366,0.0016385589305208848,135.6323691172006,-190.24246153460746,261.8783566997595,0.9769258951731848,0.12907691362738283,3.6931033598122966,1.3963905241495416,-5135.013452261279,32230.465230913687,0.44581892839698134,1.1560075939779977,-0.0029195610145925366,620.3936493356741,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,275.91397206250684,-0.0010197264756148252,-112.31647580323715,259.1818333663514,-0.7163800149706958,0.9850649458644428,0.129074614816863,0.2485886654018819,2.3053726327401303,-6745.477417077918,2987.887050568228,0.4876842192440765,0.4463759384738255,-5.215842225211882,642.5657483654034,True,True,True,1.03757297387752e-05,-77.32886866712043,0.00016672377813088793,-74.82713271029283,426.7149466522236,0.6663679843325667,1.413723197679539e-07,0.007035577649750241,0.5776571862759694,True,2.0,0.00041794014490732155,0.6934987180807468,noneSNR,56.67864873222078,-103.80742050564405,-1.616853930665675e-05,-98.72252451506054,148.0803756595936,0.6934987180807468,0.00041794014490732155,0.043623602130617924,0.5937994447733402,True,,,,,,,,,,,0.1200171100372473,0.2536045264934647,0.0,55.70339409267004,0.2698124368236394,0.0,-98.72196903515767,-103.787897917117,Deflagration,0.00041788754798665896,0.1200171100372473,0.11986212198736279,0.5773502719145136,1.0000314644684796,True,148.15589613708357,39.95392700247489
7,914.8858168060925,0.000636418985920871,828.9035808464826,-470.15817949017713,626.7160002001276,0.7437763582775995,0.12907684025572608,0.9746392147786034,0.5646434397363953,-187913.94723084496,150091.46122985106,0.31086752981212834,0.33776704365071675,0.04729729321847416,922.3407424189131,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755.0548202825112,0.0010807790228106627,-412.80812513917624,-168.46834807153482,707.2169706248503,0.8824690310423605,0.1290794384599749,0.8524434112920434,-0.40220709582597525,43099.0149494898,437388.9575398985,0.326970469836526,0.146076336852015,0.08163624581227452,774.4754072952674,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,533.3739896202335,-0.0005734767534681444,-106.67816871717332,648.3245579310174,77.67854960029831,0.9906852966232356,0.12907482536342202,4.042641869245098,6.071517281908126,-26790.641655751606,54114.899672259286,0.6473831205763269,2.0225800142959622,-2.150580613877397,776.113879411668,True,True,True,90.53676758972935,-102.3238292389427,-0.0001499185740813324,-98.2203519647245,144.17342729794572,1.7796529971149937,0.0011425993808105953,0.07829906278449912,0.6042829665333882,True,1.0,0.0011425993808105953,1.7796529971149937,noneSNR,,,,,,,,,,,,,,,,,,,,,0.1671570209799337,0.1891116891247988,0.0,88.83772084329371,0.1618326730182643,0.3575223656231754,-98.21957450184027,-102.29750815052947,Deflagration,0.0011418494273912837,0.1671570209799337,0.16654956530056841,0.5773502709223355,1.0001641566658892,True,144.43575772425825,25.254328268349866
