,ms,theta,u,lamh,lams,lammix,muh2,mus2,dmuh,dmus,dlam,dlams,dlammix,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2
3364,536.2476542941282,-0.4097767196832138,-511.9658219698924,0.485093854814519,0.466221433545152,-0.7883073607096955,-73907.53577647693,98309.43045230591,283.34085382687977,3337.449780400731,-0.01964104960517732,-0.017148376391347437,-0.005639000999669122,0.5442022692897657,-0.01482920173199459,0.15186781122417065,True,2.8622469818079237e-06,316.9598683964502,2.220369914857448e-05,263.81227761090196,807.4005147235729,20.122554635899405,0.00013512348927561534,1.0,0.00013512348927561534,20.122554635899405,s-sym,,,,,,,,,,,,,,
1964,560.0366557921426,-0.27611935233526275,-541.251734565084,0.3117701337602474,0.497507418975479,-0.5865610516119292,-67019.76690303689,127969.47506418686,849.5365363654926,4586.033319356906,-0.013553395371542628,-0.0219198392527669,-0.001528335577071972,0.4659465049750369,0.02661667947521489,0.13888132138001946,True,1.2248234053574887e-05,320.4103144998452,-9.147892318239551e-05,244.37078533083007,932.1973944025473,31.57871495225368,0.00013852164716632168,1.0,0.00013852164716632168,31.57871495225368,s-SNR,,,,,,,,,,,,,,
3871,311.26856970025545,-0.3460988115029129,-286.26642204277687,0.20619231428650345,0.5341110898793571,-0.36784286348188855,-2573.847236648124,32621.28903986543,1031.1974466195618,1027.7100768639862,-0.010475507253616713,-0.006208020152647257,-0.0016347032771645007,0.4222708530769165,0.07222062855619116,0.14285887355738552,True,2.9683425979253812e-06,138.61727712706488,1.070557405080834e-05,86.38420042712835,472.0759019303634,21.29267113838341,0.00014663829952361027,1.0,0.00014663829952361027,21.29267113838341,s-sym,,,,,,,,,,,,,,
1793,459.684882283978,0.3520780241571666,390.83597489143057,0.32101172141227524,0.6155103467401061,-0.6582062096457629,-30813.461618959263,74072.50342227607,849.5208946247026,3198.023834180849,-0.012655160417688164,-0.024569269569678125,-0.002178352319573864,0.4675820838829744,0.044176551744066025,0.14504578651338884,True,1.1177659825092288e-06,220.50412377682446,3.101723293812761e-05,155.99258037528034,641.6349068776742,29.00801646110051,0.00019885814614311318,1.0,0.00019885814614311318,29.00801646110051,s-sym,,,,,,,,,,,,,,
2631,17.10210312756292,-0.3823055302203229,350.48160241239907,0.1114460932208974,0.009889113116061587,-0.06159341060439101,2972.256750941265,-651.9725608172043,1086.0531979704413,0.7893878024161066,-0.011019115506354612,2.6815918655484877e-05,-0.00018930619478581422,0.3876581364140093,-0.00779329015504977,0.015538902521475119,True,15.846537843145207,1.0276822893284377e-07,0.0001252772404547939,1.1901971723734465e-05,110.75097512151787,0.028502513549085506,0.00019993032354207157,1.0,0.00019993032354207157,0.028502513549085506,h-sym,,,,,,,,,,,,,,
41,46.121898186316976,-0.3400071191801257,249.2757711531379,0.11667028656740068,0.02921646544831202,-0.06926325383389814,4919.949849681332,-283.711960627812,1090.7051336296342,3.158347584921977,-0.01094222469094292,0.00013761814310187266,-0.00028112193621907813,0.3899506562860314,-0.004239759276905019,0.07561981846623465,True,19.948993708569482,0.00011743976396308516,0.0015315449987340086,-4.415800063985095e-06,134.39971167339678,0.05387887101971955,0.0002115439116474729,1.0,0.0002115439116474729,0.05387887101971955,h-sym,,,,,,,,,,,,,,
3772,589.8571624909982,-0.31664300400085565,-498.0919296757613,0.3948280521144031,0.6362758052716599,-0.8017785152413783,-75526.56776468872,133557.53099306684,772.8394908901191,6427.967070533287,-0.0168939424821576,-0.037856693525461727,-0.002392195312422335,0.4985080698342209,0.025439198777685273,0.14224545264395688,True,9.970638701909288e-06,304.17289489545163,-2.6036140906572962e-05,224.2481433389064,837.3013659389028,36.678039545617935,0.0002157385707771839,1.0,0.0002157385707771839,36.678039545617935,s-sym,,,,,,,,,,,,,,
2561,42.54771215236297,-0.3031421098801861,104.39328759463457,0.11890246732475505,0.13963179286429506,-0.15338881106408536,6371.394023235531,-3127.086959265825,1099.998755863527,41.121921671607325,-0.010810195847122173,0.003029472303706004,-0.0014397115444585071,0.3875615151134508,0.009343146372059522,0.07677716248368613,True,22.82730451751642,4.59343657394771e-06,-4.431974442910299e-05,9.476114940252722e-06,149.93945265411384,0.06431278905196791,0.0002208982884746727,2.0,0.0002208982884746727,0.06431278905196791,h-sym,212.56299415679408,29.485969316529122,212.42009588904455,27.28967564032908,88.58650844433457,0.06663523414228223,6.471852458005375e-05,,,,,,,
1333,92.48383122519024,0.27100724523939723,-296.2673528995001,0.12488033434932555,0.051619092876452735,-0.025086426145159227,6468.579229556241,3770.532199252513,1092.1638351857491,1.6499435336550194,-0.010840616276545985,0.00028833311066260293,-0.00012546255729576405,0.3958963813306913,0.008723702194919981,0.12183238861031967,True,23.98327888096683,263.9370669482306,-0.0009712897826608117,263.67754360791105,158.1827483679379,0.0356672694877318,0.0002232652935562266,1.0,0.0002232652935562266,0.0356672694877318,h-sym,,,,,,,,,,,,,,
3373,92.17015589867769,-0.2768028925374861,661.8742472916413,0.12466801291025442,0.010305804070208363,-0.011537988192077277,5029.415166434967,4165.056734230746,1087.4093635959423,-0.02431437471548479,-0.01084513398439621,1.175967989053764e-05,-4.1446846799492386e-05,0.3963547388592009,0.0006534529855392118,0.12143863918517682,True,24.385622939605355,633.6829947956555,4.377201055147099e-05,633.4286004587514,158.14167114282847,0.025208522912862463,0.00023031610241552435,1.0,0.00023031610241552435,0.025208522912862463,h-sym,,,,,,,,,,,,,,
