,ms,theta,u,muhs,mu3,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,th_bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN
21,143.70169679641904,-0.021397215856949682,115.33381682433209,-127.99644600785912,463.57802819777146,0.1290929865634148,1.5215668373848883,1.113559737547863,468.80461115222437,-33112.29349686566,0.4454462975916119,0.5659849989375325,-0.07464687859079612,True,217.33135389321058,114.43055373368787,2.269635203497551e-06,3.6858072985015538,98.97478933548322,57.68365526977786,0.016411977301998996,0.6435413925267205,0.6721986178526637,True,1.0,0.016411977301998996,57.68365526977786,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6320041243922334,0.04746846387417934,0.0,200.46929003841305,0.047468439370239104,0.405960102175561,5.127020257390505,113.5098610225926,Hybrid,0.010206390692643197,0.5773502691896258,0.4892399243520698,0.640833904833261,1.1260755325956642
22,158.76648407786647,-0.019855777215570487,119.31210491713236,-122.38920490084223,530.246772459373,0.12910517998878804,2.0153673349601897,1.0322502411862002,570.3609132062811,-34379.560372730964,0.4420644986225625,0.6758835406044141,-0.003071786208048793,True,216.51908765394447,117.37104795419924,-2.036764202174536e-06,3.743346751468701,100.31280063850413,59.39135860765562,0.016329841634977683,0.6501746610517511,0.6719856787355672,True,1.0,0.016329841634977683,59.39135860765562,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6443162622745139,0.04779591514987957,0.0,197.35912978870527,0.047795889541377395,0.3600022514934334,5.482770051613739,115.43935480129932,Hybrid,0.009727331372342326,0.5773502691896258,0.49145554832478344,0.6500649512871247,1.1382731195583533
23,146.56910554808348,-0.01699405481380083,119.9038590418606,-121.06307672322264,461.2744058832346,0.12908799513751806,1.6063636228447675,1.0130262947461668,590.7732550723449,-32112.211466900244,0.4412549084285928,0.5704286215022196,-0.03062401826542702,True,216.85554652708998,118.22789225687922,6.831239667712504e-07,3.780632153512504,99.74636950573532,55.963858515204706,0.01620150186136939,0.6432092704200872,0.6716516296263502,True,1.0,0.01620150186136939,55.963858515204706,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6337164291247791,0.04848643541621003,0.0,199.58495217783357,0.048486410466533736,0.3905476075440783,5.315803892160627,116.66938459845906,Hybrid,0.010030421925947226,0.5773502691896258,0.490048245417404,0.6419820296569375,1.1273521581935022
24,148.66113447821542,-0.017810641980394382,109.27673310530287,-136.7750359151543,514.2735420060543,0.12909097880431564,1.6900238358921618,1.2559099286456186,377.11246692249915,-35887.43870318857,0.4513765516744688,0.6318242804139769,-0.10423557484721648,True,216.9763960897625,108.84111124734913,3.6132521853544328e-06,3.637210860225907,99.08682510379893,60.940686489934606,0.016191990757726604,0.6412138235074336,0.6716268089310931,True,1.0,0.016191990757726604,60.940686489934606,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6307939841373764,0.046590303413174605,0.0,200.04687003993445,0.046590278752084095,0.40601313767939823,5.033917651808772,108.35018308680063,Hybrid,0.010128227773326708,0.5773502691896258,0.48959819315018854,0.6398076222000856,1.124453975048299
25,141.71196992414113,-0.02532007238506527,111.79663124090142,-127.2680722043013,554.3589588222621,0.1290975438623095,1.9023700396452208,1.142467028200888,736.5881006574155,-38075.12824805943,0.4466530466849353,0.6660036812781198,-0.04242940453958835,True,218.22358135914763,110.54953145085207,1.0082810801665766e-06,3.6773823248114814,98.0613809378738,49.11466317669189,0.01618938836276643,0.6296090596464065,0.6716200160161688,True,1.0,0.01618938836276643,49.11466317669189,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6280817894875628,0.050531325562412556,0.0,202.5224597038915,0.05053130083375556,0.48875921789531945,4.957591238937637,109.3548937112055,Hybrid,0.010222835773727401,0.5773502691896258,0.4891647029425689,0.637809255426642,1.1217992312292895
26,153.15237705387872,-0.023028472293745383,105.30091970864358,-139.94599692586814,616.5406827609862,0.1291082463875496,2.1687399142978565,1.3359434910117889,496.0420803930001,-40664.56889596594,0.4547199172313429,0.7648422270764289,-0.07662700561413963,True,217.31406873396355,104.6420198349346,-3.2701892945674627e-07,3.6244917947382964,98.78348272170365,56.01557423583884,0.016092824428927302,0.6360384735792451,0.671367483128062,True,1.0,0.016092824428927302,56.01557423583884,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6229917194236989,0.04851315174747721,0.0,201.73758078000827,0.04851312712156911,0.4318053663418776,4.874652772081983,103.98121895395083,Hybrid,0.010348339289257887,0.5773502691896258,0.48859241090058037,0.6340489453064142,1.1167106804434557
27,138.18037241961432,-0.02238887840331328,109.60045425949428,-129.69968103267522,558.9209772756057,0.12908834358446206,1.8516470827455056,1.1862448625507056,734.214301981825,-38928.89390265185,0.4484725229772539,0.6606192477781607,-0.06090154258778155,True,218.2963316732805,108.77506729048001,-1.3809387649097392e-06,3.7277500352498834,97.78238037607969,48.23211370691014,0.016049860517977084,0.6249012779598411,0.6712548248609573,True,1.0,0.016049860517977084,48.23211370691014,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6225278614786169,0.050576033522542405,0.0,203.40102356836366,0.05057600894792319,0.508783197191194,4.90993283040451,107.98153881602057,Hybrid,0.010340185494859338,0.5773502691896258,0.4886294973106989,0.6336879173986676,1.1161835322655407
28,155.4499647466835,-0.021648274407000376,129.07671652128369,-104.96496347872021,526.2103981699786,0.12910701670794636,2.0238054889882577,0.8189985392930869,1099.8016012127257,-34027.504613459336,0.4331799294032619,0.6424511287959123,0.04624843531093474,True,216.6339406548077,126.31541194007623,1.911825171639244e-06,3.755110142366494,100.60662068524641,49.11576578595663,0.01603828131421094,0.6432518883577937,0.6712244306241335,True,1.0,0.01603828131421094,49.11576578595663,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6340466257849378,0.05140915325609431,0.0,199.36691656049857,0.05140912696899188,0.4187258422694328,5.338840397575091,124.1143819575785,Hybrid,0.009929303851708822,0.5773502691896258,0.4905156096022569,0.6421307840219116,1.1273525628295207
29,137.7676060828717,-0.021911310606990784,117.35860189898558,-115.2919787390488,570.8877371895749,0.12908729132976746,2.0403399909629765,0.9849168223683796,1076.6985446494457,-38820.334434396296,0.4400833285089764,0.6742378014688074,0.0102270583194852,True,219.1962035037328,114.94305764222628,1.7450156999687282e-06,3.699117037835833,97.3874289203456,40.52788417894567,0.016038213966882434,0.6151599695142871,0.671224253804774,True,1.0,0.016038213966882434,40.52788417894567,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5358895825544351,0.06998291449322751,0.0,213.24672106836127,0.06998289202756992,0.5028272726635281,4.163689939715484,114.27595482094131,Deflagration,0.013225220393179712,0.5358895825544351,0.4686111932476173,0.5856757675159752,1.0493931848314362
30,124.79898965211146,-0.01951162910882528,115.96168634501987,-114.69659700193628,607.6574314091812,0.12907386770078932,2.0845818438953363,0.9890407678146148,1173.2007377770715,-42434.879331427415,0.4402484477547472,0.6859855889429366,0.01175997531705171,True,221.24799534123053,113.29671677324212,-2.993498193623758e-06,3.939338464534004,94.96178132718941,32.37218713627432,0.01597933924196218,0.5867385525484274,0.6710695042341858,True,1.0,0.01597933924196218,32.37218713627432,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.1,0.15795829323035276,0.0,220.81928035547054,0.15795825792182852,0.9999999999999993,3.9458034749242907,113.28554601235751,Deflagration,0.015926305023996917,0.1,0.09512625738794989,0.5773502916768894,1.0008315384680582
