,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
34,402.0530345883413,-0.006591941573890276,-68.17279541087407,306.0752528657338,-175.73237384315888,0.9968543883732544,0.1291264277108021,4.039802323450991,4.432358612728675,-2739.319601704409,5057.1426353914285,0.5821759725359265,1.748677016317527,-1.0866386827369587,857.4663353106482,True,False,True,139.1019189109322,-64.11495229838434,2.697798829483529e-05,-38.900809950374274,136.76011891274695,23.302515867988035,0.0031339332907627565,0.2235075003294268,0.6212194584199647,True,1.0,0.0031339332907627565,23.302515867988035,hs-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,119.75675618622677,0.0334226421813188,-155.28124018462773,51.22655585853507,-115.23638135993812,0.9755710785715124,0.12906206787096322,0.4611548943911581,0.3287545645986565,3832.010198112653,-6809.133265062275,0.4006653550421318,0.17008115103089896,0.07047027742323048,689.5717030848906,True,False,True,112.74042332129805,-133.87155588429638,1.4654915641938609e-05,-33.142452215951266,149.27727671829737,20.879739705277647,0.001461542460419722,0.273734603988772,0.6077110376335784,True,1.0,0.001461542460419722,20.879739705277647,hs-SNR,,,,,,,,,,,0.20532142360983266,0.06811656423883261,0.0,111.70403179996211,0.0681162494276542,-0.33036085162548307,-33.17507107293308,-133.82026815737976,Detonation,0.001459695503051254,0.20532142360983266,0.204335788930593,0.5773503112198226,1.000316198559644,False,152.84220155322075,7.9748456044976725
36,253.78418126237537,-0.005892594770966884,-70.86355147142015,175.49786195916562,-496.22857593619307,0.9963724632517932,0.12908806152329744,2.4405934276012418,2.460092403942081,1565.0515960392097,-23407.828226226542,0.4997388842195905,1.020163757557324,-0.4908487300259856,829.6939719141568,True,False,True,125.34284177979605,-67.47508261393953,2.048231719665e-06,-22.39886749364611,139.99109495756986,27.952871490728146,0.0020115560740126786,0.2396277411288123,0.6127929850427057,True,1.0,0.0020115560740126786,27.952871490728146,hs-SNR,,,,,,,,,,,0.4980940384510214,0.07621937456353906,0.0,119.54100379417311,0.07621911853999508,-0.09969629604003781,-22.781042849705813,-67.11987483152323,Deflagration,0.0019649633317342084,0.4980940384510214,0.4897705967036132,0.5773499503408966,1.005875940616294,True,142.36704368774005,8.430581022646935
37,267.430961963984,-0.006944663338052802,-72.29694645164594,164.77294222751567,-466.36558057408735,0.9950090676477582,0.12909632310296182,3.4590480387773948,2.2573151709336843,1811.842919540898,-16297.53236325708,0.4906152034277765,1.2409812048499629,-0.23917492694943465,720.9144234086093,True,False,True,112.21956276514656,-62.34839853697874,9.625486096724535e-07,-33.693710962927355,143.79800343030982,9.666348048363318,0.0016367051414802086,0.16050102250380413,0.6094257016290685,True,1.0,0.0016367051414802086,9.666348048363318,hs-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,541.6800489139811,0.0007115773474154543,85.39371807435398,-671.8987962196401,799.0087596221138,0.99353477953226,0.12907525621423718,8.446333263962309,7.858844772649541,-20898.421764627776,-6923.861621746095,0.7232688150813138,3.421390778098834,-1.6989795703729555,747.3179604527107,True,False,True,198.8283640360777,85.03689916632925,-1.2167398196990635e-05,50.696322809326105,114.8120203457158,135.65509723496868,0.010101666339367307,0.4832516565045148,0.6534325682539013,True,1.0,0.010101666339367307,135.65509723496868,hs-SNR,,,,,,,,,,,0.6176174517177698,0.040548946896071164,0.0,172.60476838330968,0.040548898117317156,-0.450371027308114,53.23588922078508,84.470702757324,Hybrid,0.00695279638104002,0.5773502691896258,0.5053999400514523,0.6258775648211492,1.0978888341319994,True,127.50336433564394,4.890491920209208
39,476.899527952548,0.0024316574329194037,-146.7311762192931,769.5627094138997,-1007.4420714147293,0.9644786439104188,0.1290844258989092,5.023271139046068,5.2589672920751065,-48481.57832224147,-39239.89236387049,0.6007220956711475,2.132312333440701,-1.2473462013540644,535.7307686617276,True,False,True,87.34773805447695,-141.6622805131208,1.2233632347683874e-05,-136.45627596870992,145.65873247909968,1.9466815251751937,0.0010641964150365157,0.07811602238838464,0.6033651915304853,True,1.0,0.0010641964150365157,1.9466815251751937,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,276.73859849726125,-0.005981299945507628,-67.72769343421264,185.9020877423983,-522.3293453728934,0.99586603367017,0.12909207891587202,3.1359634392805424,2.7229880046331663,1479.3525363639465,-21653.825379222748,0.5104426441508838,1.2378221939256633,-0.4620072608038851,742.5369061230838,True,False,True,118.63665106245743,-61.767710721506965,-8.965319586511383e-06,-28.06461481286589,141.3267693704672,17.641085939989697,0.0018407318552662868,0.19174300008348927,0.6113041166291251,True,1.0,0.0018407318552662868,17.641085939989697,hs-SNR,,,,,,,,,,,0.41867048340828783,0.08686214591823237,0.0,115.26465828900245,0.08686182584992944,-0.0754295766863236,-28.192655824439825,-61.501887720699756,Deflagration,0.0018235851280791865,0.41867048340828783,0.41471211858099166,0.577350710750506,1.0023423969271057,True,142.815965733903,10.362774889668943
41,281.35691895122017,-0.006708970391393555,-77.44394257184173,169.3712211781394,-560.8762820827583,0.994682893976342,0.12909767746446893,4.694649292119139,2.1646690512373112,1199.7791462935602,-15957.314931769562,0.4865933793381537,1.5344404982360031,-0.1204306584034858,747.9929623143411,True,False,True,106.84222765381656,-65.8804888097593,1.843449519174823e-06,-41.21363767934578,145.69398648371157,7.310545634974602,0.001501355537114815,0.14199569106004756,0.6081099457708422,True,1.0,0.001501355537114815,7.310545634974602,hs-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,111.85747469083172,-0.05016548400088875,-162.47321246656048,48.3613001112325,-144.81511487974743,0.9745773628397952,0.12900906294951267,0.5119301329331362,0.3015826240364788,3942.9167272865852,-9895.90564617224,0.3990222150949622,0.1782463039060305,0.08459280706337621,706.7254167233293,True,False,True,152.74552463402168,-146.88020438018225,-7.65624794737239e-06,-17.321978283446015,138.40250332242263,21.121759420296115,0.00318773881726611,0.3746074050266038,0.6215783721459107,True,1.0,0.00318773881726611,21.121759420296115,hs-SNR,,,,,,,,,,,0.5408852329745297,0.08687510763499151,0.0,144.5933653460572,0.08687499905611763,0.22417029527762447,-18.134610197162864,-145.3840670355127,Deflagration,0.002977864827562702,0.5408852329745297,0.5185974383779789,0.5782558755877932,1.0171722737911193,True,144.68959317101644,6.098747701385722
43,115.39695050204016,0.029380562631071912,-185.19730873901062,49.05955631642023,-102.43172449724804,0.964303198163086,0.12905750242194095,0.3536650132903679,0.2634030587277043,3254.1551782825622,-6885.559099727946,0.3924755250669241,0.13231676311054272,0.08001308981407952,674.4183251939003,True,False,True,134.08465898255886,-167.97935655174797,-2.8370019797971145e-06,-24.89373752885334,144.62433354938585,33.75262050495668,0.0023924870281890713,0.4041510326446652,0.6158857114437455,True,1.0,0.0023924870281890713,33.75262050495668,hs-SNR,,,,,,,,,,,0.605598124819833,0.07023596744311122,0.0,95.89944649888844,0.07023562712256369,-0.3621170589408038,-29.247382343173896,-161.99982619909542,Hybrid,0.0019147134642418459,0.5773502691896258,0.5405362283075733,0.6079938887867301,1.0572714334542859,True,153.9003236292352,5.397975327466842
