,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
464,110.45985809829187,0.002900148032669886,-373.09933022198487,-231.4088634611988,-579.8169324101227,0.8437288521237833,0.12907385694883242,0.8883719772062306,-0.6203427308503315,50985.41275648266,-92668.46436523114,0.30116039057759186,0.11870253915983574,0.020778820187021138,586.4614135329327,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,186.42484816957068,-0.005395643797944147,-204.62615257424736,-79.14725834971858,-169.28303634067487,0.9119200955556583,0.12907868445115797,0.968620880656842,-0.38883586558215705,15878.990222996797,5856.205723482641,0.34073889490795956,0.17734924256718432,0.09005584967071789,454.7206095397473,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,342.1126468955438,-0.0006761190070692508,705.3266942767298,253.639278663122,540.7048806369703,0.8020806374313537,0.12907447838113795,0.5118872720139649,-0.35921060686068473,97371.25288214313,-126705.00014736448,0.2949049497190223,0.06810338352671044,0.0660565703691073,947.2772366238714,True,False,True,5.7520486527988444e-06,100.27043817444655,-6.614959055131588e-05,102.11447650381774,685.3510722984518,0.21316695642906325,1.1231744793538973e-06,0.000743115070087412,0.5782149429575756,True,,,,,,,,,,,,,,,,,,,,,1.0,1.1231744793538973e-06,0.21316695642906325,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,405.56931599214016,-0.004723499169682427,428.1082729815894,91.53698671152415,-186.2422499120953,0.914952852772293,0.1291014887502734,0.24889010660305416,-0.20714727395800017,28030.522030339285,125549.75591211462,0.34970577057133617,0.027697980991096847,0.08600014405051565,970.6069972077903,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,503.72251861648573,-0.00011855615454239854,641.4571991852199,-230.30244513491635,531.0901545194483,0.7248570973318638,0.1290741236450653,0.7090803043783427,0.3592088384279317,-66004.05336208272,-48902.80055382759,0.29536003155720036,0.2371382158325743,0.08358174823708289,674.9387485688624,True,False,True,0.00010440500336431297,497.49999225427166,1.6504103319545844e-05,486.29997777061584,877.7439521432208,0.2186750108361366,5.6038822548023825e-06,0.009522317047589782,0.5792798842996595,True,,,,,,,,,,,,,,,,,,,,,1.0,5.6038822548023825e-06,0.2186750108361366,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,124.92471862342104,-0.032084981029010876,511.59018796398914,-101.85780954798548,60.55145172411335,0.7087373412712753,0.12907374525795945,0.07746614038413706,0.19908987783969045,-18232.371745603046,-10703.058935996389,0.28291092084577935,0.052548181402649344,0.0011572798781397942,513.9578000633758,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,585.3782058020541,0.000342546227747903,-401.32998687471934,294.6120874103301,-536.3079600515043,0.9133923091974053,0.12907441256456717,1.6628483566499592,0.7352231106285668,-51203.257997209636,52625.82479894969,0.3882443620957929,0.5382492742672509,0.0478052727418347,900.489638060247,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,200.78396862131024,-0.004237401876460628,341.9276872491916,-164.21886344689761,133.28966534267994,0.7936394239421649,0.12907774947697392,0.3050665234675555,0.48151526873126577,-20178.93181040991,-9871.0841712721,0.32656937665651276,0.15651917565543316,-0.0609274921551857,446.042833141348,True,False,True,2.378012876440305e-06,299.78139867143636,9.88881549541416e-05,299.5678418266446,339.3725893435116,0.0028261701272640494,2.0643063934797772e-07,0.003080235249491921,0.5777211222592339,True,,,,,,,,,,,,,,,,,,,,,1.0,2.0643063934797772e-07,0.0028261701272640494,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,105.67774575528215,0.004397386493445232,238.57445590235602,167.34368758899973,750.2350597617087,0.9656600702341218,0.12907338149239178,1.8571812900520006,-0.7010963328809184,27795.219688187382,-73270.13756791718,0.3529506682660434,0.34744593369951376,0.06290643395043846,886.7359311947939,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,205.298912662867,0.004983444053212022,-63.407066500217496,3.171905979864505,-152.73497878842335,0.9800921511213068,0.12907952476219595,6.257419334476059,0.05848398876274842,7740.528009694106,15729.586643130151,0.39162323333068694,1.5741021650794729,0.12894287190425352,313.003867422614,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,178.56971902164562,-0.004011864317096742,-263.60034559676956,-164.7024196898535,-533.4608282177143,0.9539361371351229,0.12907625209805146,1.377588452428639,-0.6258225636330801,29496.81457648064,-44928.95412805019,0.3504622062427943,0.24009335250164643,0.05800025685763535,838.1657621876334,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,321.3670548200828,-0.0028985922959232358,73.91108843431908,-79.96139183335947,-58.29794151522958,0.983422579116565,0.12908016922086615,6.057190883637227,1.095817631705523,4907.231792537461,37821.42435401811,0.4364806267893092,1.6969339928602272,0.07951856942051305,400.8516400511144,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
