,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2
769,362.72331474729293,0.0005527154137682927,-106.88002774541178,403.70930543445684,31.64222429498807,0.9892958424494755,0.12907438815826133,0.6000534258188215,3.7796541989618433,-13736.551885507455,10310.330804338155,0.551200833586572,0.7799557229483459,-5.82280641488681,724.5974610933729,True,False,True,83.14338694930704,-101.7151738529137,0.00012001402276756951,-95.24322246023635,142.9576381747369,1.6690228156507203,0.0010050465913633622,0.07487402371453278,0.6026490413662301,True,1.0,0.0010050465913633622,1.6690228156507203,noneSNR,0.16857162358310543,0.17298593508486743,0.0,81.37862882605832,0.17298263115027832,0.19745265140134222,-95.24102434967162,-101.67948703702095,Deflagration,0.001004453728180932,0.16857162358310543,0.16803215682930084,0.5773502708452457,1.000147525960595,True,143.17928148415052,24.901560415362376,,,,,,,,,,,,,,,,,,,,
770,420.22421892751714,-0.0026660820794596196,-371.06862631675864,-125.80671899999913,-379.02216912470766,0.9170290242119674,0.12908353243951873,1.1892702240332844,-0.34373568382437336,30842.43835926816,22967.326552623133,0.3449564857842756,0.24002827537092555,0.10424598544084293,853.217736650407,True,False,True,1.580557313651436e-05,-268.15717611489305,9.026729574069786e-06,-262.535708734425,590.2017429986909,0.2713710439712713,7.3756281915625125e-06,0.003563915018405717,0.5795634570274717,True,1.0,7.3756281915625125e-06,0.2713710439712713,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,465.53482437757447,-0.002403001403361499,440.4752584335928,13.391861957715719,378.4839617790052,0.7871839977266532,0.12908367370350607,0.9905134350906466,-0.025947661464234134,11205.955879493187,25600.099065581802,0.302876827772049,0.24330374852862263,0.12891374134529407,562.2260989911003,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,647.3507207799348,0.0044969883482008505,398.02944459509877,138.74524170014456,686.5047730836238,0.9256924173238941,0.12914139169607763,2.2182660332964166,-0.36709285118121093,33973.734531867616,77624.03005829292,0.3480032551669705,0.493384366460569,0.1139541734628235,974.0289834413215,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,272.213809693405,0.002204876563666705,383.6680412716037,85.09999787730811,134.13290862958598,0.7814642435065806,0.12907644009364594,0.4493337963783515,-0.22317073401114423,24048.549511434732,14638.596904271204,0.2924125123449302,0.07513832675939718,0.10136587340552643,480.5238283256396,True,False,True,-2.9351861516242325e-06,323.146243351747,-2.3193141050429333e-06,322.0190824821393,466.5852482740973,0.017066054837130196,1.4217105882027093e-06,0.0037507694352215126,0.5783230018492059,True,1.0,1.4217105882027093e-06,0.017066054837130196,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,369.08984969714976,-0.003935025314549728,399.7765545022396,190.58620451604065,57.232736593545155,0.7654318220601402,0.12908949748013362,0.5429632329154749,-0.4719110962121459,46305.86286290391,64042.88272709658,0.27585473686554746,0.057088958860177744,0.026550287996119748,475.5145517940945,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,531.6597407484032,-0.0014000729642885401,416.62618095339826,-641.3996585333032,583.1718120447581,0.8794433059270117,0.12907841351641028,1.379695860274035,1.5431533728758147,-125471.6188706342,-3370.20179857553,0.4066938779583988,0.6021161938811446,-0.3024156571668607,769.740123763477,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,433.72943256888226,0.0028259003188239734,590.8875544015868,-351.6562498562365,507.4110993007482,0.708160306300406,0.12908545737480587,0.6729321163833413,0.5917819605533859,-96655.08460991492,-64971.47084561149,0.29907454714407544,0.266863355854733,-0.0010190064746025407,592.6522391406395,True,False,True,1.5227173731979535e-05,456.75254591755254,-2.3082906148070458e-05,447.0021746661753,795.7840281407279,0.5747587463670243,4.307769988782305e-06,0.00963009265089605,0.5790424326543253,True,1.0,4.307769988782305e-06,0.5747587463670243,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,137.52338121968347,0.014561394768299055,253.81621648602356,-35.914180797225356,134.25362619675496,0.7958832450382691,0.12907980655532836,0.37796756775750495,0.14073604656409858,3241.794767198704,-9749.123028391128,0.31326292206307316,0.11794789970005934,0.11597905632429294,333.64940217900505,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,573.4834098593967,0.004015282893929453,-582.5564808201556,488.02106861349966,-189.3149989067366,0.8263327179066502,0.12911575372649822,0.6096197167002857,0.8464923148468625,-132835.63967485266,96866.98353542283,0.3550363120646931,0.2934869816495485,-0.16473515835246796,854.7596905697644,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,138.58107577950705,-0.02943035603813178,-444.7595274487117,-110.25629972011393,-127.67551026602246,0.719371660738558,0.12909950393168285,0.21105930977537452,-0.2488564498177229,32249.557663663472,-15063.997824574348,0.26805611170395083,0.011288752474223146,0.0557438999052708,460.6042489926248,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,127.52540307689792,-0.06508561611479316,77.90393291565067,47.02273569399756,-52.07481592248922,0.9626072889224407,0.129095563531791,2.5124885616057226,-0.6015171860426607,9663.000589546773,19368.277113228138,0.35563924576451433,0.5278692760609872,0.09309311852230595,276.8205635372324,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
