,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
903,732.5982967257878,-0.004057313429803228,-695.1135663044672,-262.0753175893383,87.49668634109435,0.7577804529659079,0.12914484993317946,0.504258499777261,-0.3893781584400459,95929.72334051483,304094.8184277271,0.27640762066796876,0.0611682652043076,0.05397737613891897,807.2578070886934,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,133.62700825256326,-0.006454569053810005,185.35347625686313,137.04530321349972,212.2723929892931,0.8497058747912019,0.12907485506020364,1.1586047372746486,-0.739060326314352,20530.07795629913,468.9631416814955,0.29874474759275105,0.16647446326627013,0.011215384017320099,298.70811142058204,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,467.3303701905283,-0.0032785024353566145,310.57771752028793,263.5570461994985,364.26206362252447,0.9285034680421246,0.12909207251785795,1.8518113564544785,-0.8399094480815599,49171.578960647195,65754.76396698518,0.32958096370917067,0.3229679311000263,0.033854525977569744,776.6066837734895,True,False,True,7.703243865241776e-05,185.60578219033198,-1.5728908579810427e-05,181.1893697449002,584.6757742655356,0.008409888131723164,6.736918697175333e-06,0.0015573193547815582,0.5794656399029512,True,1.0,6.736918697175333e-06,0.008409888131723164,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,104.16983549713507,-0.006851963370133191,304.85547458773954,-24.097724641384843,6.941093320289781,0.7458374129256046,0.12907223861992614,0.05687696858149357,0.07860855267891827,4130.134224196786,3156.666967509619,0.29138131921355115,0.02732066759185977,0.10191140046176844,341.3347103762163,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,130.86351071639334,-0.06562083263501411,-189.5486709182266,-53.48599519131443,11.139180469101689,0.9475319090101746,0.12912651096770547,0.32786385114271516,-0.2842475069041124,12858.808944373202,13828.342260504382,0.36167527092304136,0.03459137830166006,0.06751812924187622,561.855537101259,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,124.28625610485925,-0.02415213092243744,-575.7861438886331,236.87158068487918,-5.980903061129084,0.7324007853549511,0.12907313178269003,0.009686736134580544,0.4114222582805713,-60364.332902196446,-231.24598456087006,0.30028336949558293,0.07099206041374034,-4.239484870030136,619.3603617067173,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,516.5569819055219,-0.0035165290442055186,-278.0215295197654,-179.35673405363877,84.72138697337903,0.9136045818708876,0.12909971796974665,1.7001233989706015,-0.6580224769075957,32259.097534587396,154575.96396852605,0.3303020706963368,0.31536043692471777,0.06542881320221942,624.6909880002024,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,121.17071165138418,-0.07107577204281196,230.8965598161202,65.45618307463985,156.9937498717395,0.8555870138851727,0.12903394396637535,0.5582876856076058,-0.2846897364489612,15346.06427960008,-6521.652089337193,0.3201636661254611,0.09212363199374124,0.09274071731604583,381.6259163752601,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,501.74160338204996,0.0034665484854073114,-665.0066426841794,250.11467642713887,-520.1311383721195,0.7424988546486933,0.12909749935829481,0.6628095942942281,0.3811073926610891,-74233.45676159297,-52622.33207315374,0.30275584357409163,0.22922029735040522,0.07431447947171985,737.1331428462797,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,607.9196101486342,0.003492971846111123,-435.82039025128915,392.1684615014942,-230.0266571566604,0.814145754923374,0.1291097153811054,1.1649520181560742,0.9113608843551744,-76537.42333770503,121369.1714938299,0.35273803734903286,0.44313148526488094,-0.04913339004037662,611.0649544240803,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,335.5220152531406,-0.00259784871585389,-135.46756216549988,47.331468224685295,-56.40323257180097,0.9616563570416681,0.12907949198803942,2.9868477178419868,0.34184356820846373,4548.866860553663,46943.39565894993,0.3944804471744456,0.8036858574952407,0.11929852588559577,475.0037861345244,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,330.14543761760086,-0.0051851695669989095,230.09781447392027,98.66676594382636,44.86062870712021,0.9233968596270128,0.1290947985643613,1.2495199418935479,-0.42025956241545254,19402.693972792684,56092.45131682418,0.3447035061858709,0.24233672507081155,0.09375760748000433,553.5325299441693,True,False,True,1.5325978571028927e-05,113.8159522643958,1.1977639644103659e-05,27.679161923704847,465.1414804239356,36.88503361704903,6.258374303045287e-05,0.09263759600931365,0.5837733329149807,True,2.0,6.258374303045287e-05,36.88503361704903,s-sym,,,,,,,,,,,,,,,,,,3.7705863714977485e-06,146.68000052646863,9.294457807270217e-05,144.64489303617864,439.94184967038234,0.022005137874771208,4.27248151215175e-06,0.0014652126123092268,0.5790354976330189,True,,,,,,,,,,,,,,,,,,,,
