,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3,h_low_4,s_low_4,h_high_4,s_high_4,Tnuc_4,dT_4,alpha_4,vwf_4,xi_J_4,v_calculable_4
537,508.3872264137741,-0.004578767953259316,-301.9317925624882,-21.91243892160105,-140.36772779283035,0.9571743104771618,0.12911608690580492,1.662045576599298,-0.08753002896800217,10452.619681289252,108681.9895086914,0.3744581059840035,0.4009230559884908,0.1279636657449461,998.2353474015463,True,False,True,2.568985871379757e-06,-172.08945957097615,1.3097124852142126e-05,-159.32413494887143,638.8473781168659,2.047894688354745,1.5005016008381853e-05,0.012138681299369264,0.5805044006547526,True,1.0,1.5005016008381853e-05,2.047894688354745,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,465.26892779289665,-0.004059267348478168,-261.2983036279521,-70.62194988637668,408.41767137649936,0.9539788408942094,0.12910139275488655,0.8637212574417306,-0.2829451826913726,16619.50801231354,165306.9211500621,0.3647817028958444,0.16877278391187053,0.10592899317617896,831.2595118169131,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,512.8631487965786,9.260088286655588e-05,286.756964170914,-560.842349597599,753.1032197615818,0.9507711166747523,0.12907411353857268,2.5520690603140044,1.9554862637775714,-72602.31033180976,-6111.919916376915,0.4565085620811675,0.963931642374763,-0.24551670252581248,879.785506465264,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,753.4551473886532,0.002303241637787362,540.2231371467558,-622.9433030738855,504.66712702451696,0.8785103336703908,0.12909825333634273,1.379820785504685,1.1435623294158748,-161833.9585551764,129765.73789371617,0.38964414056399166,0.5355489179454836,-0.10784099540470721,993.4444573222422,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,107.3431839873178,-0.008367896517013154,163.92297038293054,71.5040535111441,306.8954495471247,0.9076931291815312,0.1290717135292848,1.3965046790374775,-0.43706044624036067,13672.697625886653,-12808.01911295734,0.3368031909408775,0.2762827620526426,0.09487529504691306,354.57457503468515,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,140.56924874969087,-0.019822646875196387,-235.37202915913173,71.71509237297164,-89.44640992046027,0.9419894194485323,0.12908742312436544,0.2849912603965375,0.30328194713988155,-654.2562100331361,-5307.290647981334,0.38351795786000037,0.12179480628911463,0.04840079142469787,660.5775966764022,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,801.4923927275632,-0.003252873779824611,187.99907349463956,298.59522273268976,-83.05720674636586,0.9786115520880528,0.1291287996492605,9.547755748796027,-1.5442339748666662,36673.26127709524,354402.15232009604,0.32414294192064297,2.1295666080545623,0.06668850918013089,894.3265865999499,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,197.41951593431455,-0.007534941328311451,374.2744991849355,-16.49841403824246,180.52408359708306,0.8823449905701052,0.1290850205898099,0.3755056958053402,0.04598845943777515,4870.544491893086,-14906.388938520675,0.34559334861292884,0.10154116719096425,0.12767696045577914,701.7361333062692,True,False,True,1.6264436819473756e-05,334.1698251502603,9.994817479603149e-05,333.8825693796149,337.57734379268436,0.0030383189547364964,4.296200072167069e-07,0.0035647582522177635,0.577885197079037,True,1.0,4.296200072167069e-07,0.0030383189547364964,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,354.0587555506355,-0.0021723629243218523,-357.8470857189604,-133.81733177949178,-74.81083855714456,0.8174616480663598,0.12907836679467918,0.6382489419293228,-0.376656311607078,31593.880365525976,54877.846324960876,0.30040753884063043,0.09678618354781769,0.07350836590889692,507.87306543405134,True,False,True,-1.2332344611164112e-05,-170.7667730682998,-4.68344012772159e-06,-118.19245491078729,657.8016582797648,18.085200962553813,2.2567605692438034e-05,0.03980799103462859,0.5812160157401609,True,,,,,,,,,,,,,,,,,,,,,,-1.0794837210434289e-05,-278.4148889903443,6.18366557284352e-08,-275.90765887909885,541.4308995229267,0.31799111466045815,3.5168469127448624e-06,0.0013821623104580745,0.5788794345141546,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,352.755165625696,0.0017137738024663174,-421.03979412693894,151.80043553692292,-169.25646731822906,0.8579121155276073,0.12907673166939718,0.5211485914202239,0.36233558806984884,-23973.678723487967,21177.161501102688,0.3481404634086161,0.1906764125333641,0.06609705536242384,703.031587042585,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,127.81967269023515,0.028738777883547312,-199.18908642221447,-9.494392442254991,-41.319625881528935,0.830262103176513,0.12907879808726627,0.32780681179032417,-0.047260879572464866,8777.650186054623,4787.994861111538,0.31940546763296235,0.07407488968550356,0.1273753628186669,296.7117212440656,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
