,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
596,776.5186939846342,-0.005568832529186343,765.2363208895997,-9.291807060812289,167.3553463285955,0.7710213920281159,0.1292243419676626,0.623871363832174,0.02950267423093375,9360.61861546986,237790.47959196675,0.29896142773010714,0.1608849533298658,0.128875548996372,926.5154032762232,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,341.56195557496807,-0.002800379371585976,-137.42610522348218,590.046106011677,-694.9593770611791,0.9891356550918372,0.12908063067409267,2.172085216267067,4.285190952183263,-32798.67050775786,-54737.09663950559,0.5721887563002487,1.2572197960973106,-1.9844254784729056,924.679271199384,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,782.7050684662022,0.0013580043424127608,-782.7379438143552,109.15953800599618,-703.1661598459328,0.7827299099967183,0.1290831774975168,0.9456786863198218,0.1436654380159523,-33608.63172249703,29129.840893483648,0.3081956585790343,0.2603639112492808,0.12362684270355084,984.4316522297402,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,394.95501686500796,-0.0017857617200058157,350.96548574648943,-256.0583639518829,80.56894490816615,0.8502771561856461,0.12907778775400702,0.6582178966313887,0.7324831475598353,-36931.21536441256,52888.14002818738,0.36030331752019423,0.28663499875115306,-0.07470410734676866,566.973151537929,True,False,True,2.4674734215740907e-06,251.06443393868557,1.4662781218324737e-05,242.68490334928313,654.9426696713361,1.1972096558962448,5.474589743726516e-06,0.00974597523643884,0.5792575315731636,True,1.0,5.474589743726516e-06,1.1972096558962448,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,118.40691345094913,-0.006135871210841984,-105.46974824480611,-78.4809880169442,-401.0743154011763,0.9698884366909323,0.12907359066813542,3.5452300342158254,-0.7437244707828761,11964.547120907377,-2852.8831111886393,0.3532206525368865,0.7623534300901437,0.09006864013580587,420.0125078473277,True,False,True,349.170258850997,89.68318298779744,-5.461109248596577e-06,-71.34257016350313,191.72976986637767,38.65310813365821,0.009036837533350217,0.38983276327761296,0.6496220640621534,True,1.0,0.009036837533350217,38.65310813365821,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.48842964433392677,0.044595263005586305,0.0,327.1532404583531,0.04126348573992192,-0.19254736057857622,-69.18329560639518,83.17714344160494,Deflagration,0.008349877421746863,0.48842964433392677,0.45894133153451633,0.5774446100862572,1.019962239000559,True,201.04429659293655,7.283405576173076,,,,,,,,,,
601,594.4869404932407,-0.0004928313512090748,214.58847390051608,-484.58581584265266,427.860278144477,0.9523279934130139,0.12907477275893403,4.091238668052699,2.2613607018195254,-44096.92584492844,96675.83811911196,0.46999438262687177,1.399703117316429,-0.1834071330062753,669.8612179027323,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,512.1867021639575,-0.0042935866688403185,549.5068237152816,404.2601591295588,634.9019363848577,0.8654697374261804,0.12911160881781017,1.0490043349187117,-0.7278492326087287,120079.88580626222,-31890.685963777833,0.3059897015624203,0.14094287829488983,0.002857481981869303,949.338027075783,True,False,True,-3.1240891849202324e-05,433.3164017041605,7.57964513374363e-06,427.4074724711495,703.2430290633804,0.060131175694777994,7.69183041075515e-06,0.0021740014205623333,0.5796103078021723,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,618.7135450871174,-0.005755577386297256,-547.8921877424598,207.35310622590714,-443.64537041635367,0.869704593673735,0.12917442377770838,1.0233563169323447,0.3627903208622496,-51325.05133658763,63652.468333206925,0.35330147723449057,0.3163041327101278,0.09702120042489953,965.4189564566329,True,False,True,0.00020465792604946917,-383.99315273093566,4.1638523289232455e-06,-364.3798298011907,967.7124037778503,0.11170342355205776,1.0379485406863759e-05,0.01652003942396586,0.5799747939077167,True,1.0,1.0379485406863759e-05,0.11170342355205776,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,114.47666123333936,0.009601191945013493,-43.88512787157049,18.596845274149587,-154.8970889416077,0.9975122601746403,0.12907216269586494,1.8328463029090762,0.4215026151505177,7413.398809279973,-3336.264423175242,0.4153578495242941,0.5284620115856886,0.10483875394021286,620.9954300714523,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,193.00344575371173,-0.00640667772934056,519.2868257158616,10.384457856940799,115.47241077804767,0.7910338060001947,0.12908141019631236,0.18137515285891673,-0.018915017170243624,10666.409065090342,-11021.086058811568,0.3046876818535946,0.04219128535302191,0.1285882639895261,671.4480869215952,True,False,True,6.630278681273744e-05,486.57527173894147,0.00012211244875109687,486.3468853481855,366.6725731169563,0.007227154841643824,2.3445556502760282e-07,0.004092855494845655,0.577745486443581,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,136.84883790684623,0.0005321030206126148,57.621748281154964,98.45943468408433,142.99011472378834,0.9838191645153087,0.12907410323413662,11.85951673616301,-1.7088355442029373,10660.265075628307,31133.90699742546,0.31981208963758945,2.68007326000693,0.06751765489617267,316.40999749961026,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
