,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
424,126.25954898695429,-0.0260151375468598,-302.62069188736996,-82.07841706666414,-255.7366628179944,0.7199741225358268,0.1290757367991604,0.5544516450500192,-0.27132799450222533,20238.46924674376,-26618.031111473458,0.2673247014877061,0.09339157884546725,0.09588128185532208,313.94637097593653,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,298.6150407669493,-0.006280679289573182,446.670906201463,-4.457718418592663,701.7792916999002,0.848625642502122,0.12909801967822757,1.0082704987764934,0.014178866019832587,7248.518549300104,-112172.14616765555,0.32968264811338516,0.2544307690307621,0.12904817188394707,716.5610100335206,True,False,True,5.550029091461343e-06,88.80929861171016,-2.0648605086310656e-05,92.55021837347354,479.8486132260348,0.2203958195268001,5.412115145467867e-06,0.0024355075910957764,0.5792466357680727,True,1.0,5.412115145467867e-06,0.2203958195268001,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,106.33558284706913,-0.009850591854207488,-322.7262664984179,119.10542278878756,-13.319885492919298,0.7305579524459277,0.12907062212340095,0.021224532517575577,0.3695982623851094,-11367.660901459818,-2071.787288812544,0.2978654510436535,0.06690584352691213,-1.4799503945347312,345.27348444948734,True,False,True,51.13102143916015,-290.9688202611442,-0.00039132912144229344,-308.19592955042276,158.81510614420318,0.9987661989445655,0.00022871153059505638,0.05376973181469502,0.5895655972684707,True,1.0,0.00022871153059505638,0.9987661989445655,hs-SNR,,,,,,,,,,,0.19189518581595713,0.18973441776127517,0.0,50.23728577247489,0.18971522727486462,0.1602838702357857,-308.195106578504,-290.99362234129273,Deflagration,0.00022867366147050978,0.19189518581595713,0.19175264742111375,0.5773502096256838,1.0000413982668686,True,158.93627340837816,30.43770608723977,,,,,,,,,,,,,,,,,,,,
427,214.49622344271936,-0.0024270509208244723,136.41840438140798,145.65016570360888,51.65801363836772,0.9671908585382749,0.1290755713007437,2.2948367598487045,-1.0654784169598162,17778.940098730927,35726.258464999584,0.3385088727324577,0.39612945380220677,0.005401822815683591,519.3551790339232,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,128.19497840492068,-0.03943588775410021,-616.1325877335358,-245.6422771247111,-379.935053599076,0.7455581944703439,0.1290841797428897,0.3458808069511241,-0.3988883606325856,83459.70391189083,-102793.50524901754,0.27138747875930036,0.019988808299016766,0.014079298689576775,689.2778570545286,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,121.65861065853035,-0.05859167370840639,-129.26777365702023,95.58712894375418,-126.96167606884336,0.8907037866145671,0.12905014670889384,0.26346499409226654,0.7410057761319824,1657.1285678517334,-11962.37774196242,0.37824010481107173,0.18936721121173036,-0.39197690866213974,253.28487868004186,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,685.3393373351339,0.0025598172725213725,-693.616462992276,-146.9144114281862,-687.524694329358,0.7678481626343755,0.12909863789596412,0.9904149937026855,-0.20500322562839407,60413.580859475616,-179.7589693652526,0.2879067000074558,0.21343654415427235,0.1184903770191447,831.3543979746235,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,140.7907160497827,-0.013540181793417025,211.326124557988,136.32969134456903,178.60586548546064,0.9402477837085307,0.12908040884957586,0.8634033252774952,-0.644028915464015,22253.40501099425,847.3331277122343,0.3432236218847318,0.10851267874203797,0.008982063206637636,583.5658911331366,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,70.59481408521627,-0.0006899443778165121,153.41605700676314,-10.429642060306264,102.3992058171226,0.9678275867829544,0.1290740541671745,0.3958311220439453,0.06778793625719141,7021.421875889035,-6399.112111451288,0.38603556577424303,0.1102557698871849,0.12617180365799213,590.1106767062865,True,False,True,23.9745839289728,29.680111558384656,-0.00011314716092653282,28.932995153356003,159.201908436552,0.07171727596769983,5.089961692507788e-05,0.01438847238912168,0.5831460202019282,True,1.0,5.089961692507788e-05,0.07171727596769983,h-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,95.98420703718004,0.012331775451139365,290.54218283112476,-37.6767295527232,51.998461531660155,0.826004984057045,0.12906602479381377,0.12078180482899399,0.13078649242596482,2396.740754686347,-4878.363301737507,0.32505498991516873,0.0519931999449093,0.09366105087140714,425.76747255779077,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,371.0094808144227,0.005467534389490547,-373.3244143432541,52.27920398091055,-141.64467373265882,0.8715469636674706,0.12910417995403187,0.6682864962294919,0.14729414499000282,-1427.2507824880613,40480.367572273564,0.3450893553998397,0.19162064822237343,0.12098806311239901,663.5973372110329,True,False,True,-8.180520815541049e-06,-290.1326789365645,-3.831880821175434e-05,-285.44695486108503,579.4397241635272,0.4081851008028252,4.8675072502189295e-06,0.0027713206952713226,0.5791488464496758,True,1.0,4.8675072502189295e-06,0.4081851008028252,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
