,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
0,504.2622524116074,0.0006187082326520876,406.2115539261746,129.8570813860756,-107.5332295958641,0.8607862299478882,0.12907484956255788,0.6675066795396747,-0.3211547576030163,34076.72227444646,153780.32401592535,0.3208956918768715,0.11335087695108262,0.09044588093479083,687.0023833408951,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,327.9900169989355,-0.005744744991545425,116.64028479505123,47.88859463877304,525.7520113483581,0.9840169939700751,0.1290991218210067,6.66453499680796,-0.39217651654552566,10743.238157586657,29904.19087738976,0.374782715738659,1.6007709964444026,0.12332968628636519,644.5390648104012,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199.61271745438174,-0.0003448825648200843,-70.34290174462492,-127.68866232465288,213.33232944054063,0.9641358482674158,0.12907411978213565,8.069062850164773,-1.8157135387323415,12313.558805929173,54918.53283452755,0.3057732945012128,1.7146467894191364,0.026930422429827863,255.53033709454988,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,597.9118238957047,-0.0011868570928436767,-412.95740915964484,263.3523784823183,-42.528819836306525,0.8836247883305559,0.12907806820720769,1.0429985332257856,0.6337322248401261,-46892.93194991087,160182.98978321915,0.37064421702207423,0.36637167077980076,0.03281318383611066,779.3736393865015,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,37.424912902664595,-0.0017191908660738608,-110.6233392135583,23.010185533353535,-289.1622043476043,0.9512081473379935,0.12907374869507682,1.1066253851859946,0.20890410757021763,6556.503865493876,-18418.479301355957,0.3839419289655855,0.3114736975582016,0.11921473797114196,341.03336506518434,True,False,True,-2.2764254748586583e-06,-55.3560289833991,-9.345198115751081e-07,-57.25240474420403,231.91489963374704,0.19707274882378556,2.7984250449714405e-06,0.0047557442608939715,0.5787145283655158,True,23.828589087131824,-18.39853199438597,-0.0017463003632843662,-17.955616133884924,156.89853658058038,0.07642042940798888,4.992776317396039e-05,0.014643733634614879,0.5830907033977198,True,245.46658999979343,-106.28226744701263,242.31268014597023,-66.19148472309126,39.13666156077797,46.36898428889707,0.0015449186650161157,0.5056565385415165,0.6085400566095298,True,3.0,0.0015449186650161157,46.36898428889707,noneSNR,0.6074786731690902,0.039934913590948445,0.0,245.2223683066281,0.04135703592547387,3.514209721074496,-66.04004325038079,-105.12068398965336,Detonation,0.0012557613850677544,0.5773502691896258,0.5477012855466523,0.6077173173418297,1.0531727752491709,False,42.174638181296125,0.5209730658892874
5,328.29780869607794,-0.0028971001976476896,522.4185341939731,-791.016613225067,200.19870159876518,0.8372499883190918,0.12908047470783415,0.30499051862247495,1.516218694659495,-198513.54306754514,-21286.262591492596,0.38746438394521937,0.32895074543220126,-1.755338047889424,799.8878233563369,True,False,True,3.6560436954496407e-07,446.5222910645792,6.983443763233793e-06,439.70370916175307,675.0495645450159,0.7365629467485633,1.620356371189068e-06,0.009609862609985836,0.5783886780412952,True,,,,,,,,,,,,,,,,,,,,,1.0,1.620356371189068e-06,0.7365629467485633,noneSNR,,,,,,,,,,,,,,,,,
6,115.20467824004552,-0.02913267637541868,411.2907254502626,168.41250967571955,249.76540284362568,0.8349850568233945,0.1290574708445862,0.37955271276393787,-0.4101561705985478,42398.228216023315,-38541.73414381989,0.3062403881723556,0.02652881642455983,0.018250672063586423,624.0935821550253,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,272.90563048877385,0.006686186789057635,-184.393365296016,119.9203099833727,-608.4962600910269,0.974943226520976,0.12909579021401887,2.4553342299057515,0.6590147084662324,-3083.8895564235972,-28456.477948209013,0.41413689693996203,0.7236693422208099,0.08487570189721322,808.1365247409749,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,131.23781589498762,0.02889792204298064,266.88518066489826,145.32801806657943,317.9403541962731,0.787236235537498,0.12908494836652123,0.8323933363658076,-0.5452265357339671,27192.69024847489,-25585.099333260965,0.28126140640890157,0.11722724480245739,0.03980264567344012,340.7137981898553,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,112.11509026702039,-0.006981139266238806,59.91667094994051,102.3844595527346,-237.91661371605483,0.9860032403021606,0.12907285876101648,6.97814274225759,-1.7102373249307259,10888.33265091765,39262.61405391545,0.3208286202253949,1.4594961314092765,0.024284528412247736,354.341719166758,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
