,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1
89,582.5703652763161,0.0033838319302845338,317.82273014569637,-717.0829437400969,157.24436628644366,0.9444589234452206,0.12910467390480598,1.5888329762579876,2.242235497559647,-106834.10383364838,110089.92843177727,0.4654809624482914,0.770914160324438,-0.661982259341882,913.4010257092641,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,538.6736394297154,-0.005367455032186677,-395.1714246388476,371.52428201899056,-230.6570181284817,0.9287460051465165,0.12913933445152617,1.129661201233409,0.9250149944114006,-66762.69023793319,84800.34802514817,0.4032557260905516,0.4365844660435857,-0.06022114348462132,990.0117807496154,True,False,True,-2.3472079075004738e-05,-233.26016093655352,-1.1324361765339624e-05,-211.62703530879998,900.773043446833,18.626846490322805,7.953951153550146e-06,0.02262521440779499,0.5796484173373835,True,1.0,7.953951153550146e-06,18.626846490322805,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,681.7274348893483,0.0023684086940563426,-356.25039532030564,-291.1037072297384,-240.50846865826628,0.8971937526767442,0.12909487644861484,2.2660796370026213,-0.805005141051528,60447.474659247004,202284.3145925251,0.31674619671978194,0.43235238574206736,0.05760210248143928,723.72904044092,True,False,True,5.938343752360911e-06,-176.54682077979078,-1.987615344310628e-05,-165.82537900689857,748.8012547739057,0.2438840294549891,1.2864451303992999e-05,0.006062045128562009,0.5802713647761526,True,1.0,1.2864451303992999e-05,0.2438840294549891,s-SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,90.93086427473762,0.0020636579042448144,36.46737122201148,6.251394463226234,216.76719553813888,0.989216933864339,0.12907383681882928,8.034165531462211,-0.16972824329042896,7938.852081477739,2830.862703124396,0.3866039257453813,1.980253342317148,0.12817742522332373,246.31099121714692,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,124.48363389153907,0.023098541528342426,71.90727930092345,126.25720114844353,30.382451626045963,0.9672026629430972,0.1290734301245469,6.855551071156195,-1.7556359985893297,12363.629890947414,33268.96447591724,0.3097569448341828,1.4212817680241605,0.01667335726567286,273.80822962660915,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,270.39244487919547,-0.004406715009208376,-258.0943371820986,-29.57056647075717,170.8366455560768,0.8729596265397962,0.12908330098462714,0.24388272903047672,-0.11855783963621563,11507.579631151573,60216.87632819936,0.3346178498116732,0.04121104231824991,0.11467477624500717,461.8889213029095,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,694.6683594115243,-0.0016806986354512832,803.4679050466777,346.0059257638609,107.63191301051302,0.7584290027266014,0.12908497563044044,0.4508430746379863,-0.42667354365931004,148107.23951225315,204688.00306153478,0.27506954345237594,0.0415985113829449,0.028135042549526326,934.9720976437736,True,False,True,18.897426378452096,803.5624148483885,0.02704971421947419,803.5655504816337,159.52444164608056,0.012780608966664886,3.6152016122484806e-05,0.005872706918040763,0.5822386651737583,True,2.0,7.171800810298063e-05,0.14503230750588614,noneSNR,,,,,,,,,,,,,,,,,,55.210745598012224,803.5439067777021,46.782868513475435,803.5506564359694,158.32077446821077,0.14503230750588614,7.171800810298063e-05,0.008587954327450345,0.5842233643492832,True
96,359.75527325015327,-0.005745837746446408,657.132697295506,-546.9010351927863,56.34290610100777,0.8105972444375351,0.12910508077900235,0.16351774828580481,0.8362942548262258,-170995.21356493764,33708.48303457211,0.34816658942510204,0.18026181287582216,-0.9401795809583362,909.6076958524059,True,False,True,-3.5088188529118085e-05,600.2626924181666,9.844137359317372e-06,596.2661415491971,694.5032639932192,0.02609324157458559,1.458878748079456e-06,0.003132921232316486,0.5783356242109149,True,1.0,1.458878748079456e-06,0.02609324157458559,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,140.2319819692148,0.01030425892144518,-501.9835675905907,-155.7436295844795,-343.63428698376924,0.7108026427750117,0.12907761462526082,0.3999530844078186,-0.30992149196552865,46956.53882682084,-71705.43557725422,0.2624369929701288,0.048334689107699884,0.06903849070879231,507.2726158930344,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,380.03726268332673,0.0020449581848055454,-555.9264385814901,-172.0242878511554,-494.1114181732288,0.7748506511739303,0.1290785383961651,0.693236907760211,-0.3075130351071253,55937.77470191435,-60383.5051785276,0.2863260908868618,0.12205705442219852,0.09497610324656916,681.426589977197,True,False,True,-1.7843573239200952e-06,-464.4760990278219,-0.00010412268533715324,-461.29056906469054,593.066474022921,0.03705311933208577,3.7692551607959895e-06,0.001974958111748814,0.5789332845004497,True,1.0,3.7692551607959895e-06,0.03705311933208577,noneSNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,875.9619375069004,0.00585082681308173,-419.69931839267576,955.7103811867621,-868.163299383197,0.9214738485150545,0.12928634517192392,3.016328669206947,2.3196913099596306,-188970.44292808417,168241.14400308527,0.4580769724539765,1.1406973856283418,-0.3167001804706042,995.6274975058657,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
