,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
20,594.1165849057583,0.0015088398262612657,140.8260055022646,-672.6802549535483,741.8928898498109,0.9855897221440942,0.12908043081221288,7.883328684770217,4.761996499476494,-39686.86409879139,51419.17057786658,0.5903049932287221,2.7644982544386365,-0.5900514095496913,820.5368526841105,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,340.65000339733825,0.001972345833078523,-123.81397592069925,-114.5480380443704,-195.62707078942537,0.9677518620524529,0.1290773176374029,5.489353937491749,-0.9186665742753034,14965.06370009897,60126.756106602115,0.34489828342913814,1.2192273886603866,0.0906416344813835,475.6595252228525,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,126.828960067673,-0.04196897210559565,-244.29444240718908,-63.083307328100204,-62.44342233582131,0.7959892147094542,0.12908045734276996,0.32813062421509126,-0.25853186308104203,15520.479369056447,4318.92699596633,0.2966692571051951,0.03894401220693248,0.07815658793250307,321.2494142152727,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,158.7686195067425,-0.018824822671713634,167.26511380920124,-132.89158913385882,368.2841897595024,0.9780576164192857,0.12910203825104977,1.1210067208821268,0.7988658414134541,-3227.497238284195,-30105.583721817413,0.42148775302210595,0.41339598712277403,-0.01322240563699248,785.2508942216575,True,False,True,-3.88902980205689e-06,62.89004436903204,-8.915103368231665e-06,63.185386411227555,272.31012939559963,0.054598847439422116,5.422026507888075e-07,0.0027185699040235423,0.5779511785170166,True,,,,,,,,,,,1.0,5.422026507888075e-07,0.054598847439422116,noneSNR,,,,,,,,,,,,,,,,,
24,132.90473860196556,-0.06099493091349093,-264.1996570061959,-154.24627794815223,-398.2715144697671,0.8972766653806764,0.1291358931344109,1.0069522952702898,-0.5857105818456478,28137.58706198723,-34993.61510578805,0.3259411744615469,0.1541196435099645,0.043963813161674276,536.9807731473909,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,720.55314337972,-0.0010589855939096005,422.06786994502545,415.8504260081347,649.6778177097065,0.8896570589858662,0.12907875421619383,2.3107084889322147,-0.9801373879849048,96039.67213591725,137579.97867161952,0.3060742218383147,0.4143208909022362,0.02514209323891496,822.320556450273,True,False,True,2.797327607068848e-05,210.28205541387814,2.9242633604966207e-06,202.65135292444475,857.999802506063,1.1959453235400588,6.290058848007923e-06,0.0035468189215409804,0.5793944070114777,True,,,,,,,,,,,1.0,6.290058848007923e-06,1.1959453235400588,noneSNR,,,,,,,,,,,,,,,,,
26,319.33702646020566,-0.006401355779836249,-622.3301500698876,77.46720983997659,-442.63745501997266,0.764306672821803,0.12910327613851577,0.48240590463358507,0.12087261430065876,-16977.989101376777,-88742.63593980327,0.3001306514405125,0.14074691187517274,0.1215317535122675,737.6117241281628,True,False,True,-3.0096878960551693e-06,-546.903155953363,0.00013724635457633072,-544.4136610073353,524.6511333336072,0.3710934552528897,2.626073786200989e-06,0.003173508383075359,0.5786718983570884,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,142.92802254630914,0.024613835418462293,-126.00770449069347,67.62610467544096,-421.9320395459131,0.9648890491672334,0.12909798380409418,1.805235981906541,0.5404739604485524,3594.598767347614,-24388.341590972,0.40432294146685893,0.5413879888847274,0.0886445327247457,462.89678669966383,True,False,True,170.2547761736844,-108.42158856433437,7.5434845363835176e-06,-10.586060211842376,130.26884262698687,13.012996266207509,0.0040456447954880384,0.33319153323244244,0.6269049527571082,True,,,,,,,,,,,1.0,0.0040456447954880384,13.012996266207509,hs-SNR,0.4957055106161408,0.14815910536461765,0.0,165.75915053887562,0.14815903831184568,0.5251657918159164,-10.93371414389404,-107.15703035062175,Detonation,0.00387522387961336,0.4957055106161408,0.4801960117988366,0.5773521984488956,1.010817466956386,False,134.554395304444,7.5453869559013595
28,166.70330259170942,0.012882174561736973,-97.85762565496611,-8.824948265481908,-169.35350738221905,0.9880119821726485,0.12909071698679936,2.45891259607914,-0.08368969647785685,8287.638928481323,7171.046181990581,0.3896016889480806,0.6007798662734756,0.12837861712325357,626.2874323159299,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,688.4605979033757,-0.0019574903906946356,269.2039513827874,-506.8109057038379,443.5660376842419,0.9355837711416536,0.12908858280418034,3.700310936664896,1.8961645777997405,-59902.61518934734,149164.89831800904,0.4468818789283991,1.241105163799514,-0.11382614569043717,713.280704690486,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,584.5387827790096,0.004080305296608827,842.2776091976284,-73.95580559813232,956.7865480658377,0.762572530023324,0.12911887202489672,0.8069128734447258,0.08138930967261604,-25594.778094237823,-233624.8468543759,0.2978313550474276,0.21529310330661747,0.12706653776831642,992.8815291079984,True,False,True,-3.3110266565210416e-05,692.606180880419,0.000106650881730279,679.2441493820934,892.3006552904104,1.6839431969483485,9.336619133815571e-06,0.01037108622057379,0.5798397502197176,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,231.63064936505947,0.005264873573101944,516.8632323962422,-61.698765872338015,32.25667695932134,0.712593963839065,0.12908278583240546,0.12484891212380744,0.11779916295208363,-8330.66089535367,16633.142321918425,0.2808987126095841,0.05084542185629913,0.10129591417258141,524.9798464615333,True,False,True,-7.580051385543788e-07,480.6925661731817,2.3358261879056882e-06,480.1786441395951,449.78310306968814,0.04208998784196183,3.393008755860192e-07,0.003960183928845096,0.5778256787455853,True,,,,,,,,,,,1.0,3.393008755860192e-07,0.04208998784196183,noneSNR,,,,,,,,,,,,,,,,,
